index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1937,344364dc-8fef-434e-b1cf-a15bc0ec7939,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,1,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1938,54b6dac6-4d6e-4bd1-a4c3-87a3e4b90412,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,2,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1939,4260fea3-d92c-4dca-a2b5-4782a796cba3,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,1,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1940,25dcb5c0-1b1d-49da-92ea-aedb72cb369c,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,84,4,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,84,,-1,-1
1941,354ccb29-da3d-4302-8d7c-fbb2d9c02462,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,84,3,57,40,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,84,,-1,-1
1942,42868bcc-85e7-4d47-b64f-812db1449d13,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,84,1,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,84,,-1,-1
1943,216cfb53-6bec-4085-a8aa-09af059b6919,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,84,1,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,84,,-1,-1
1944,acc556c1-6e22-45aa-9109-7f3eb19c57b4,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,1,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1945,641c78fc-ebe5-4c70-83b3-4afc72637554,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,46,3,76,40,-1,40,04Dec@2|07Ran@3,"[quantity: (1, 3), time: (45, 50), unit_price: (43, 86)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,14,-1,04Dec@2:product(1.0),-1,-1
1946,56419420-bc54-4dbc-a57b-7b2f4f2acd3e,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,84,3,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,84,,-1,-1
1947,284a2a65-405a-4bf4-8031-45cd590a16ac,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,84,2,57,40,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,84,,-1,-1
1948,f21dec74-72b7-47fd-a6e3-361aee51fb80,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,85,2,10,41,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,85,,-1,-1
1949,5d958a11-1710-4ea9-b25b-30a8d7918814,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,85,1,10,41,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,85,,-1,-1
1950,f54346ed-8292-4a40-b18b-80c9106d7587,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,1,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1951,4095bea8-ea27-45be-8a7a-f79a6b6348fd,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,85,2,57,41,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,85,,-1,-1
1952,e5328250-d211-480d-8137-b409182f86a2,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,85,3,10,41,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,85,,-1,-1
1953,8e7b7499-5ac0-42fc-a405-3bf55b7947d6,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,85,3,10,41,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,85,,-1,-1
1954,bd015564-727b-475f-8390-ec84ac8b6258,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,1,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1955,bd275dff-59a9-450b-8390-dcef2fa92991,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,85,2,10,41,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,85,,-1,-1
1956,70713cc1-3bd0-48ad-b093-688d72411e61,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,85,3,10,41,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,85,,-1,-1
1957,59051b20-8efe-45b5-9db2-8d4d7627de6b,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,85,2,57,41,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,85,,-1,-1
1958,8d3928e3-3a60-4520-987a-0363fff4e700,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,85,2,10,41,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,85,,-1,-1
1959,5a3a3a70-0a6f-4e02-b956-d17eee3471e4,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,85,3,57,41,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,85,,-1,-1
1960,eb4f71ef-43e2-4912-9097-ae05a33f3a20,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,85,1,10,41,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,85,,-1,-1
1961,5cef1b04-8ccd-44c6-893e-95822a04d7a5,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,85,2,10,41,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,85,,-1,-1
1962,ee0f765e-8304-4d11-9ce9-17d6055c4e60,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,1,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1963,13490daf-1a96-41ca-9048-27b80dbd43f2,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,2,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1964,c803ae4c-47d2-4b68-a206-64a404925b39,07Ran@3,BUYER,RandomAgent,_SystemAgent,85,4,57,41,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1965,c3fcab24-3eaa-484d-b0ac-500f27519bbd,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,85,1,10,41,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,85,,-1,-1
