index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,16,0,0,0,10.000000000000002,20,10.0,2.915829560471419,10,2.3,28.84543947028576,10,34.7,27.0,8,27.0,1,1.5330000000000004,7440,216,0,0.0,2160.0000000000005,False,-0.31179321486268174,9,1.4060000000000004,7933,204,0,0.0,2040.0000000000005,False,-0.2768174474959612,0,0.2,18545,0,78,0.7,2249.944278682289,False,0.16694186873167688,0,0.2,18788,0,54,0.3,1557.6537313954311,False,0.16082266645097984,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,1.7560000000000004,18795,149,0,0.0,4297.970481072579,False,-0.1492064329310521,0.16666666666666666,96118,0.0,0.0,8,0,0,8,6,6.0,16,24,20,146.0,17.0,12,4,20,547,0.6873365938663483,16.078092521056533
21,20,0,0,0,10.000000000000002,20,10.0,2.7605408607295185,15,1.6666666666666667,28.84543947028576,0,,27.000000000000004,10,27.0,8,1.6120000000000003,7170,228,0,0.0,2280.0000000000005,False,-0.3287560581583199,7,1.4670000000000003,7736,212,0,0.0,2120.0000000000005,False,-0.28949919224555737,0,0.2,18520,5,88,1.0,2552.2013776887948,False,0.17442457812318457,0,0.2,18788,0,54,0.0,1557.6537313954311,False,0.16082266645097984,0,0.2,24617,0,0,0.0,0.0,False,0.0,10,1.8480000000000003,18705,149,0,0.0,4297.970481072579,False,-0.15286244300539095,0.16666666666666666,95536,0.0,0.0,6,0,0,12,8,8.0,16,28,18,150.0,34.0,16,4,18,200,0.5964945871382952,16.674587108194828
22,18,0,0,0,10.000000000000002,20,10.0,2.616591610813993,14,1.5,29.635954059597832,6,38.5,27.000000000000004,8,27.0,7,1.6740000000000006,6913,241,0,0.0,2410.0000000000005,False,-0.344264943457189,7,1.5300000000000002,7542,219,0,0.0,2190.0000000000005,False,-0.30234248788368334,0,0.2,18665,0,94,1.0,2785.7796816021964,False,0.18995549601335412,0,0.2,18853,0,61,0.9,1807.7931976354678,False,0.1720987540826847,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,1.9180000000000004,18424,155,0,0.0,4593.572879237664,False,-0.15827328920588088,0.31666666666666665,95014,0.0,0.0,9,0,0,13,8,8.0,14,27,19,169.0,20.0,15,3,19,431,0.7017986048012972,17.376385712996125
23,19,0,0,0,10.000000000000002,20,10.0,2.507303568278219,8,1.0,31.000537758775845,10,40.0,27.000000000000004,8,27.0,5,1.717,6712,252,0,0.0,2520.0000000000005,False,-0.35605815831987075,3,1.5530000000000004,7401,228,0,0.0,2280.0000000000005,False,-0.31009693053311793,0,0.2,19059,0,90,0.6,2790.048398289826,False,0.21345658514148758,0,0.2,18851,0,63,0.2,1953.0338788028782,False,0.17628838036316075,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,1.9900000000000002,17960,165,0,0.0,5115.088730198015,False,-0.1665294566722588,0.13333333333333333,94600,0.0,0.0,8,0,0,12,5,5.0,13,25,17,143.0,33.0,14,5,17,600,0.867354086600244,18.24373979959637
24,17,0,0,0,10.000000000000002,20,10.0,2.4281924447856826,8,1.375,31.863069102541587,7,40.285714285714285,27.0,10,27.0,5,1.7620000000000005,6537,261,0,0.0,2610.0000000000005,False,-0.36655896607431343,3,1.5800000000000003,7240,239,0,0.0,2390.0000000000005,False,-0.31865912762520193,0,0.2,19055,0,92,0.2,2931.402357433826,False,0.21741226736574004,0,0.2,19126,0,62,0.6,1975.5102843575785,False,0.19326976401155613,0,0.2,24617,0,0,0.0,0.0,False,0.0,10,2.0820000000000003,17582,172,0,0.0,5480.447885637153,False,-0.17446382813427394,0.13333333333333333,94157,0.0,0.0,8,0,0,10,7,7.0,15,25,17,160.0,15.0,14,3,17,482,0.7061186414211988,18.949858441017568
25,17,0,0,0,10.000000000000002,20,10.0,2.3827836191507386,7,1.7142857142857142,31.863069102541587,0,,27.000000000000004,10,27.0,4,1.7970000000000002,6403,268,0,0.0,2680.0000000000005,False,-0.3745557350565428,3,1.6070000000000002,7058,252,0,0.0,2520.0000000000005,False,-0.32810985460420033,0,0.2,19045,0,98,0.6,3122.5807720490757,False,0.22248993747179277,0,0.2,19124,0,63,0.1,2007.37335346012,False,0.1940962670105636,0,0.2,24617,0,0,0.0,0.0,False,0.0,10,2.172,17488,172,0,0.0,5480.447885637153,False,-0.17828232754525009,0.11666666666666665,93735,0.0,0.0,6,0,0,7,6,6.0,17,24,14,131.0,33.0,12,5,14,200,0.7351578371599317,19.6850162781775
26,14,0,0,0,10.000000000000002,20,10.0,2.2055866977322776,27,1.5555555555555556,31.528378030514784,7,28.285714285714285,27.000000000000004,7,27.0,8,1.8730000000000004,6187,275,0,0.0,2750.0000000000005,False,-0.3891760904684976,19,1.7940000000000003,6509,265,0,0.0,2650.0000000000005,False,-0.36720516962843297,0,0.2,19085,7,104,1.0,3294.3904220576633,False,0.22995937417114576,0,0.2,19240,0,70,1.0,2206.986462136035,False,0.2068992187392036,0,0.2,24617,0,0,0.0,0.0,False,0.0,7,2.2320000000000007,17241,179,0,0.0,5643.579667462146,False,-0.18500264720595228,0.3333333333333333,92879,0.0,0.0,8,0,0,9,10,10.0,15,24,19,178.0,6.0,12,2,19,398,0.5789896985515952,20.264005976729095
27,19,0,0,0,10.000000000000002,20,10.0,2.048467726314571,17,1.0,32.48753240132294,7,41.714285714285715,27.000000000000007,7,27.0,4,1.9050000000000002,6029,284,0,0.0,2840.0000000000005,False,-0.3983037156704362,13,1.9050000000000002,6136,276,0,0.0,2760.0000000000005,False,-0.392891760904685,0,0.2,19283,9,109,1.0,3559.577241281031,False,0.24957217730425466,0,0.2,19317,0,73,0.5,2371.5898652965743,False,0.21634996040865498,0,0.2,24617,0,0,0.0,0.0,False,0.0,7,2.2950000000000004,16900,186,0,0.0,6042.681026646066,False,-0.19074864876617648,0.25,92282,0.0,0.0,9,0,0,11,6,6.0,15,26,21,156.0,26.0,14,5,21,492,0.623499465174973,20.887505441904068
28,21,0,0,0,10.000000000000002,20,10.0,2.0687511756843144,9,2.3333333333333335,33.02417202556075,4,42.0,27.000000000000007,12,27.0,4,1.9410000000000005,5875,293,0,0.0,2930.0000000000005,False,-0.407108239095315,5,1.9420000000000004,5946,287,0,0.0,2870.0000000000005,False,-0.4037964458804523,0,0.2,19449,0,115,1.0,3797.7797829394863,False,0.26648611126422295,0,0.2,19298,0,81,0.8,2674.957934070421,False,0.22422158086350327,0,0.2,24617,0,0,0.0,0.0,False,0.0,12,2.4080000000000004,16597,190,0,0.0,6274.592684856543,False,-0.1983468195788166,0.3,91782,0.0,0.0,7,0,0,10,7,7.0,16,26,20,145.0,54.0,14,7,20,368,0.8111333604902029,21.69863880239427
29,20,0,0,0,10.000000000000002,20,10.0,1.9844089386675405,26,1.6153846153846154,33.73533700312353,9,38.77777777777778,27.00000000000001,8,27.0,13,2.067,5493,306,0,0.0,3060.0000000000005,False,-0.4327140549273021,13,2.0670000000000006,5614,294,0,0.0,2940.0000000000005,False,-0.42778675282714057,0,0.2,19772,6,116,1.0,3925.205545994335,False,0.2894282613311087,0,0.2,19282,0,91,1.0,3069.9156672842414,False,0.23498800626733043,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,2.4760000000000004,16187,199,0,0.0,6713.332063621583,False,-0.2060906677576151,0.3333333333333333,90965,0.0,0.0,8,0,0,7,10,10.0,20,27,15,181.0,40.0,15,5,15,549,0.6088620098307729,22.307500812225044
30,15,0,0,0,10.000000000000002,20,10.0,2.082018750405342,21,2.6666666666666665,34.00957288911013,3,40.0,27.000000000000007,11,27.0,12,2.1740000000000004,5200,313,0,0.0,3130.0000000000005,False,-0.4535541195476575,9,2.1440000000000006,5326,307,0,0.0,3070.0000000000005,False,-0.4457996768982229,0,0.2,19730,11,126,1.0,4308.108390282336,False,0.29829462477107077,0,0.2,19388,0,94,0.6,3196.8998515763524,False,0.24504330361818796,0,0.2,24617,0,0,0.0,0.0,False,0.0,11,2.5780000000000007,15956,202,0,0.0,6869.933723600247,False,-0.2122936644676393,0.26666666666666666,90217,0.0,0.0,7,0,0,6,11,11.0,15,21,20,117.0,35.0,9,6,20,320,0.5491342376917601,22.856635049916804
