index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,5,0,0,0,10.0,11,10.0,8.420400100812142,0,,9.711771651698875,16,6.9375,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,0,2.387000000000001,67895,209,0,0.0,2090.0,False,-0.09915325109763747,7,1.6110000000000004,109701,155,0,0.0,1305.1620156258818,False,-0.03689458978527903,9,2.801000000000001,100768,109,0,0.0,917.8236109885235,False,-0.11654714302114429,0,0.3350000000000001,160996,6,14,1.0,618.2706299101934,False,0.03237929492566264,0,0.3350000000000001,160630,80,14,1.0,1336.9417321359101,False,0.03233664136085369,0.3333333333333333,677084,0.0,0.0,9,0,0,12,5,5.0,6,18,6,79.0,0.0,5,0,6,910,0.7616624289657921,55.22860984207364
21,6,0,0,0,10.0,9,10.0,8.212787308250833,6,4.666666666666667,9.790392215157112,14,10.785714285714286,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,6,2.447000000000001,67672,218,0,0.0,2180.0,False,-0.10147919715659628,9,1.6940000000000006,109468,160,0,0.0,1314.0459693201333,False,-0.03888931860727284,5,2.8420000000000005,100590,110,0,0.0,903.4066039075917,False,-0.11816354105869392,0,0.3350000000000001,161261,6,15,1.0,658.7423532909428,False,0.03420485117472114,0,0.3350000000000001,161014,74,13,1.0,1244.4890239216265,False,0.034498448036818875,0.3333333333333333,677099,0.0,0.0,9,0,0,11,6,6.0,8,19,6,95.0,0.0,6,0,6,890,0.7513396349968389,55.97994947707048
22,6,0,0,0,10.0,8,10.0,7.8611328040612545,12,5.0,9.1837573673369,24,4.833333333333333,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,12,2.5610000000000004,67330,226,0,0.0,2260.0,False,-0.1054254651892118,0,1.6850000000000003,109448,170,0,0.0,1336.3925766904133,False,-0.038966353161997126,24,3.0770000000000004,99474,112,0,0.0,880.4468740548605,False,-0.12800356571309882,0,0.3350000000000001,161497,8,18,1.0,793.4700589386953,False,0.03614642953720006,0,0.3350000000000001,161462,76,10,1.0,1097.9655599176044,False,0.03689683435069576,0.3333333333333333,676305,0.0,0.0,9,0,0,10,7,7.0,6,16,7,58.0,17.0,4,2,7,880,1.322702563018538,57.302652040089015
23,7,0,0,0,10.0,8,10.0,7.275775847746105,10,1.5,9.69693286889218,25,13.32,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,10,2.649000000000001,67005,234,0,0.0,2340.0,False,-0.10914959230608405,21,1.8950000000000002,108741,180,0,0.0,1309.639652594299,False,-0.04525340303979581,4,3.093000000000001,99342,112,0,0.0,814.8868949475637,False,-0.12944167490706332,0,0.3350000000000001,161865,5,16,1.0,688.484664344461,False,0.038165727968538274,0,0.3350000000000001,161561,84,12,1.0,1294.542360986943,False,0.038159512438676615,0.3333333333333333,675608,0.0,0.0,9,0,0,9,10,10.0,8,17,7,97.0,3.0,6,1,7,880,0.7915855310275219,58.09423757111654
24,7,0,0,0,10.0,6,10.0,7.797362275539073,5,18.0,9.426930294403842,21,7.095238095238095,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,5,2.689000000000001,66910,240,0,0.0,2400.0,False,-0.10999895463098473,5,1.9240000000000004,108641,180,0,0.0,1403.5252095970332,False,-0.045716457311434616,16,3.249000000000001,98615,117,0,0.0,912.2913862380716,False,-0.13536148494847283,0,0.3350000000000001,162024,11,19,1.0,863.6962332384423,False,0.0397440453939251,1,0.3450000000000001,162005,79,10,1.0,1144.7274932579037,False,0.04052176533561788,0.3333333333333333,675289,0.0,0.0,7,0,0,11,7,6.2,7,18,6,74.0,18.0,5,2,6,660,0.7851743999635801,58.87941197108012
25,6,0,0,0,10.0,12,10.0,8.09584447922486,4,15.0,9.428503262721279,11,9.454545454545455,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,4,2.7240000000000006,66750,252,0,0.0,2520.0,False,-0.11130566590006272,4,1.959,108561,180,0,0.0,1457.252006260475,False,-0.04618020436957054,7,3.3030000000000004,98337,121,0,0.0,979.597181986208,False,-0.13749401217485357,0,0.3350000000000001,162468,7,17,1.0,745.9995228390491,False,0.04220907902550796,0,0.3440000000000001,162257,74,12,1.0,1177.7092414413746,False,0.04224015092047602,0.3333333333333333,675467,0.0,0.0,11,0,0,11,4,4.0,7,18,3,77.0,3.0,5,1,3,920,0.7047019260353409,59.58411389711546
26,3,0,0,0,10.000000000000002,8,10.0,8.619845946188901,4,20.0,9.414204346651882,6,9.0,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,4,2.7600000000000007,66650,260,0,0.0,2600.0000000000005,False,-0.11208969266150952,3,1.9850000000000003,108498,180,0,0.0,1551.5722703140023,False,-0.04631844603243991,3,3.326000000000001,98158,125,0,0.0,1077.4807432736127,False,-0.1386290888398878,0,0.3350000000000001,162859,0,17,1.0,680.0000000000001,False,0.044500339208683744,0,0.3440000000000001,162612,67,12,1.0,1110.7516912256763,False,0.04429793943917183,0.3333333333333333,675871,0.0,0.0,9,0,0,8,3,3.0,7,15,9,34.0,3.0,2,1,9,880,0.6800645050243475,60.264178402139805
27,9,0,0,0,10.000000000000002,11,10.0,9.438248372841711,7,19.0,9.276768894215436,37,8.675675675675675,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,7,2.826000000000001,66498,271,0,0.0,2710.0000000000005,False,-0.11335720259251515,10,2.0820000000000007,108258,180,0,0.0,1698.884707111508,False,-0.04777020314401377,27,3.5930000000000004,96828,132,0,0.0,1245.8487852151059,False,-0.1495018860665594,0,0.3350000000000001,162974,19,18,1.0,896.2586089900934,False,0.045928403315893256,0,0.34400000000000003,162976,65,11,1.0,1042.9899781240035,False,0.0464107560453515,0.3333333333333333,674628,0.0,0.0,9,0,0,7,7,7.0,13,20,9,116.0,3.0,8,1,9,910,0.8187277349643409,61.082906137104146
28,9,0,0,0,10.000000000000002,8,10.0,8.504765528958067,19,4.578947368421052,9.308123388304834,11,9.818181818181818,40.00000000000001,16,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,19,3.0090000000000012,65897,279,0,0.0,2790.0000000000005,False,-0.12068785281204265,5,2.1220000000000008,108081,194,0,0.0,1649.924512617865,False,-0.04952861070937646,6,3.6260000000000012,96618,137,0,0.0,1165.1528774672552,False,-0.15168678542922803,0,0.3350000000000001,163054,14,24,1.0,1090.313727436268,False,0.047061408699858864,1,0.3540000000000001,163380,61,10,1.0,967.7955266865949,False,0.04875579383371923,0.3333333333333333,674124,0.0,0.0,7,0,0,5,7,6.25,15,20,5,125.0,3.0,8,1,5,560,0.816176456050016,61.89908259315416
29,5,0,0,0,10.0,9,10.0,8.098319406369319,12,5.083333333333333,8.981408430690273,8,2.0,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,12,3.1100000000000008,65556,288,0,0.0,2880.0,False,-0.12455571816851349,0,2.1170000000000004,108037,205,0,0.0,1660.1554783057104,False,-0.049867973406124456,8,3.700000000000001,96329,138,0,0.0,1117.568078078966,False,-0.15441666559866396,0,0.3350000000000001,163534,4,22,1.0,915.9256337227612,False,0.04957543115895044,0,0.35300000000000004,163684,59,12,1.0,1009.9030974107262,False,0.050836191318212126,0.3333333333333333,674234,0.0,0.0,10,0,0,6,3,3.0,12,18,9,76.0,0.0,5,0,9,890,0.8786651929840446,62.77774778613821
