index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,33,0,0,0,10.000000000000002,20,10.0,29.204939274240978,9,32.0,12.995875106695003,21,2.0,34.00000000000001,5,34.0,0,1.6400000000000003,20623,13,11,1.0,451.2543320166508,False,0.13647463428772558,0,0.5690000000000001,21721,2,69,1.0,2035.1408099226276,False,0.2394968877057134,0,0.2,19514,156,56,1.0,5283.739532756513,False,-0.08082186498596686,21,3.0290000000000012,5068.0,228,0,0.0,6658.726154526943,False,-0.65161952052508,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,5,1.7440000000000007,23694,386,0,0.0,5016.407791184271,False,-0.12702968863594422,0.5,120438,0.0,0.0,10,0,0,21,6,6.0,17,38,32,204.0,118.0,15,18,32,488,1.5514978140126914,61.4701205510064
21,32,0,0,0,10.000000000000002,20,10.0,29.990552114702997,18,40.333333333333336,16.447100724979826,62,26.967741935483872,34.00000000000001,10,34.0,0,1.6400000000000003,20503,15,21,1.0,779.801594408763,False,0.1388880238323456,0,0.5690000000000001,22367,0,61,1.0,1829.4236789968827,False,0.2691039432814632,0,0.2,21134,146,21,1.0,4724.009723971213,False,-0.025223827498107945,17,3.1780000000000013,3774.0,246,0,0.0,7377.675820216937,False,-0.6903900634704419,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,10,1.839,21886,448,0,0.0,7368.301124790962,False,-0.14808760411809163,0.5,119482,0.0,0.0,15,0,0,16,9,9.0,24,40,38,252.0,120.0,17,15,38,2546,1.771292290999554,63.24141284200596
22,38,0,0,0,10.000000000000002,20,10.0,30.156158849336222,32,31.34375,15.166996508237322,25,3.6,34.00000000000001,10,34.0,0,1.6400000000000003,20851,16,12,1.0,521.8739061920347,False,0.15082785244459077,0,0.5690000000000001,22822,0,57,0.9,1718.9010544121647,False,0.29089400529877796,0,0.2,20846,145,31,1.0,4842.819924909109,False,-0.034707518982137565,25,3.411000000000001,2122.0,269,0,0.0,8112.006730471444,False,-0.7436938530851426,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,10,1.9290000000000003,21661,473,0,0.0,7173.989348396253,False,-0.15882076714315757,0.48333333333333334,118120,0.0,0.0,17,0,0,20,10,10.0,26,46,34,310.0,186.0,21,17,34,1203,1.9987542279995978,65.24016707000555
23,34,0,0,0,10.000000000000002,20,10.0,29.75761885783555,5,11.0,15.401568631874271,20,18.05,34.0,8,34.0,0,1.6400000000000003,20751,16,22,1.0,814.667614872382,False,0.15335698050892302,0,0.5690000000000001,22777,0,62,1.0,1844.9723691858042,False,0.2918771427960153,0,0.2,21103,140,28,1.0,4597.310561789456,False,-0.02913809820383641,7,3.4560000000000004,1961.0,269,0,0.0,8004.7994727577625,False,-0.7525970902597544,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,8,1.9990000000000003,21203,493,0,0.0,7592.973335514016,False,-0.1671002276276192,0.5,117613,0.0,0.0,12,0,0,19,6,6.0,22,41,33,267.0,107.0,18,16,33,567,1.8429559280048124,67.08312299801037
24,33,0,0,0,10.000000000000002,20,10.0,29.661142735696686,24,28.791666666666668,15.181320074596064,4,3.0,34.0,8,34.0,0,1.6400000000000003,21052,13,16,1.0,604.578283771147,False,0.1640386558672975,0,0.5690000000000001,22967,3,64,1.0,1928.3131350845879,False,0.30450567280143326,0,0.2,20814,144,38,1.0,4848.094716774973,False,-0.0359256821113722,4,3.4890000000000008,1451.0,279,0,0.0,8275.458823259376,False,-0.7681409968623595,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,8,2.0710000000000006,21097,497,0,0.0,7545.116077074244,False,-0.17142901753999262,0.5,117199,0.0,0.0,15,0,0,21,6,6.0,19,40,27,220.0,87.0,19,14,27,891,2.7331182069610804,69.81624120497145
25,27,0,0,0,10.000000000000002,20,10.0,29.90280520803944,13,33.92307692307692,12.873022863032363,48,3.125,34.0,10,34.0,0,1.6400000000000003,21250,12,17,1.0,628.3476885366705,False,0.17547963173989287,0,0.5690000000000001,23010,4,70,1.0,2133.1963645627607,False,0.31243380661114095,0,0.2,20603,143,41,1.0,4803.895082133966,False,-0.04559626862483472,41,3.895000000000001,-681.0,283,0,0.0,8462.49387387516,False,-0.8527112953477606,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,10,2.1630000000000007,20818,545,0,0.0,7015.797460352637,False,-0.18954193802511013,0.5,114818,0.0,0.0,16,0,0,10,9,9.0,24,34,23,165.0,88.0,12,15,23,718,1.3271677659940906,71.14340897096554
26,23,0,0,1,10.000000000000002,20,10.0,30.679972273750952,23,37.65217391304348,12.878411580620215,10,13.0,34.0,11,34.0,0,1.6400000000000003,21542,9,16,1.0,580.8795563800153,False,0.19010301325647358,0,0.5690000000000001,23384,7,68,1.0,2156.2381146150647,False,0.3334488447701026,0,0.2,20413,143,41,1.0,4915.250909951815,False,-0.051168874254235525,0,3.8540000000000014,-26321.666666666668,296,0,0.0,9081.271793030282,True,-1.9036272307563693,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,11,2.263000000000001,20542,555,0,0.0,7147.518427244219,False,-0.1965430880019287,0.5,115699,0.0,0.125,15,0,0,13,10,1208.8607142857143,22,35,22,166.0,78.0,11,12,22,650,1.3136800500215031,72.45708902098704
27,22,0,0,0,10.000000000000002,20,10.0,29.341297011676808,39,22.256410256410255,14.416429448701425,14,37.714285714285715,34.0,10,34.0,18,1.8200000000000003,21785,11,10,1.0,403.41297011676807,False,0.19851220959707738,0,0.5690000000000001,23359,5,73,1.0,2191.914681852407,False,0.3330584541251679,0,0.2,20073,172,37,1.0,5580.110975610363,False,-0.0514829286506314,0,3.8540000000000014,-26321.666666666668,296,0,0.0,8685.023915456335,True,-1.9118467768394665,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,10,2.3520000000000003,19880,569,0,0.0,8202.948356311112,False,-0.2010170188853721,0.5,114915,0.0,0.125,18,0,0,8,13,557.1843968568872,22,30,21,122.0,84.0,8,14,21,1071,1.1174610769958235,73.57455009798286
28,21,0,0,0,10.000000000000002,20,10.0,28.669193072220377,44,25.295454545454547,14.416429448701425,0,,34.0,14,34.0,34,2.1420000000000003,21690,12,10,1.0,406.6919307222038,False,0.19342305616577282,0,0.5690000000000001,23269,4,83,1.0,2419.5430249942915,False,0.3343565828562086,0,0.2,18960,206,47,1.0,6583.425956966365,False,-0.07684562817444485,0,3.8540000000000005,-26321.666666666668,296,0,0.0,8486.08114937723,True,-1.9159735351799725,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,14,2.4820000000000007,19642,569,0,0.0,8202.948356311112,False,-0.2089463875343809,0.5,113379,0.0,0.125,14,0,0,14,16,190.82316244816246,16,30,21,180.0,93.0,10,11,21,479,1.19389496097574,74.7684450589586
29,21,0,0,0,10.000000000000002,20,10.0,28.306195356049045,5,11.0,15.963138532791161,19,32.526315789473685,34.0,10,34.0,0,2.1080000000000005,21580,13,20,1.0,696.1239071209809,False,0.19531545127067262,0,0.5690000000000001,23234,3,88,1.0,2520.945191332316,False,0.3352124609248382,0,0.2,19523,201,38,1.0,6296.144530811922,False,-0.059447715507552235,0,3.8540000000000014,-26321.666666666668,296,0,0.0,8378.633825390518,True,-1.918202362843155,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,10,2.568000000000001,18890,588,0,0.0,9386.325457281202,False,-0.214287431995982,0.5,113045,0.0,0.125,18,0,0,13,12,83.33242999096657,19,32,19,165.0,123.0,10,11,19,873,1.1794998670229688,75.94794492598157
