index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,27.398761524593848,12,28.0,15.861923102036748,23,14.565217391304348,37.00000000000001,20,37.0,0,0.2,36465,0,50,0.8,1369.9380762296923,False,0.014029070807807801,0,0.2,38340,9,34,1.0,1021.5578918361908,False,0.060453623373678704,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,23,3.004000000000001,37393.0,120,0,0.0,3287.8513829512617,False,-0.2682863038148897,10,0.8670000000000002,70659,169,0,0.0,2680.66500424421,False,-0.029488555917854747,10,0.9930000000000003,70754,147,0,0.0,2331.702695999402,False,-0.030559918206697866,0.3,307235,0.0,0.0,12,0,0,11,16,16.0,23,34,17,156.0,9.0,15,3,17,536,1.5499773970223032,24.43981627508765
11,17,0,0,0,10.000000000000002,20,10.0,28.476070404465133,13,37.0,15.699772215584632,20,14.2,37.00000000000001,20,37.0,0,0.2,36365,0,60,1.0,1708.564224267908,False,0.015921009720874308,0,0.2,38721,9,31,1.0,972.7581825384191,False,0.07018722271179204,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,20,3.181000000000001,36333.0,133,0,0.0,3787.3173637938626,False,-0.2834740640694109,12,0.9770000000000001,70369,178,0,0.0,2794.5594543740644,False,-0.032629979279563306,8,1.0630000000000002,70469,158,0,0.0,2480.564010062372,False,-0.033398277258398563,0.3333333333333333,305881,0.0,0.0,12,0,0,4,13,13.0,27,31,19,129.0,21.0,10,7,19,681,1.283794863964431,25.723611139052082
12,19,0,0,0,10.000000000000002,20,10.0,30.422918156658397,26,38.23076923076923,16.082288292161206,66,17.151515151515152,37.00000000000001,20,37.0,0,0.2,36901,0,49,0.4,1490.7229896762615,False,0.027578379048971754,0,0.2,38979,15,30,1.0,1062.687544699752,False,0.07845681221612291,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,66,3.821000000000001,31497.0,159,0,0.0,4837.243986908685,False,-0.364280749888391,13,1.0950000000000004,69816,201,0,0.0,3232.5399467244024,False,-0.037132247248679695,7,1.1250000000000002,69588,201,0,0.0,3232.5399467244024,False,-0.04020556198037123,0.2333333333333333,300405,0.0,0.0,14,0,0,7,22,22.0,26,33,14,159.0,18.0,13,6,14,1194,1.2679963049595244,26.991607444011606
13,14,0,0,0,10.000000000000002,20,10.0,31.15737061251799,12,38.333333333333336,15.591480141331946,18,9.444444444444445,37.00000000000001,20,37.0,0,0.2,37141,0,50,1.0,1557.8685306258994,False,0.035045700003083026,0,0.2,38999,15,37,1.0,1302.8227126631657,False,0.0822800348381806,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,18,3.935000000000001,30465.0,171,0,0.0,5327.910374740576,False,-0.37902614456663003,10,1.1820000000000004,69642,214,0,0.0,3336.5767502450362,False,-0.03877649217352749,10,1.218,69315,206,0,0.0,3211.8449091143807,False,-0.04402493085638734,0.3333333333333333,299186,0.0,0.0,13,0,0,1,12,12.0,26,27,19,103.0,21.0,7,7,19,660,0.8832919980050065,27.874899442016613
14,19,0,0,0,10.000000000000002,20,10.0,31.481502668007792,11,34.90909090909091,15.002562819076843,11,3.272727272727273,37.00000000000001,20,37.0,0,0.2,37275,0,52,0.9,1637.0381387364052,False,0.039783793792122546,0,0.2,39049,16,43,1.0,1513.704614724335,False,0.0865228820657869,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,11,4.027000000000001,29733.0,182,0,0.0,5729.6334855774185,False,-0.38898187923545063,9,1.2620000000000002,69515,224,0,0.0,3360.574071473213,False,-0.04032664704413705,11,1.318,69124,207,0,0.0,3105.5305035489064,False,-0.04731603580446093,0.31666666666666665,298320,0.0,0.0,12,0,0,2,12,12.0,29,31,17,107.0,30.0,9,10,17,584,0.9951376249664463,28.87003706698306
15,17,0,0,0,10.000000000000002,20,10.0,32.80084412071805,21,40.0,14.769917691754744,34,13.352941176470589,37.0,20,37.0,0,0.2,37185,0,61,0.9,2000.851491363801,False,0.04229243764826682,0,0.2,39779,17,32,1.0,1219.6270118629775,False,0.10243513227239569,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,34,4.356000000000002,27542.0,203,0,0.0,6658.571356505763,False,-0.42134422346292627,12,1.3730000000000002,68948,250,0,0.0,3692.4794229386857,False,-0.045732544630874075,8,1.3870000000000002,68947,215,0,0.0,3175.5323037272697,False,-0.04923010565377181,0.31666666666666665,296025,0.0,0.0,11,0,0,5,17,17.0,26,31,17,91.0,18.0,11,6,17,1040,0.9835800500004552,29.853617116983514
16,17,0,0,0,10.000000000000002,20,10.0,33.24376595008017,8,40.0,14.467432032860623,42,12.904761904761905,37.0,20,37.0,0,0.2,37275,5,65,1.0,2210.844786755211,False,0.047614979620526486,0,0.2,39809,12,40,1.0,1449.7506380032066,False,0.10639467515562853,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,42,4.742000000000001,25315.0,211,0,0.0,7014.434615466916,False,-0.4597522529009661,8,1.441,68615,268,0,0.0,3877.271784806647,False,-0.04897575191875495,12,1.4990000000000003,68441,239,0,0.0,3457.716255853689,False,-0.054148865327795434,0.3333333333333333,293079,0.0,0.0,12,0,0,4,19,19.0,26,30,18,137.0,27.0,10,7,18,520,0.9014445779612288,30.755061694944743
17,18,0,0,0,10.000000000000002,20,10.0,33.618192237500985,10,38.0,14.10733033427847,18,9.444444444444445,37.0,20,37.0,0,0.2,37535,7,65,1.0,2255.182495437564,False,0.05531693546562892,0,0.2,39729,10,50,1.0,1780.9096118750492,False,0.1087306148579955,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,18,4.880000000000001,24333.0,221,0,0.0,7429.6204844877175,False,-0.4742678492550354,13,1.5630000000000004,68320,279,0,0.0,3935.9451632636933,False,-0.052556747386579145,7,1.5570000000000002,68266,246,0,0.0,3470.403262232504,False,-0.05642226224114388,0.3333333333333333,291807,0.0,0.0,12,0,0,5,14,14.0,25,30,18,121.0,25.0,10,8,18,580,1.094959470035974,31.850021164980717
18,18,0,0,0,10.000000000000002,20,10.0,34.806169374941355,30,39.333333333333336,13.743759205884459,15,8.266666666666667,37.0,20,37.0,0,0.2,38225,8,55,1.0,1994.3393156217746,False,0.07059093945329428,0,0.2,40019,9,50,1.0,1830.3084687470678,False,0.11732051081923613,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,15,5.012000000000001,22667.0,251,0,0.0,8736.34851311028,False,-0.49324884242633293,10,1.6500000000000001,68140,289,0,0.0,3971.9464105006086,False,-0.054740409974115285,10,1.6500000000000001,68044,251,0,0.0,3449.683560676999,False,-0.059554345365919976,0.3333333333333333,290719,0.0,0.0,13,0,0,5,14,14.0,24,29,16,96.0,36.0,8,10,16,1380,0.8843905869871378,32.734411751967855
19,16,0,0,0,10.000000000000002,20,10.0,34.991704531953516,12,37.0,13.89169363308077,10,17.1,37.00000000000001,20,37.0,0,0.2,38549,10,53,1.0,1954.5603401935364,False,0.07889180505777837,0,0.2,39939,7,60,1.0,2169.502271917211,False,0.11976610808927302,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,10,5.097000000000001,22017.0,263,0,0.0,9202.818291903775,False,-0.5010607470299552,11,1.7500000000000002,67867,294,0,0.0,4084.1579281257464,False,-0.0576640251787661,9,1.7300000000000002,67860,256,0,0.0,3556.273570068677,False,-0.06131617689036708,0.3333333333333333,289856,0.0,0.0,10,0,0,8,14,14.0,22,30,13,111.0,18.0,10,6,13,644,1.066785178030841,33.801196929998696
20,13,0,0,0,10.000000000000002,20,10.0,36.022339050877605,62,38.145161290322584,13.994721887471611,7,17.0,37.000000000000014,20,37.0,0,0.2,40220,15,16,1.0,726.3574248140417,False,0.10774043870529036,0,0.2,40433,2,55,1.0,2001.2286477982682,False,0.13095355180421267,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,7,5.157000000000001,19533.0,325,0,0.0,11707.260191535222,False,-0.5241493890202885,13,1.869,67526,301,0,0.0,4212.411288128955,False,-0.061396125411939007,7,1.7910000000000006,67784,256,0,0.0,3582.6488031927324,False,-0.06216285330858005,0.3333333333333333,289120,0.0,0.0,19,0,0,5,11,11.0,22,27,13,86.0,33.0,7,6,13,2565,0.9392068409943022,34.740403770993
21,13,0,0,0,10.000000000000002,20,10.0,36.211764946041924,22,37.68181818181818,13.90595622104936,12,12.5,37.000000000000014,20,37.0,0,0.2,40680,16,11,1.0,558.3294144064612,False,0.1180031855880344,0,0.2,40602,1,58,1.0,2110.282366870432,False,0.13705484177953975,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,12,5.270000000000001,18398.0,347,0,0.0,12565.482436276548,False,-0.5373806707003135,11,1.9660000000000002,67283,307,0,0.0,4269.128559862153,False,-0.06428937307168273,9,1.8740000000000006,67591,262,0,0.0,3643.360529914932,False,-0.06435520691013968,0.3333333333333333,288178,0.0,0.0,13,0,0,3,12,12.0,25,28,12,107.0,16.0,8,5,12,1029,1.0255649980390444,35.76596876903204
22,12,0,0,0,10.000000000000002,20,10.0,36.28988457207841,5,39.0,13.534859085953167,14,8.714285714285714,37.00000000000001,20,37.0,0,0.2,40765,17,16,1.0,750.6381531532545,False,0.12294789487325654,0,0.2,40512,0,68,1.0,2467.712150901332,False,0.1394763641077265,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,14,5.3980000000000015,17773.0,352,0,0.0,12774.0393693716,False,-0.5471411493029841,6,2.015,67215,307,0,0.0,4155.201739387622,False,-0.06597381118398361,14,2.005000000000001,67215,276,0,0.0,3735.621107723074,False,-0.06880166937790268,0.3333333333333333,287104,0.0,0.0,12,0,0,5,15,15.0,21,26,11,98.0,12.0,8,4,11,395,1.047731216007378,36.81369998503942
23,11,0,0,0,10.000000000000002,20,10.0,36.47581419819338,15,38.46666666666667,13.122244823399376,6,1.0,37.00000000000001,20,37.0,0,0.2,40942,19,18,1.0,846.5646555674809,False,0.12908839195828523,0,0.2,40712,0,69,0.8,2516.8311796753433,False,0.1456058409716582,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,6,5.444000000000002,16998.0,367,0,0.0,13386.623810736972,False,-0.5559266746885008,13,2.1390000000000007,66995,313,0,0.0,4107.262629724005,False,-0.06926238674077674,7,2.0610000000000004,67132,276,0,0.0,3621.7395712582274,False,-0.07068799404708223,0.3,286403,0.0,0.0,12,0,0,5,12,12.0,23,28,10,96.0,6.0,9,2,10,777,0.8510736010503024,37.66477358608972
24,10,0,0,0,10.000000000000002,20,10.0,36.82311426045017,22,39.31818181818182,13.156906704392526,2,16.0,37.0,20,37.0,4,0.24000000000000002,41617,18,10,1.0,548.2311426045017,False,0.1434413028524471,0,0.2,40602,1,79,1.0,2919.0260265755633,False,0.14809239582071684,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,2,5.458000000000001,16097.0,389,0,0.0,14324.191447315116,False,-0.5640281963700552,11,2.2360000000000007,66834,313,0,0.0,4118.111798474861,False,-0.07135945786677682,9,2.1440000000000006,66979,278,0,0.0,3657.620063821122,False,-0.07250852532235354,0.3333333333333333,285753,0.0,0.0,12,0,0,4,13,12.133333333333333,24,28,10,86.0,19.0,8,2,10,400,0.7788707370054908,38.443644323095214
25,10,0,0,0,10.000000000000002,20,10.0,37.142321931631834,23,39.391304347826086,13.197151229846513,5,14.4,36.99999999999999,20,37.0,0,0.23600000000000002,41877,18,11,1.0,588.5655412479503,False,0.15108862241030616,0,0.2,41048,1,75,1.0,2795.6741448723874,False,0.15858273480828136,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,5,5.506000000000001,15085.0,412,0,0.0,15302.636635832316,False,-0.5738272105357797,13,2.355000000000001,66560,315,0,0.0,4157.102637401652,False,-0.07479003978189126,7,2.2050000000000005,66872,281,0,0.0,3708.39949558687,False,-0.07360858711373375,0.3333333333333333,285066,0.0,0.0,13,0,0,4,13,13.0,23,27,8,121.0,6.0,8,2,8,1106,0.7845532700303011,39.228197593125515
26,8,0,0,0,10.000000000000002,20,10.0,37.16243843706663,4,38.0,13.908143538046192,9,24.88888888888889,36.99999999999999,20,37.0,0,0.23600000000000002,41939,17,17,1.0,801.7614534301327,False,0.15569059741006305,0,0.2,40938,2,85,1.0,3178.807267150664,False,0.1608091394687011,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,9,5.591000000000001,14833.0,416,0,0.0,15459.57438981972,False,-0.5770799026258696,10,2.4420000000000006,66197,324,0,0.0,4506.238506326966,False,-0.07733000049653595,10,2.2980000000000005,66729,281,0,0.0,3908.1883341909797,False,-0.07418962665837016,0.3333333333333333,284260,0.0,0.0,9,0,0,3,11,11.0,25,28,8,68.0,6.0,6,2,8,352,0.8444946520030499,40.072692245128565
27,8,0,0,0,10.000000000000002,20,10.0,37.16243843706663,0,,13.936831488840932,13,14.23076923076923,36.99999999999999,20,37.0,0,0.23600000000000002,41829,18,27,1.0,1183.3858378007992,False,0.15789641115024566,0,0.2,40848,1,95,1.0,3540.43165152133,False,0.1632879087717181,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,13,5.7120000000000015,14522.0,416,0,0.0,15459.57438981972,False,-0.5829093309295247,12,2.5520000000000005,65881,331,0,0.0,4613.091222806348,False,-0.08086934892362314,8,2.3680000000000008,66560,287,0,0.0,3999.8706372973475,False,-0.07584974026920256,0.3333333333333333,283264,0.0,0.0,11,0,0,3,14,14.0,26,29,7,77.0,6.0,6,2,7,200,0.7840022739837877,40.85669451911235
28,7,0,0,0,10.000000000000002,20,10.0,37.14015355532402,3,36.0,13.936831488840932,0,,36.99999999999999,20,37.0,0,0.23600000000000002,41779,13,37,1.0,1504.1856815469887,False,0.16090983843141984,0,0.2,40806,6,102,1.0,3848.29566264305,False,0.1663431551294226,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,0,5.6990000000000025,14414.0,419,0,0.0,15561.724339680764,False,-0.5839763417087089,14,2.6800000000000006,65638,331,0,0.0,4613.091222806348,False,-0.0841448554139786,6,2.420000000000001,66496,287,0,0.0,3999.8706372973475,False,-0.0767124251061686,0.3333333333333333,282757,0.0,0.0,10,0,0,3,8,8.0,21,24,9,63.0,3.0,6,1,9,308,0.7853917529573664,41.64208627206972
29,9,0,0,0,10.000000000000002,20,10.0,37.31192854320098,9,40.0,13.839869159490195,14,12.928571428571429,36.99999999999999,20,37.0,0,0.23600000000000002,42059,11,38,1.0,1527.8532846416372,False,0.1688756043869641,0,0.2,40686,8,112,1.0,4258.93599683851,False,0.1686720165525509,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,14,5.8389999999999995,13685.0,428,0,0.0,15969.505416490018,False,-0.5938190682615743,14,2.806000000000001,65246,343,0,0.0,4747.0751217051375,False,-0.0885257853686958,6,2.4740000000000006,66396,289,0,0.0,3999.7221870926664,False,-0.07806137067752657,0.3333333333333333,281696,0.0,0.0,9,0,0,4,13,13.0,26,30,9,94.0,3.0,8,1,9,560,2.1817669000010937,43.82385317207081
30,9,0,0,0,10.000000000000002,20,10.0,37.415883033949854,24,38.0,13.646818533752786,2,1.0,36.99999999999999,20,37.0,0,0.23600000000000002,42339,11,38,1.0,1531.8035552900944,False,0.17657227256373648,0,0.2,41118,8,108,1.0,4120.915367666585,False,0.17858002194107692,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,2,5.845,12707.0,452,0,0.0,16911.979131345335,False,-0.6033179087971384,10,2.892000000000001,65115,345,0,0.0,4708.152394144711,False,-0.09055392188560861,10,2.568000000000001,66255,289,0,0.0,3943.930556254555,False,-0.08033799347423033,0.3333333333333333,281158,0.0,0.0,14,0,0,3,9,9.0,25,28,10,81.0,8.0,6,3,10,1112,0.9249769339803606,44.74883010605117
31,10,0,0,0,10.000000000000002,20,10.0,37.11940057426049,20,35.0,13.829705659647908,17,15.117647058823529,36.99999999999999,20,37.0,0,0.23600000000000002,42219,13,48,1.0,1911.7312275645036,False,0.17848197439082472,0,0.2,41738,6,98,1.0,3697.701256277528,False,0.18972733453812554,0,0.2,53624,0,0,0.0,0.0,False,0.005135895032802249,17,6.013000000000001,11556.0,472,0,0.0,17520.357071050952,False,-0.6191906553790913,10,2.982000000000001,64890,349,0,0.0,4826.56727521712,False,-0.09278871449703369,10,2.6580000000000004,65938,302,0,0.0,4176.571109213668,False,-0.08304304588934946,0.3333333333333333,279965,0.0,0.0,12,0,0,1,13,13.0,26,27,12,55.0,23.0,5,5,12,900,0.9210233490448445,45.66985345509602
