index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,12,0,0,0,10.000000000000002,20,10.0,27.27938760980935,1,2.0,37.35717572407219,7,16.0,39.99999999999999,20,40.0,0,0.30800000000000005,21983,4,29,1.0,831.1022406844712,False,0.21256773063784298,1,0.543,15367,210,0,0.0,2100.0000000000005,False,-0.11124945864010394,0,1.0190000000000001,26210,25,39,1.0,2138.9145434840493,False,-0.013686554640898716,0,0.2,27552,0,22,0.0,821.8578659295882,False,0.011024981306124611,3,0.6980000000000001,37092,1,10,1.0,437.35717572407214,False,-0.010720440465012972,7,1.7190000000000003,30543,126,0,0.0,4707.004141233097,False,-0.12776078296124765,0.5,158747,0.0,0.0,16,0,0,9,7,7.0,25,34,16,132.0,39.0,9,3,16,712,1.5250922370469198,33.083538797916844
21,16,0,0,0,10.000000000000002,20,10.0,27.72337452401056,10,32.0,37.35717572407219,0,,39.99999999999999,20,40.0,0,0.30800000000000005,22243,0,29,1.0,803.9778611963062,False,0.2259088853723556,0,0.542,15227,224,0,0.0,2240.0000000000005,False,-0.11503897791251624,0,1.0190000000000001,26210,15,49,1.0,2246.352228339696,False,-0.011744301317165088,0,0.2,27232,0,32,1.0,1195.4296231703102,False,0.006208504287553546,3,0.7250000000000001,37462,0,1,0.1,39.99999999999999,False,-0.006177913297096646,7,1.7820000000000003,30459,126,0,0.0,4707.004141233097,False,-0.12998801350612368,0.5166666666666667,158833,0.0,0.0,17,0,0,17,6,5.5,19,36,19,152.0,60.0,11,5,19,880,1.043083990982268,34.12662278889911
22,19,0,0,0,10.000000000000002,20,10.0,28.288488548557467,24,30.541666666666668,38.454176409877554,19,46.0,39.99999999999999,20,40.0,0,0.30800000000000005,22864,1,16,1.0,462.6158167769195,False,0.25028734887334664,1,0.552,15114,233,0,0.0,2330.0000000000005,False,-0.11872022520571676,0,1.0190000000000001,26351,29,40,1.0,2358.533224303269,False,-0.004618316141744377,0,0.2,27232,0,32,0.0,1230.5336451160817,False,0.006843113115845032,10,0.8220000000000001,37346,0,0,0.0,0.0,False,-0.009783905607848337,9,1.8650000000000002,29463,145,0,0.0,5575.855579432246,False,-0.14487795864467393,0.3333333333333333,158370,0.0,0.0,18,0,0,9,10,10.0,25,34,24,148.0,69.0,11,8,24,1845,1.1157660970347933,35.242388885933906
23,24,0,0,0,10.000000000000002,20,10.0,28.288488548557467,0,,38.72809452848996,7,44.0,39.99999999999999,20,40.0,0,0.30800000000000005,22734,4,26,1.0,775.5007022624941,False,0.2517188366788245,0,0.551,15044,240,0,0.0,2400.0000000000005,False,-0.12061498484192291,0,1.0190000000000001,26351,19,50,1.0,2473.88600884709,False,-0.002532974024747087,0,0.2,27540,0,25,0.0,968.202363212249,False,0.013236719271318443,12,0.9320000000000002,37138,0,0,0.0,0.0,False,-0.015298952671350922,8,1.9360000000000002,29043,152,0,0.0,5886.670368330474,False,-0.15189353879980813,0.3333333333333333,157850,0.0,0.0,12,0,0,16,11,11.0,25,41,22,230.0,48.0,18,6,22,508,1.1729400539770722,36.41532893991098
24,22,0,0,0,10.000000000000002,20,10.0,27.82753212373422,2,3.0,38.647346193324836,19,38.10526315789474,39.99999999999999,14,40.0,0,0.30800000000000005,22614,6,36,1.0,1061.791156454432,False,0.2529718264523179,2,0.5710000000000002,14920,248,0,0.0,2480.0000000000005,False,-0.12516240796881767,0,1.0190000000000001,27069,11,41,1.0,1890.6440472873946,False,0.012883144972293634,0,0.2,27540,0,25,0.0,966.183654833121,False,0.013200225157876914,1,0.9300000000000002,37050,0,5,0.5,199.99999999999997,False,-0.014980776879225772,13,2.0580000000000007,28163,166,0,0.0,6415.459468091923,False,-0.1682161014438297,0.4166666666666667,157356,0.0,0.0,11,0,0,15,9,9.0,18,33,28,150.0,66.0,10,12,28,924,1.1608506920165382,37.576179631927516
25,28,0,0,0,10.000000000000002,20,10.0,26.63110682119741,24,21.708333333333332,36.305011500676684,49,30.0,39.999999999999986,12,40.0,0,0.30800000000000005,22985,7,30,1.0,868.9332046359223,False,0.267836000558573,8,0.649,14654,257,0,0.0,2570.0000000000005,False,-0.13712646167171935,8,1.0990000000000002,27730,25,10,1.0,1028.827785536702,False,0.02120232456317711,0,0.2,27540,0,25,0.0,907.6252875169171,False,0.012141609796748061,0,0.9290000000000003,35580,39,15,1.0,2015.8954485263905,False,-0.02988339588325074,12,2.1650000000000005,27945,166,0,0.0,6026.63190911233,False,-0.17915110819153746,0.5,156434,0.0,0.0,14,0,0,22,10,9.16326530612245,19,41,18,232.0,43.0,18,10,18,681,1.5164855879847892,39.092665219912305
26,18,0,0,0,10.000000000000002,20,10.0,26.490885671197383,1,11.0,36.305011500676684,0,,39.999999999999986,5,40.0,0,0.30800000000000005,22866,10,39,1.0,1133.1445411766979,False,0.268545488879837,0,0.6410000000000001,14584,264,0,0.0,2640.0000000000005,False,-0.13902122130792552,0,1.0910000000000002,27719,16,20,1.0,1149.954400752692,False,0.02299433076781931,0,0.2,27540,0,25,0.0,907.6252875169171,False,0.012141609796748061,0,0.9290000000000003,35580,29,25,1.0,2052.8453335196236,False,-0.029393539261306847,5,2.2030000000000007,27889,166,0,0.0,6026.63190911233,False,-0.18063592855478816,0.5,156178,0.0,0.0,12,0,0,13,3,3.0,22,35,15,179.0,30.0,13,5,15,211,0.9567744059604593,40.049439625872765
27,15,0,0,0,10.000000000000002,20,10.0,26.490885671197383,0,,35.6702036698531,5,15.0,39.999999999999986,11,40.0,0,0.30800000000000005,22806,6,49,1.0,1358.0533978886717,False,0.2713851612680997,0,0.6410000000000001,14444,278,0,0.0,2780.0000000000005,False,-0.1428107405803378,0,1.0910000000000002,27794,6,25,1.0,1050.7004057735119,False,0.02391171461735321,0,0.2,27540,0,25,0.0,891.7550917463276,False,0.011854709157320313,0,0.9290000000000003,35505,24,35,1.0,2256.0848880764743,False,-0.02868772520116044,11,2.3080000000000003,27701,166,0,0.0,5921.253809195615,False,-0.1870177143153173,0.5,155790,0.0,0.0,14,0,0,11,6,6.0,23,34,15,158.0,30.0,10,5,15,275,0.9021403199876659,40.95157994586043
28,15,0,0,0,10.000000000000002,20,10.0,26.490885671197383,0,,35.6702036698531,0,,39.999999999999986,7,40.0,0,0.30800000000000005,22666,10,59,1.0,1662.9622546006456,False,0.27205939407212654,0,0.6410000000000001,14384,284,0,0.0,2840.0000000000005,False,-0.1444348202685145,0,1.0910000000000002,27794,0,31,0.6,1105.776313765446,False,0.024907374245524756,0,0.2,27540,0,25,0.0,891.7550917463276,False,0.011854709157320313,0,0.9290000000000003,35505,14,45,1.0,2299.3828513779426,False,-0.02811371004404157,7,2.3670000000000004,27609,166,0,0.0,5921.253809195615,False,-0.18945706205494345,0.43333333333333335,155498,0.0,0.0,12,0,0,6,5,5.0,23,29,11,130.0,48.0,9,6,11,200,0.6629046769812703,41.6144846228417
29,11,0,0,0,10.000000000000002,20,10.0,25.412923482951083,27,21.40740740740741,35.8519221497558,3,45.0,39.999999999999986,16,40.0,0,0.30800000000000005,23146,6,51,1.0,1356.0590976305052,False,0.2897374160250786,9,0.7310000000000001,14037,298,0,0.0,2980.0000000000005,False,-0.15943048938934604,0,1.0910000000000002,27216,17,41,1.0,1901.9485073501562,False,0.018402424386256354,0,0.2,27675,0,22,0.0,788.7422872946277,False,0.01487349568469568,0,0.9290000000000003,35665,4,51,1.0,2183.4076885990225,False,-0.025408886535874035,12,2.4800000000000004,27256,169,0,0.0,6058.974843308731,False,-0.1969909208099068,0.5,154995,0.0,0.0,15,0,0,6,10,10.0,24,30,13,99.0,39.0,8,3,13,1035,0.7506147549720481,42.36509937781375
