index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,6,0,0,0,10.000000000000002,10,10.0,15.317409477305555,2,12.0,22.54672222525642,12,17.0,43.000000000000014,8,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,2,1.4620000000000002,14386,229,0,0.0,2290.0000000000005,False,-0.2191553544494721,0,0.9560000000000002,32313,0,1,0.1,22.54672222525642,False,-0.050235841772561914,12,4.766000000000002,7761.0,125,0,0.0,1914.6761846631944,False,-0.7438344569450668,0,0.7040000000000002,43923,24,23,1.0,1530.1213334061545,False,0.011042096531743905,8,1.9270000000000003,32288,471,0,0.0,10619.506168095773,False,-0.1493721021708623,0.18333333333333335,150907,0.0,0.0,3,0,0,6,5,5.0,11,17,7,90.0,18.0,5,1,7,100,0.6445148789789528,30.869755773979705
21,7,0,0,0,10.000000000000002,11,10.0,14.96817254871449,13,12.923076923076923,22.54672222525642,0,,43.00000000000001,9,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,13,1.5900000000000003,14068,240,0,0.0,2400.0000000000005,False,-0.23237807943690297,0,0.9560000000000002,32145,3,11,1.0,292.9184621239641,False,-0.051199999087325,0,4.754000000000002,7761.0,125,0,0.0,1871.0215685893113,False,-0.7444757952549023,0,0.7040000000000002,43923,14,33,1.0,1734.65411115359,False,0.01335581573703158,9,2.0090000000000003,32165,471,0,0.0,10619.506168095773,False,-0.15215490760072656,0.3333333333333333,150298,0.0,0.0,3,0,0,7,5,5.0,11,18,8,108.0,18.0,6,1,8,110,0.6828941009589471,31.552649874938652
22,8,0,0,0,10.000000000000004,13,10.0,14.476970951796922,26,12.961538461538462,23.18312223821512,35,27.714285714285715,43.00000000000001,12,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,26,1.8370000000000006,13522,253,0,0.0,2530.000000000001,False,-0.25656108597285066,0,0.9560000000000002,32663,0,5,0.4,115.9156111910756,False,-0.038580307762956484,25,5.004000000000001,6486.0,150,0,0.0,2171.545642769538,False,-0.7775232760949412,0,0.7040000000000002,43658,9,43,1.0,2057.648100143936,False,0.01101411877990881,12,2.12,31260,501,0,0.0,11614.744241345776,False,-0.16137167147798898,0.2333333333333333,147825,0.0,0.0,6,0,0,10,8,8.0,9,19,12,111.0,18.0,7,1,12,660,0.8348454340011813,32.38749530893983
23,12,0,0,0,10.000000000000004,11,10.0,14.476970951796922,0,,23.577652517741626,14,30.785714285714285,43.00000000000001,11,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.8110000000000002,13412,264,0,0.0,2640.000000000001,False,-0.2593262946204123,0,0.9560000000000002,32928,0,0,0.0,0.0,False,-0.03249691484985603,9,5.069000000000001,6230.0,150,0,0.0,2171.545642769538,False,-0.7850451659697723,0,0.7040000000000002,43658,0,52,0.9,2236.0000000000005,False,0.013031674208144797,11,2.218000000000001,30654,515,0,0.0,12142.491046636937,False,-0.1691120922326139,0.15,147118,0.0,0.0,4,0,0,12,5,5.0,8,20,15,129.0,72.0,8,4,15,375,0.9734749650233425,33.360970273963176
24,15,0,0,0,10.000000000000002,14,10.0,14.476970951796922,0,,23.206573689514222,15,17.2,43.00000000000001,10,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.8110000000000004,13272,278,0,0.0,2780.0000000000005,False,-0.2628456510809452,12,1.076,32616,0,0,0.0,0.0,False,-0.04166421813480637,3,5.090000000000001,6155.0,150,0,0.0,2171.545642769538,False,-0.7872488446440392,0,0.7040000000000002,43454,2,62,1.0,2712.413147379029,False,0.013805578590260555,10,2.3070000000000004,30456,518,0,0.0,12021.005171168366,False,-0.1749660048510366,0.16666666666666666,146189,0.0,0.0,4,0,0,10,5,5.0,13,23,16,183.0,72.0,11,4,16,140,1.6734724540147,35.034442727977876
25,16,0,0,0,10.000000000000004,7,10.0,14.451327466076787,1,12.0,22.76258771814399,21,17.857142857142858,43.00000000000001,8,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,1,1.8210000000000004,13186,285,0,0.0,2850.000000000001,False,-0.26540975364504776,9,1.1540000000000004,32352,0,1,0.1,22.76258771814399,False,-0.0490867575407219,12,5.207000000000002,5843.0,150,0,0.0,2167.699119911518,False,-0.7964726579316049,0,0.7040000000000002,43283,1,72,1.0,3118.7625877181445,False,0.014533513435725585,8,2.3770000000000007,30174,530,0,0.0,12064.171490616314,False,-0.1808577885676888,0.18333333333333335,145074,0.0,0.0,2,0,0,11,6,6.0,15,26,15,237.0,36.0,14,2,15,70,1.0937059849966317,36.12814871297451
26,15,0,0,0,10.000000000000002,12,10.0,14.451327466076787,0,,22.5398679531345,18,19.72222222222222,43.0,15,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,0,1.8200000000000003,13066,297,0,0.0,2970.0000000000005,False,-0.2684263448969331,0,1.1450000000000002,32352,0,1,0.0,22.5398679531345,False,-0.04909002955936512,18,5.375000000000001,5307.0,150,0,0.0,2167.699119911518,False,-0.8122216148570325,0,0.7040000000000002,43188,0,78,0.6,3354.0,False,0.015045248868778281,15,2.5190000000000006,29623,543,0,0.0,12239.148298552034,False,-0.19134447626072368,0.09999999999999999,143772,0.0,0.0,3,0,0,10,6,6.0,12,22,10,198.0,42.0,11,4,10,120,0.8996089120046236,37.02775762497913
27,10,0,0,0,10.000000000000002,11,10.0,13.574419099336104,30,11.033333333333333,23.303964286112354,56,26.321428571428573,43.00000000000001,12,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,30,2.1200000000000006,12418,308,0,0.0,3080.0000000000005,False,-0.29824032176973353,4,1.1850000000000003,32263,0,1,0.1,23.303964286112354,False,-0.051693836100868085,51,5.867000000000002,2615.0,179,0,0.0,2429.821018781163,False,-0.8874681051480701,0,0.7040000000000002,41714,46,88,1.0,4855.982357161169,False,-0.001312416774194986,12,2.6240000000000006,29422,543,0,0.0,12654.052607359008,False,-0.19119849991675322,0.18333333333333335,138668,0.0,0.0,3,0,0,7,10,9.8,11,18,7,126.0,24.0,7,3,7,110,0.6620778180076741,37.689835442986805
28,7,0,0,0,10.000000000000002,8,10.0,13.529165496110688,9,13.0,22.827448069975944,24,17.875,43.00000000000001,10,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,9,2.1800000000000006,12203,316,0,0.0,3160.0000000000005,False,-0.3070387129210659,2,1.201,32234,0,0,0.0,0.0,False,-0.05288828818240583,21,6.026000000000002,1722.0,188,0,0.0,2543.483113268809,False,-0.9120367410050418,0,0.7040000000000002,41432,52,98,1.0,5401.02729963875,False,-0.001526840501824092,10,2.7120000000000006,29122,551,0,0.0,12577.923886556746,False,-0.19884701485795536,0.16666666666666666,136949,0.0,0.0,2,0,0,6,8,7.666666666666666,9,15,10,72.0,24.0,4,3,10,80,0.5873881989973597,38.277223641984165
29,10,0,0,0,10.000000000000002,12,10.0,13.51443592244679,1,12.0,22.53200993088517,22,19.227272727272727,43.0,20,43.0,0,0.2,20236,0,0,0.0,0.0,False,0.01739567621920563,1,2.181000000000001,12067,328,0,0.0,3280.0000000000005,False,-0.31085972850678734,2,1.2190000000000003,32174,0,1,0.1,22.53200993088517,False,-0.05432020905666556,20,6.205000000000001,1007.0,188,0,0.0,2540.7139534199964,False,-0.9330858266230828,0,0.7040000000000002,41572,59,97,1.0,5500.388585922225,False,0.002764576763826029,9,2.7920000000000007,28903,556,0,0.0,12527.797521572154,False,-0.2043688063170571,0.18333333333333335,135959,0.0,0.0,6,0,0,12,10,10.0,6,18,6,144.0,21.0,8,2,6,593,0.7399632849846967,39.01718692696886
