index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,23,0,0,0,9.999999999999998,8,10.0,26.960242441702587,11,29.0,9.245063342223292,68,12.455882352941176,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,1,0.669,30434,0,9,0.9,242.64218197532327,False,0.129544973974628,2,0.7960000000000003,42099,0,10,1.0,92.45063342223291,False,-0.016034149311003002,56,7.204000000000002,-3301.0,153,0,0.0,4124.917093580496,False,-1.0289162647835672,0,0.3440000000000001,64490,225,18,1.0,2836.1392520002405,False,0.054714743810912535,10,1.9200000000000004,55560,548,0,0.0,5066.294711538364,False,-0.0703460232077777,0.48333333333333334,216796,0.0,0.0,8,0,0,16,11,17.683333333333334,14,30,13,252.0,49.0,18,5,13,734,1.6199377260054462,61.72432216309244
21,13,0,0,0,9.999999999999996,11,10.0,26.056973520023703,13,17.0,9.796811925404667,17,22.235294117647058,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,4,0.7080000000000002,30457,1,10,1.0,270.569735200237,False,0.13091142167018296,0,0.794,42314,0,5,0.0,48.984059627023335,False,-0.011521945512385338,12,7.2680000000000025,-8624.0,166,0,0.0,4325.457604323935,False,-1.150851494159461,0,0.3440000000000001,64436,227,21,1.0,3105.876307066859,False,0.05600886801730585,13,2.040000000000001,55306,553,0,0.0,5417.636994748781,False,-0.07159950555498741,0.3333333333333333,211403,0.0,0.0,6,0,0,10,7,23.43891402714932,11,21,16,147.0,35.0,9,4,16,619,1.2508314249571413,62.97515358804958
22,16,0,0,1,9.999999999999996,13,10.0,25.52815532998257,8,17.0,10.739693707541829,14,35.0,41.99999999999999,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,30463,4,12,1.0,346.33786395979087,False,0.13253369309747873,9,0.8840000000000001,42470,0,0,0.0,0.0,False,-0.008451624953305939,0,7.256000000000002,-22963.0,174,0,0.0,4441.899027416967,True,-1.4842652803112513,0,0.3440000000000001,64683,222,20,1.0,3224.212003074286,False,0.06090841590579378,9,2.1170000000000004,54903,562,0,0.0,6035.707863638508,False,-0.07310320325466473,0.3333333333333333,220033,0.0,0.125,8,0,0,14,11,368.20016339869284,11,25,18,162.0,25.0,13,3,18,807,1.482916868000757,64.45807045605034
23,18,0,0,0,9.999999999999998,13,10.0,25.52815532998257,0,,11.947354427641024,14,41.0,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,30333,7,22,1.0,631.6194172596165,False,0.13300098734352916,14,1.0150000000000001,42505,0,0,0.0,0.0,False,-0.007634478894284647,0,7.256,-22963.0,174,0,0.0,4441.899027416967,True,-1.4842652803112513,0,0.3440000000000001,64900,219,18,1.0,3372.4706196533843,False,0.06556730480287234,8,2.1880000000000006,54520,569,0,0.0,6798.044669327743,False,-0.07313251396783635,0.3333333333333333,219772,0.0,0.125,7,0,0,12,10,10.0,6,18,7,181.0,37.0,12,6,7,634,1.4949361290200613,65.9530065850704
24,7,0,0,0,9.999999999999998,10,10.0,25.52815532998257,0,,11.947354427641024,0,,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,30233,7,32,1.0,886.9009705594423,False,0.13402278974084958,0,1.0010000000000001,42505,0,0,0.0,0.0,False,-0.007634478894284647,0,7.256000000000002,-22963.0,174,0,0.0,4441.899027416967,True,-1.4842652803112513,0,0.3440000000000001,65530,209,13,1.0,3042.997075376974,False,0.07301282686054325,5,2.2300000000000004,54468,569,0,0.0,6798.044669327743,False,-0.07396466042561292,0.3333333333333333,220250,0.0,0.125,7,0,0,8,10,357.92424242424244,10,18,8,115.0,0.0,7,0,8,730,1.1464946590131149,67.09950124408351
25,8,0,0,0,9.999999999999998,13,10.0,25.539995149700243,1,27.0,13.533969693815854,17,43.0,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,30130,10,41,1.0,1147.13980113771,False,0.13502531886321595,17,1.171,42631,0,1,0.1,13.533969693815854,False,-0.004534764081833475,0,7.256000000000002,-22963.0,174,0,0.0,4443.959156047842,True,-1.4842412313685114,0,0.3440000000000001,65950,199,13,1.0,3239.259969069355,False,0.0813043893250761,10,2.3250000000000006,53588,586,0,0.0,7930.906240576091,False,-0.07898265102197113,0.35000000000000003,219813,0.0,0.125,8,0,0,9,7,837.827497665733,9,18,8,122.0,3.0,7,1,8,577,1.1220244040014222,68.22152564808493
26,8,0,0,0,10.0,9,10.0,25.88092121708207,18,28.0,13.985051938300465,5,41.0,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,30544,9,33,1.0,944.0704001637083,False,0.14657628923447757,4,1.1940000000000002,42196,8,10,1.0,346.8978891196612,False,-0.010799193487116405,0,7.256000000000002,-22963.0,174,0,0.0,4503.28029177228,True,-1.4835487451931701,0,0.3440000000000001,66328,189,14,1.0,3231.174816338788,False,0.08728876135270833,11,2.4250000000000007,53217,591,0,0.0,8265.165695535576,False,-0.08224514958204186,0.5,219799,0.0,0.125,7,0,0,10,11,110.2069264069264,7,17,5,93.0,6.0,6,2,5,972,1.0649694229941815,69.28649507107912
27,5,0,0,0,10.0,11,10.0,25.917735856054943,28,26.071428571428573,13.882022036177192,15,12.0,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,31164,10,15,1.0,488.76603784082414,False,0.16108029347973873,5,1.2400000000000002,41476,26,10,1.0,812.6813526192004,False,-0.022171724964755345,0,7.256,-22963.0,174,0,0.0,4509.6860389535605,True,-1.4834739676065376,0,0.3440000000000001,66832,179,12,1.0,2988.8819444757173,False,0.09341549668322205,8,2.494000000000001,52943,606,0,0.0,8412.505353923378,False,-0.08545099654400472,0.5,219929,0.0,0.125,9,0,0,9,5,229.2770068027211,7,16,8,75.0,0.0,5,0,8,1344,1.0269588389783166,70.31345391005743
28,8,0,0,0,9.999999999999998,12,10.0,25.917735856054943,0,,13.90722999384762,6,15.0,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,31044,12,25,1.0,767.9433964013735,False,0.16180443230197356,0,1.235,41566,16,14,1.0,609.3849936107458,False,-0.022443675364088256,0,7.256000000000002,-22963.0,174,0,0.0,4509.6860389535605,True,-1.4834739676065376,0,0.3440000000000001,67126,169,15,1.0,2980.3218689602477,False,0.09805183207412706,13,2.6160000000000005,52616,612,0,0.0,8511.224756234744,False,-0.0898940232982225,0.5,219866,0.0,0.125,6,0,0,8,5,5.0,10,18,8,141.0,0.0,8,0,8,504,1.0647083789808676,71.3781622890383
29,8,0,0,0,10.0,10,10.0,25.27167862067846,23,21.608695652173914,13.872968557977737,22,13.5,42.0,20,42.0,0,0.2,27514,0,0,0.0,0.0,False,0.017115818269195223,0,0.7040000000000002,31441,12,12,1.0,423.26014344814155,False,0.17010942559328934,8,1.3150000000000002,41094,29,10,1.0,871.6083655794528,False,-0.03040240514592536,0,7.256000000000002,-22963.0,174,0,0.0,4397.2720799980525,True,-1.4847862336571016,0,0.3440000000000001,67462,159,17,1.0,2919.80200071846,False,0.10294453424377453,12,2.723000000000001,52126,634,0,0.0,8795.462065757885,False,-0.09546110462835145,0.5,219637,0.0,0.125,10,0,0,6,5,4.888888888888889,10,16,4,60.0,9.0,5,3,4,1095,0.9331077949609607,72.31127008399926
