index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,20,0,0,0,10.000000000000002,20,10.0,18.314181765046026,13,23.0,23.3274467303787,18,12.0,37.000000000000014,20,37.0,3,0.24800000000000003,33411,3,10,1.0,213.14181765046027,False,0.07794336234724492,0,0.9380000000000002,27499,208,0,0.0,2080.0000000000005,False,-0.08217019360648356,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,5,0.655,44478,84,10,1.0,1771.665735567653,False,0.018679441026314313,9,1.7570000000000001,64356,147,0,0.0,3429.1346693656687,False,-0.0465182074251329,11,1.9030000000000005,63013,95,0,0.0,2216.1074393859767,False,-0.07465215286037771,0.3333333333333333,277750,0.0,0.0,6,0,0,12,7,5.786324786324786,11,23,20,177.0,67.0,13,7,20,299,1.4894769666716456,49.18251608218998
21,20,0,0,0,10.000000000000002,20,10.0,17.880879854877094,4,4.0,22.837206794920522,22,19.818181818181817,37.000000000000014,20,37.0,0,0.24500000000000002,33331,1,20,1.0,367.6175970975419,False,0.07785453137418064,4,0.9780000000000002,27315,220,0,0.0,2200.0000000000005,False,-0.08615810124139706,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,12,0.77,44517,78,10,1.0,1623.0806966296186,False,0.017886920603494366,10,1.848,64138,154,0,0.0,3516.9298464177605,False,-0.04903072526901485,10,1.9920000000000004,62545,110,0,0.0,2512.0927474412574,False,-0.0792702633168726,0.3333333333333333,276839,0.0,0.0,6,0,0,9,10,9.75,15,24,17,189.0,67.0,12,8,17,291,1.3966490617021918,50.57916514389217
22,17,0,0,0,10.000000000000002,20,10.0,17.46552581958827,3,1.0,22.67204716480949,14,21.0,37.00000000000001,20,37.0,0,0.24500000000000002,33271,0,27,0.7,471.5691971288833,False,0.07759646872594192,3,1.0040000000000002,27121,234,0,0.0,2340.0000000000005,False,-0.09014600887631054,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,4,0.7980000000000003,44692,71,10,1.0,1466.772804838862,False,0.02006167255949505,13,1.9680000000000002,63951,154,0,0.0,3491.4952633806615,False,-0.051912898206333394,7,2.0520000000000005,62178,124,0,0.0,2811.333848436377,False,-0.08240732351692515,0.2833333333333333,276206,0.0,0.0,6,0,0,10,7,6.285714285714286,11,21,21,159.0,33.0,11,6,21,200,1.3508324464783072,51.929997590370476
23,21,0,0,0,10.000000000000002,20,10.0,17.027355736217352,3,1.0,22.211974853007643,7,13.0,37.00000000000001,20,37.0,0,0.24500000000000002,33141,3,37,1.0,660.012162240042,False,0.07644581208979301,3,1.0310000000000001,26997,241,0,0.0,2410.0000000000005,False,-0.09300829742072425,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.794,44780,64,13,1.0,1378.5064402070097,False,0.021046735383623158,8,2.0350000000000006,63772,161,0,0.0,3576.1279513342306,False,-0.05388541611586695,12,2.1650000000000005,62012,124,0,0.0,2754.2848817729478,False,-0.0852145576689688,0.3333333333333333,275695,0.0,0.0,6,0,0,9,6,6.0,12,21,22,154.0,61.0,10,11,22,291,1.4612617269158363,53.39125931728631
24,22,0,0,0,10.000000000000002,20,10.0,18.55248585879037,24,25.0,22.211974853007643,0,,37.0,20,37.0,0,0.24500000000000002,33611,6,23,1.0,486.7071747521785,False,0.08877447698514479,0,1.0280000000000002,26927,248,0,0.0,2480.0000000000005,False,-0.09413391651122403,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.7940000000000003,44180,78,23,1.0,1957.9693186048246,False,0.014079418380095486,9,2.1170000000000004,63681,161,0,0.0,3576.1279513342306,False,-0.05519866112986528,11,2.263000000000001,61873,124,0,0.0,2754.2848817729478,False,-0.0872205033496915,0.3333333333333333,275265,0.0,0.0,7,0,0,13,5,5.0,12,25,25,161.0,66.0,15,7,25,800,1.4903520289808512,54.881611346267164
25,25,0,0,0,10.000000000000002,20,10.0,18.338339368876873,36,17.666666666666668,22.225373902951876,1,24.0,36.99999999999999,20,37.0,4,0.28500000000000003,34084,3,10,1.0,213.38339368876873,False,0.09959129403886229,9,1.118,26618,261,0,0.0,2610.0000000000005,False,-0.10198108959927961,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.7940000000000003,43568,104,32,1.0,2618.3992592576546,False,0.007751720776718474,9,2.1980000000000004,63578,161,0,0.0,3578.285198375252,False,-0.05666951540988218,11,2.3620000000000005,61695,125,0,0.0,2778.1717378689846,False,-0.0896169095602146,0.3333333333333333,274536,0.0,0.0,7,0,0,11,10,9.23076923076923,16,27,24,164.0,90.0,15,10,24,523,1.472815364599228,56.35442671086639
26,24,0,0,0,10.000000000000002,20,10.0,17.477710757922168,7,1.0,24.783261826703324,24,37.583333333333336,36.99999999999999,20,37.0,0,0.281,33974,4,20,1.0,389.55421515844336,False,0.09888650889493854,7,1.1790000000000003,26402,270,0,0.0,2700.0000000000005,False,-0.10748054287000708,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.794,44463,101,18,1.0,2211.347499430799,False,0.023279299149272493,6,2.2490000000000006,62889,178,0,0.0,4411.420605153192,False,-0.06060105777445959,14,2.491000000000001,61191,132,0,0.0,3271.3905611248388,False,-0.0933313810638379,0.3333333333333333,273912,0.0,0.0,8,0,0,10,7,7.0,12,22,25,168.0,96.0,12,12,25,1102,1.3809591494500637,57.735385860316455
27,25,0,0,0,10.000000000000002,20,10.0,16.742355112623233,22,12.5,25.60799916275446,5,47.0,36.99999999999999,20,37.0,0,0.281,34157,1,19,1.0,328.10474713984144,False,0.10378376450665457,11,1.2820000000000003,26085,283,0,0.0,2830.0000000000005,False,-0.11558500032160546,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.794,44423,113,23,1.0,2480.870108469778,False,0.025407236464450082,12,2.363000000000001,62723,178,0,0.0,4558.223850970294,False,-0.06193736939006056,8,2.557000000000001,60870,137,0,0.0,3508.295885297361,False,-0.09625439514750651,0.3333333333333333,273251,0.0,0.0,7,0,0,13,6,6.0,12,25,22,181.0,87.0,15,10,22,688,1.3698643520474434,59.1052502123639
28,22,0,0,0,10.000000000000002,20,10.0,16.742355112623233,0,,24.85180667640338,9,14.666666666666666,36.99999999999999,20,37.0,0,0.281,34047,2,29,1.0,505.52829826607376,False,0.10309912359725465,0,1.2710000000000004,25995,292,0,0.0,2920.0000000000005,False,-0.11703222486653374,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.7940000000000003,44555,103,24,1.0,2320.905936833874,False,0.026575338372786743,10,2.4510000000000005,62526,185,0,0.0,4597.5842351346255,False,-0.06449631833106313,10,2.649000000000001,60695,139,0,0.0,3454.40112802007,False,-0.09916875106055312,0.3333333333333333,272811,0.0,0.0,7,0,0,10,6,6.0,10,20,22,169.0,81.0,10,12,22,332,1.3034720607101917,60.40872227307409
29,22,0,0,0,10.000000000000002,20,10.0,16.90124849564212,3,24.0,24.204338584499748,19,20.210526315789473,36.99999999999999,20,37.0,0,0.281,34029,1,36,1.0,618.4449458431162,False,0.10433596426711132,0,1.2710000000000004,25885,303,0,0.0,3030.0000000000005,False,-0.11880105486589053,0,0.2,44993,0,0,0.0,0.0,False,0.010352106350489535,0,0.7940000000000003,44867,96,15,1.0,1985.5849343491395,False,0.02981659182553156,14,2.5810000000000004,62271,186,0,0.0,4502.006976716953,False,-0.06886594094209493,6,2.6990000000000007,60296,157,0,0.0,3800.0811577664604,False,-0.10243252548729719,0.3333333333333333,272341,0.0,0.0,9,0,0,12,6,6.0,12,24,16,187.0,69.0,13,9,16,656,1.2065746821463108,61.6152969552204
