index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,13,0,0,0,10.000000000000002,20,10.0,14.738281183650967,23,21.956521739130434,27.08640363722535,13,34.30769230769231,25.00000000000001,20,25.0,11,0.382,47221,0,9,0.9,132.6445306528587,False,0.031573347847435235,2,1.7320000000000002,40813,218,0,0.0,2180.0000000000005,False,-0.08588568935427573,0,0.2,61852,184,49,1.0,4039.07751601582,False,0.011938571532810156,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,9,1.7660000000000002,75624,69,0,0.0,1868.961850968549,False,-0.0307335360002498,8,1.2610000000000003,77499,0,10,1.0,250.0000000000001,False,-0.017243562150254476,0.48333333333333334,366384,0.0,0.0,7,0,0,7,8,6.590909090909091,12,19,12,79.0,15.0,8,5,12,646,1.3604179415851831,72.4279954591766
21,12,0,0,0,10.000000000000002,20,10.0,14.554512704545164,30,13.5,27.08640363722535,0,,25.00000000000001,20,25.0,16,0.5310000000000001,47217,0,10,1.0,145.54512704545164,False,0.0316268011239687,5,1.7800000000000002,40623,228,0,0.0,2280.0000000000005,False,-0.08893979057591624,0,0.2,61447,204,59,1.0,4567.218406323509,False,0.009705776532237267,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,9,1.8470000000000002,75555,69,0,0.0,1868.961850968549,False,-0.03160710853209089,1,1.2630000000000003,77744,0,0,0.0,0.0,False,-0.015724305573139544,0.3333333333333333,365961,0.0,0.0,8,0,0,6,5,3.8066666666666666,12,18,7,74.0,12.0,8,4,7,325,1.3962476402521133,73.82424309942871
22,7,0,0,0,10.000000000000002,20,10.0,14.952606781007995,9,23.0,26.649496297939926,5,20.0,25.00000000000001,20,25.0,0,0.5150000000000001,47324,0,11,1.0,164.47867459108795,False,0.034167524810112156,0,1.7750000000000004,40523,238,0,0.0,2380.0000000000005,False,-0.0900305410122164,0,0.2,61340,203,64,1.0,4740.946939612779,False,0.009386759241522089,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,7,1.9080000000000004,75404,74,0,0.0,1972.0627260475546,False,-0.03286618688091839,13,1.3920000000000001,77611,0,0,0.0,0.0,False,-0.017408148279441926,0.3333333333333333,365577,0.0,0.0,8,0,0,4,5,5.0,11,15,7,37.0,9.0,4,3,7,507,1.1547707812860608,74.97901388071477
23,7,0,0,0,10.000000000000002,20,10.0,14.42341341293811,40,12.15,25.004849747499506,8,10.0,25.000000000000007,20,25.0,15,0.665,47325,3,10,1.0,174.23413412938112,False,0.03429574753631522,14,1.9150000000000003,40257,245,0,0.0,2450.0000000000005,False,-0.09506980802792321,0,0.2,60934,233,66,1.0,5010.975408549547,False,0.005093439340200509,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,8,1.9810000000000003,75350,74,0,0.0,1850.3588813149634,False,-0.03432026636799588,12,1.4990000000000003,77417,0,8,0.8,200.00000000000006,False,-0.018598232598181955,0.4666666666666666,364658,0.0,0.0,6,0,0,6,7,6.576923076923077,10,16,8,43.0,3.0,6,1,8,280,1.010183446109295,75.98919732682407
24,8,0,0,0,10.000000000000002,20,10.0,15.00889880032165,42,17.666666666666668,27.047227522067363,24,33.25,25.00000000000001,20,25.0,32,0.9700000000000002,47339,5,10,1.0,200.08898800321649,False,0.03488316958991295,0,1.9010000000000005,40177,253,0,0.0,2530.0000000000005,False,-0.09594240837696336,0,0.2,60990,265,52,1.0,5383.81401323274,False,0.008934171022788578,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,13,2.1030000000000006,74418,98,0,0.0,2650.6282971626015,False,-0.041053931727378326,0,1.487,77592,0,1,0.0,25.00000000000001,False,-0.017490441344035653,0.3333333333333333,363891,0.0,0.0,11,0,0,4,4,4.0,13,17,10,54.0,9.0,5,3,10,1403,1.2143946373835206,77.20359196420759
25,10,0,0,0,10.000000000000002,20,10.0,14.0091839127195,36,8.194444444444445,27.047227522067363,0,,25.00000000000001,20,25.0,4,0.9780000000000002,47395,6,10,1.0,200.091839127195,False,0.03610484117721639,22,2.1210000000000004,39618,262,0,0.0,2620.0000000000005,False,-0.10715532286212914,0,0.2,60695,291,62,1.0,5753.600624969551,False,0.007189713116460829,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,8,2.1700000000000004,74358,98,0,0.0,2650.6282971626015,False,-0.04181356001593579,11,1.5970000000000002,77520,0,0,0.0,0.0,False,-0.018560251183754085,0.3333333333333333,362961,0.0,0.0,6,0,0,4,8,7.466666666666667,13,17,14,92.0,9.0,7,3,14,407,1.100557016208768,78.30414898041636
26,14,0,0,0,10.000000000000002,20,10.0,13.895149253335115,65,13.507692307692308,27.453891554900753,10,31.0,25.000000000000007,20,25.0,29,1.2640000000000002,47341,10,10,1.0,238.95149253335114,False,0.03535069254508453,26,2.359000000000001,39110,268,0,0.0,2680.0000000000005,False,-0.11758289703315881,0,0.2,60127,346,62,1.0,6509.862918057796,False,0.004181556117571842,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,9,2.2520000000000007,74292,98,0,0.0,2690.481372380274,False,-0.04239687177233763,11,1.6960000000000004,77110,0,10,1.0,250.00000000000006,False,-0.022168485554402047,0.5,361355,0.0,0.0,7,0,0,9,10,9.23076923076923,9,18,7,65.0,18.0,8,6,7,510,1.4182885522022843,79.72243753261864
27,7,0,0,0,10.000000000000002,20,10.0,13.524913482973027,10,4.0,26.4814256028122,50,24.78,25.00000000000001,20,25.0,0,1.235,47286,9,15,1.0,292.8737022445954,False,0.0347390238028425,5,2.383000000000001,38910,279,0,0.0,2790.0000000000005,False,-0.12074607329842932,0,0.2,61326,346,22,1.0,5262.211428370536,False,0.01329423800160438,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,8,2.323000000000001,73856,107,0,0.0,2833.5125395009054,False,-0.04701141633010347,2,1.7050000000000003,76489,31,10,1.0,1070.9241936871783,False,-0.024833994671921707,0.5,361242,0.0,0.0,10,0,0,6,4,3.5,10,16,15,56.0,3.0,6,1,15,1674,1.0485866367816925,80.77102416940033
28,15,0,0,0,10.000000000000002,20,10.0,14.436467975844552,75,17.36,26.89408494958847,10,32.0,25.00000000000001,20,25.0,21,1.4450000000000003,47579,9,10,1.0,234.36467975844556,False,0.040492633941518884,39,2.7680000000000007,38123,289,0,0.0,2890.0000000000005,False,-0.13682373472949388,0,0.2,60344,411,22,1.0,6525.058206963057,False,0.007739933196259877,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,10,2.4150000000000005,73769,107,0,0.0,2877.6670896059663,False,-0.047833368637442295,0,1.7030000000000003,76419,31,10,1.0,1083.7166334372428,False,-0.025639248515957065,0.5,359609,0.0,0.0,11,0,0,5,9,8.583333333333334,14,19,12,120.0,33.0,9,6,12,1020,1.2243629144504666,81.9953870838508
29,12,0,0,0,10.000000000000002,20,10.0,14.446114150317008,23,14.565217391304348,27.773240493903447,8,41.0,25.000000000000007,20,25.0,1,1.4340000000000002,47733,7,10,1.0,214.4611415031701,False,0.043635047354964755,12,2.849000000000001,37827,301,0,0.0,3010.0000000000005,False,-0.14197207678883073,0,0.2,60337,424,24,1.0,6791.7101715880935,False,0.009741358816725023,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,12,2.525000000000001,73320,115,0,0.0,3193.9226567988962,False,-0.051515948036367776,0,1.7030000000000003,76619,21,12,1.0,883.2380503719725,False,-0.024376230911984646,0.5,359211,0.0,0.0,8,0,0,5,6,5.090909090909091,13,18,12,68.0,23.0,8,4,12,728,1.1152307307347655,83.11061781458557
