index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,20,0,0,0,10.000000000000002,20,10.0,25.325424801883223,33,25.454545454545453,14.877978776672292,0,,28.000000000000004,10,28.0,3,0.7520000000000002,47694,10,10,1.0,353.25424801883224,False,0.07121883109580679,0,0.686,47249,3,25,1.0,663.1356200470806,False,0.06472806592426464,0,0.2,64702,85,44,1.0,2807.2921743336547,False,-0.020831169463697948,0,2.7110000000000007,54135.0,222,0,0.0,5622.244306018076,False,-0.15650370077898684,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.30800000000000005,81674,226,10,1.0,3642.423203527938,False,0.013869702400203559,0.6666666666666666,377693,0.0,0.0,13,0,0,19,1,0.6,12,31,17,280.0,3.0,19,1,17,1280,1.9912648806348443,44.23429247364402
21,17,0,0,0,10.000000000000002,20,10.0,25.00042178844433,49,23.612244897959183,14.552442352967214,8,6.0,28.000000000000004,10,28.0,15,0.8990000000000002,47874,11,10,1.0,360.00421788444334,False,0.07532228134940527,0,0.686,47741,2,11,1.0,295.00463967288766,False,0.07161883100242668,0,0.2,63545,124,54,1.0,3885.8841888273264,False,-0.029980713141165044,8,2.791000000000001,53951.0,222,0,0.0,5550.093637034642,False,-0.15976349658553557,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.30800000000000005,81906,224,10,1.0,3539.7470870646557,False,0.016063452983283336,0.6666666666666666,377256,0.0,0.0,13,0,0,13,2,1.9375,13,26,16,158.0,45.0,12,5,16,1269,1.6917929789051414,45.92608545254916
22,16,0,0,0,10.000000000000002,20,10.0,24.996413193692874,19,24.94736842105263,14.089534415677528,10,5.0,28.0,11,28.0,4,0.9240000000000002,48040,9,10,1.0,339.96413193692877,False,0.07881270287254885,0,0.6860000000000002,47773,4,16,1.0,439.942611099086,False,0.07395657235834105,0,0.2,63199,129,64,1.0,4126.267504589742,False,-0.03332542729744528,10,2.883000000000001,53583.0,226,0,0.0,5649.1893817745895,False,-0.16448046731118476,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,1,0.31800000000000006,82130,224,10,1.0,3436.055709111766,False,0.018153896695395227,0.6666666666666666,376964,0.0,0.0,12,0,0,14,3,1.4857142857142855,14,28,13,200.0,3.0,15,1,13,520,1.6982755931094289,47.62436104565859
23,13,0,0,0,10.000000000000002,20,10.0,25.62740958209704,29,30.551724137931036,13.200953606372387,30,7.7,28.0,10,28.0,4,0.9600000000000002,48230,13,10,1.0,386.2740958209704,False,0.0835825511974241,0,0.686,48193,0,11,1.0,281.90150540306746,False,0.0815867962921037,0,0.2,63264,119,69,1.0,3960.5275391092428,False,-0.033590120725876554,25,3.1230000000000007,51871.0,255,0,0.0,6534.989443434745,False,-0.18327860644452282,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,0,0.31700000000000006,82179,244,10,1.0,3501.0326799548625,False,0.019143399025869513,0.6666666666666666,375976,0.0,0.0,12,0,0,12,7,6.285714285714286,11,23,14,134.0,6.0,11,2,14,1025,1.7650858266279101,49.3894468722865
24,14,0,0,0,10.000000000000002,20,10.0,26.017910584455443,15,32.0,12.749027175135875,9,3.0,28.0,11,28.0,0,0.9560000000000002,48152,14,19,1.0,634.3403011046535,False,0.08461265105962056,3,0.716,48494,0,9,0.9,234.161195260099,False,0.08778823392476832,0,0.2,63264,109,79,1.0,3843.1254005413775,False,-0.034459611620590566,9,3.188000000000001,51157.0,270,0,0.0,7024.835857802969,False,-0.19022665705502004,0,0.2,82239,0,7,0.0,196.0,False,-0.00019428557551030322,1,0.32700000000000007,82426,243,10,1.0,3378.0136035580176,False,0.021395781596043904,0.65,375732,0.0,0.0,10,0,0,9,3,2.2142857142857144,11,20,19,115.0,58.0,8,6,19,512,1.5051963673904538,50.89464323967695
25,19,0,0,0,10.000000000000002,20,10.0,25.881280623745617,16,24.0,14.340884578976514,38,22.0,28.000000000000004,7,28.0,0,0.9560000000000002,48150,13,25,1.0,777.0320155936404,False,0.08616442910393882,3,0.7430000000000001,48623,1,10,1.0,268.8128062374562,False,0.09106262090759779,0,0.2,63168,103,89,1.0,3942.110631774708,False,-0.035148487440938625,38,3.5590000000000006,50603.0,282,0,0.0,7298.521135896264,False,-0.19640566761541453,0,0.2,82239,0,7,0.0,196.00000000000003,False,-0.00019428557551030322,0,0.32600000000000007,81786,271,13,1.0,4250.379720902635,False,0.018920863362006383,0.6666666666666666,374569,0.0,0.0,11,0,0,14,2,1.75,10,24,17,153.0,69.0,12,7,17,684,1.8482191283255816,52.742862368002534
26,17,0,0,0,10.000000000000002,20,10.0,25.919652118759572,2,30.0,15.856869290191838,65,20.49230769230769,28.000000000000004,13,28.0,0,0.9560000000000002,48080,16,33,1.0,1015.3485199190659,False,0.08726446159952406,0,0.7400000000000002,48553,0,18,0.8,466.5537381376723,False,0.09170866606401806,0,0.2,64260,93,54,1.0,3266.7985887149994,False,-0.02397500748966851,20,3.7210000000000005,50203.0,284,0,0.0,7361.181201727719,False,-0.2018664740955111,0,0.2,82203,0,8,0.1,224.00000000000003,False,-0.0004614282418369701,0,0.32600000000000007,80854,325,10,1.0,5433.482519312347,False,0.014786847590933872,0.65,374153,0.0,0.0,12,0,0,14,1,1.0,12,26,24,189.0,45.0,14,3,24,1716,1.7756524942815304,54.518514862284064
27,24,0,0,0,10.000000000000002,20,10.0,25.83272037347234,61,25.557377049180328,15.288630077883044,10,1.8,28.0,11,28.0,2,0.9760000000000002,48912,15,10,1.0,408.3272037347234,False,0.09909066420218761,8,0.8200000000000001,48889,1,10,1.0,268.3272037347234,False,0.09700956860605442,0,0.2,63314,123,64,1.0,4155.896930921613,False,-0.03140258819971546,10,3.8010000000000006,49288.0,305,0,0.0,7878.979713909064,False,-0.21158475742157642,0,0.2,82203,0,8,0.0,224.0,False,-0.0004614282418369701,1,0.336,81110,325,10,1.0,5248.804775311989,False,0.016774159868565747,0.6666666666666666,373716,0.0,0.0,13,0,0,20,6,3.803921568627451,13,33,8,286.0,20.0,21,3,8,1240,1.9895930597558618,56.508107922039926
28,8,0,0,0,10.000000000000002,20,10.0,25.339561551475693,26,21.0,13.983955596716283,33,5.181818181818182,28.0,10,28.0,9,1.0640000000000003,49088,14,10,1.0,393.39561551475697,False,0.10286201682235456,0,0.812,48888,2,13,1.0,349.414300169184,False,0.097894449294768,0,0.2,62928,137,66,1.0,4394.461001935444,False,-0.03535326310925877,25,4.041000000000001,48334.0,307,0,0.0,7779.2453963030375,False,-0.22645422001790022,0,0.2,82203,0,8,0.0,224.0,False,-0.0004614282418369701,0,0.3350000000000001,81219,348,10,1.0,5146.416547657267,False,0.01747608798499922,0.6666666666666666,372660,0.0,0.0,12,0,0,8,4,3.473684210526316,9,17,11,22.0,23.0,4,4,11,685,1.2341074738651514,57.74221539590508
29,11,0,0,0,10.000000000000002,20,10.0,25.323415371418868,30,25.2,15.664738356126193,20,35.0,28.000000000000004,10,28.0,4,1.0950000000000002,49290,15,10,1.0,403.23415371418866,False,0.10749232628126333,3,0.8420000000000001,49109,1,10,1.0,263.23415371418866,False,0.10187560590890386,0,0.2,63260,143,56,1.0,4498.4737460559645,False,-0.02966529101451616,0,4.016000000000001,47946.0,321,0,0.0,8128.816334225457,False,-0.22961239235820702,0,0.2,82203,0,8,0.0,224.00000000000003,False,-0.0004614282418369701,0,0.3350000000000001,80799,358,10,1.0,5887.976331493177,False,0.016878415670911667,0.6666666666666666,372607,0.0,0.0,12,0,0,10,2,0.5208333333333333,11,21,12,110.0,20.0,8,3,12,1244,1.190849826671183,58.93306522257626
