index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,18,0,0,0,10.000000000000002,20,10.0,3.8413428205588045,16,5.125,34.06058887953783,17,25.823529411764707,45.0,8,45.0,7,1.5840000000000003,55557,219,0,0.0,2190.0000000000005,False,-0.08063809415621298,9,1.5140000000000002,56093,201,0,0.0,2010.0000000000005,False,-0.07340030184515019,0,0.2,99944,0,84,0.2,2861.089465881178,False,0.035818744780682206,0,0.2,99515,4,79,1.0,2706.151892765724,False,0.03064377838113047,0,0.2,144085,0,0,0.0,0.0,False,0.0,8,1.8370000000000004,136476,131,0,0.0,4461.937143219456,False,-0.03732540811597508,0.19999999999999998,591670,0.0,0.0,9,0,0,9,7,7.0,16,25,22,155.0,78.0,10,8,22,639,5.101177180011291,146.7714484888711
21,22,0,0,0,10.000000000000002,20,10.0,3.793208848662635,10,3.2,33.82631585766168,10,32.0,45.0,11,45.0,4,1.6170000000000002,55379,228,0,0.0,2280.0000000000005,False,-0.08279644926242677,6,1.5650000000000002,55863,212,0,0.0,2120.0000000000005,False,-0.07624024277437887,0,0.2,100181,0,83,0.4,2807.5842161859196,False,0.037966997804135795,0,0.2,99566,0,84,1.0,2841.4105320435815,False,0.031855901930353724,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,1.9390000000000003,135975,141,0,0.0,4769.510535930297,False,-0.0397351891732995,0.2333333333333333,591049,0.0,0.0,8,0,0,11,6,6.0,13,24,27,166.0,87.0,11,11,27,520,3.782378138974309,150.5538266278454
22,27,0,0,0,10.000000000000002,20,10.0,3.6912915574706244,9,2.3333333333333335,33.82631585766168,0,,45.00000000000001,11,45.0,8,1.693,55077,239,0,0.0,2390.0000000000005,False,-0.08680482303110952,1,1.5690000000000002,55753,221,0,0.0,2210.0000000000005,False,-0.0772950779766638,0,0.2,100170,0,89,0.6,3010.54211133189,False,0.0388914881695526,0,0.2,99556,0,87,0.3,2942.8894796165664,False,0.03227216728288104,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,2.0380000000000003,135780,141,0,0.0,4769.510535930297,False,-0.041088556977026465,0.15,590421,0.0,0.0,7,0,0,13,8,8.0,16,29,19,236.0,88.0,16,11,19,200,4.265541773987934,154.81936840183334
23,19,0,0,0,10.000000000000002,20,10.0,4.110123037610464,40,5.325,33.132581022218154,22,30.636363636363637,45.0,11,45.0,16,1.8450000000000002,54645,251,0,0.0,2510.0000000000005,False,-0.09284172603495562,24,1.8080000000000003,54961,229,0,0.0,2290.0000000000005,False,-0.08949870985540644,0,0.2,100598,7,89,1.0,2977.5705722406888,False,0.04309623359920243,0,0.2,99589,13,85,1.0,2869.7009863774792,False,0.032235442205281996,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,2.1370000000000005,134941,163,0,0.0,5400.610706621559,False,-0.04472148139424108,0.3333333333333333,588819,0.0,0.0,10,0,0,10,9,9.0,16,26,22,175.0,81.0,11,8,22,874,3.910193955991417,158.72956235782476
24,22,0,0,0,10.000000000000002,20,10.0,3.8865751484168145,23,2.5217391304347827,33.132581022218154,0,,45.00000000000001,13,45.0,5,1.8790000000000004,54410,263,0,0.0,2630.0000000000005,False,-0.09568166696418429,18,1.9640000000000004,54407,237,0,0.0,2370.0000000000005,False,-0.09784002207039807,0,0.2,100580,10,99,1.0,3318.991272683765,False,0.04465658825922294,0,0.2,99549,13,95,1.0,3198.1206740401435,False,0.03350458609999152,0,0.2,144085,0,0,0.0,0.0,False,0.0,13,2.2560000000000007,134680,163,0,0.0,5400.610706621559,False,-0.04653291214692179,0.3333333333333333,587711,0.0,0.0,6,0,0,11,9,9.0,18,29,20,208.0,66.0,15,7,20,200,3.8175178230158053,162.54708018084057
25,20,0,0,0,10.000000000000002,20,10.0,3.8288746312879693,3,1.0,31.253876915824392,12,17.0,45.0,9,45.0,2,1.8940000000000006,54244,275,0,0.0,2750.0000000000005,False,-0.0974018597556028,1,1.956,54304,245,0,0.0,2450.0000000000005,False,-0.0988624008049204,0,0.2,100578,2,109,1.0,3414.330333087435,False,0.04512322764658599,0,0.2,99752,4,93,1.0,2921.92605169682,False,0.03416774490235325,0,0.2,144085,0,0,0.0,0.0,False,0.0,9,2.3330000000000006,134339,175,0,0.0,5469.428460269269,False,-0.048660761146999014,0.3333333333333333,587302,0.0,0.0,8,0,0,12,5,5.0,15,27,15,182.0,68.0,12,8,15,404,3.8578345960122533,166.40491477685282
26,15,0,0,0,10.000000000000002,20,10.0,3.537983218031296,34,2.3823529411764706,27.313145286198427,43,18.813953488372093,45.00000000000001,12,45.0,23,2.1220000000000008,53503,280,0,0.0,2800.0000000000005,False,-0.1090212752146184,11,2.065000000000001,53883,260,0,0.0,2600.0000000000005,False,-0.10447736972785251,0,0.2,100774,8,114,1.0,3142.002428370871,False,0.04573461682642551,0,0.2,100284,12,65,1.0,1817.8102422192733,False,0.03396279844598021,0,0.2,144085,0,0,0.0,0.0,False,0.0,12,2.4440000000000004,133311,218,0,0.0,5954.265672391257,False,-0.054112969176558,0.3333333333333333,585840,0.0,0.0,10,0,0,10,11,11.0,15,25,16,131.0,30.0,10,5,16,1009,4.233771350001916,170.63868612685474
27,16,0,0,0,10.000000000000002,20,10.0,3.5428648257610393,6,3.6666666666666665,27.313145286198427,0,,45.00000000000001,13,45.0,1,2.1090000000000004,53371,291,0,0.0,2910.0000000000005,False,-0.110270849223479,5,2.104,53689,269,0,0.0,2690.0000000000005,False,-0.10689537657616721,0,0.2,100770,0,123,0.9,3359.5168702024066,False,0.04680499887708268,0,0.2,100266,7,75,1.0,2073.2859502452093,False,0.03508407131086053,0,0.2,144085,0,0,0.0,0.0,False,0.0,13,2.5620000000000007,133053,218,0,0.0,5954.265672391257,False,-0.05590357888610445,0.31666666666666665,585234,0.0,0.0,7,0,0,11,8,8.0,13,24,17,146.0,63.0,10,6,17,200,3.323260786011815,173.96194691286655
28,17,0,0,0,10.000000000000002,20,10.0,3.4909993026941457,13,2.923076923076923,26.690307606763188,32,24.3125,45.00000000000001,5,45.0,8,2.188,53095,301,0,0.0,3010.0000000000005,False,-0.11393843008065432,5,2.1490000000000005,53487,279,0,0.0,2790.0000000000005,False,-0.10936206812612584,0,0.2,101240,0,113,0.0,3016.0047595642404,False,0.04985237797241332,0,0.2,100536,10,63,1.0,1716.3993722530224,False,0.03601957398283938,0,0.2,144085,0,0,0.0,0.0,False,0.0,5,2.5990000000000006,132218,250,0,0.0,6672.576901690797,False,-0.05920610437696221,0.16666666666666666,584661,0.0,0.0,12,0,0,11,5,5.0,14,25,16,182.0,63.0,11,6,16,978,3.4035558049799874,177.36550271784654
29,16,0,0,0,10.000000000000002,20,10.0,3.373144498048567,12,2.0,27.396732824440374,5,47.0,45.0,12,45.0,6,2.24,52851,312,0,0.0,3120.0000000000005,False,-0.11700556628422129,6,2.2040000000000006,53259,288,0,0.0,2880.0000000000005,False,-0.11233183492640496,0,0.2,101459,0,112,0.4,3068.434076337322,False,0.05235791760586763,0,0.2,100528,8,73,1.0,2026.9466521685358,False,0.037524377750710255,0,0.2,144085,0,0,0.0,0.0,False,0.0,12,2.714000000000001,131758,255,0,0.0,6986.166870232295,False,-0.0613104526139698,0.2333333333333333,583940,0.0,0.0,8,0,0,11,7,7.0,13,24,19,170.0,46.0,11,5,19,435,3.0978301890427247,180.46333290688926
