index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,17,0,0,0,10.000000000000002,20,10.0,19.91910403480322,7,21.571428571428573,27.687831742977835,19,39.73684210526316,29.000000000000007,20,29.0,0,0.2,43965,8,33,1.0,737.3304331485062,False,0.05805745009842859,1,0.7320000000000002,38840,204,0,0.0,2040.0000000000005,False,-0.04871005465263359,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,6,0.38600000000000007,68038,38,10,1.0,1033.8042707523007,False,0.011298324733749563,7,1.8000000000000003,72970,131,0,0.0,3627.105958330096,False,-0.049921194984754134,13,1.266,77661,0,9,0.9,261.00000000000006,False,-0.01170708777457345,0.48333333333333334,369477,0.0,0.0,10,0,0,14,9,8.6,15,29,19,98.0,35.0,10,7,19,665,1.8416163576766849,59.934603416360915
21,19,0,0,0,10.000000000000002,20,10.0,19.478798272686188,17,16.88235294117647,29.96405413606558,13,47.0,29.000000000000007,20,29.0,0,0.2,44130,9,32,1.0,713.321544725958,False,0.06170880819939807,6,0.7910000000000001,38632,213,0,0.0,2130.0000000000005,False,-0.05260017660676356,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,3,0.41000000000000003,68275,45,10,1.0,1176.1864636315343,False,0.015844653731664018,11,1.903,72229,144,0,0.0,4314.823795593444,False,-0.054966626887595245,0,1.2530000000000003,77922,0,0,0.0,0.0,False,-0.010049165957338686,0.3333333333333333,369191,0.0,0.0,13,0,0,12,8,7.230769230769231,14,26,20,104.0,42.0,10,9,20,736,2.0345404325053096,61.969143848866224
22,20,0,0,0,10.000000000000002,20,10.0,19.229067539859845,19,17.842105263157894,30.59134820269521,8,38.375,29.000000000000007,20,29.0,0,0.2,44350,7,30,1.0,646.8720261957953,False,0.06616634479124357,7,0.8550000000000002,38399,225,0,0.0,2250.0000000000005,False,-0.05672895634949047,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.4070000000000001,68243,54,12,1.0,1405.465825584774,False,0.01706372586691628,7,1.9620000000000002,71862,152,0,0.0,4649.884926809672,False,-0.05750076272782344,13,1.3830000000000002,77755,0,0,0.0,0.0,False,-0.012170797708129535,0.3333333333333333,368612,0.0,0.0,9,0,0,14,11,11.0,16,30,13,153.0,36.0,13,7,13,807,1.8853569170460105,63.854500765912235
23,13,0,0,0,10.000000000000002,20,10.0,19.406638142140608,15,20.733333333333334,30.795455974688306,23,31.652173913043477,29.000000000000004,20,29.0,0,0.2,44580,4,28,1.0,583.3858679799371,False,0.07089790062265734,3,0.8780000000000001,38216,238,0,0.0,2380.0000000000005,False,-0.05954511825493425,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,11,0.5170000000000001,68341,59,10,1.0,1452.9462101331787,False,0.01885959528930338,10,2.0550000000000006,71024,175,0,0.0,5389.204795570454,False,-0.06345073370618283,10,1.4700000000000002,77641,0,0,0.0,0.0,False,-0.013619097226633466,0.3333333333333333,367805,0.0,0.0,13,0,0,13,12,11.733333333333334,12,25,15,106.0,30.0,8,5,15,628,1.386970978230238,65.24147174414247
24,15,0,0,0,10.000000000000002,20,10.0,18.261117499740667,23,12.565217391304348,31.554664477632812,15,37.0,29.000000000000004,20,29.0,0,0.2,44730,4,28,1.0,551.3112899927387,False,0.07409502505898112,13,1.0050000000000001,37882,248,0,0.0,2480.0000000000005,False,-0.06632299945108709,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,5,0.556,68462,72,10,1.0,1630.347104757656,False,0.02195302412454562,7,2.1150000000000007,70961,175,0,0.0,5522.066283585742,False,-0.06340714822465325,13,1.5900000000000003,76912,5,10,1.0,447.7733223881641,False,-0.02003624990542762,0.5,366950,0.0,0.0,10,0,0,12,10,9.333333333333332,14,26,21,95.0,51.0,8,7,21,450,1.5549239479005337,66.796395692043
25,21,0,0,0,10.000000000000002,20,10.0,18.7762548393136,12,24.083333333333332,30.859165178503858,9,22.333333333333332,29.0,20,29.0,0,0.2,44926,3,27,1.0,536.9588806614672,False,0.07860145200187899,1,1.0020000000000002,37754,259,0,0.0,2590.0000000000005,False,-0.06806520130784469,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.5510000000000002,68374,74,11,1.0,1728.893675072749,False,0.021381740954083694,10,2.2080000000000006,70654,184,0,0.0,5678.08639284471,False,-0.06631632390555113,0,1.5770000000000004,77202,0,5,0.5,145.0,False,-0.018275253134806196,0.4166666666666667,366913,0.0,0.0,15,0,0,15,5,5.0,14,29,20,199.0,51.0,14,7,20,977,1.8217245154082775,68.61812020745128
26,20,0,0,0,10.000000000000002,20,10.0,17.83512721326174,25,13.24,29.128785009727775,22,20.681818181818183,29.0,20,29.0,0,0.2,45091,4,26,1.0,503.7133075448052,False,0.08214258976569541,14,1.1410000000000002,37396,268,0,0.0,2680.0000000000005,False,-0.07553519009092861,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,11,0.661,68179,89,10,1.0,1878.6141720775724,False,0.019609480683278727,10,2.2980000000000005,70091,206,0,0.0,6000.529712003921,False,-0.07142066931762277,5,1.6270000000000004,77305,0,0,0.0,0.0,False,-0.017887769491697687,0.3333333333333333,366065,0.0,0.0,13,0,0,11,11,10.416666666666666,15,26,15,130.0,43.0,10,10,15,765,1.7424214463680983,70.36054165381938
27,15,0,0,0,10.000000000000002,20,10.0,18.07464011622232,4,26.0,29.128785009727775,0,,29.0,20,29.0,0,0.2,45115,2,32,1.0,598.3884837191142,False,0.0838451168673673,0,1.127,37276,280,0,0.0,2800.0000000000005,False,-0.0769671368225102,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.6500000000000001,68075,83,20,1.0,2082.770829841008,False,0.019581132852240037,6,2.3480000000000003,70041,206,0,0.0,6000.529712003921,False,-0.0720558884046859,14,1.7620000000000005,77102,0,0,0.0,0.0,False,-0.020466758985173986,0.3333333333333333,365612,0.0,0.0,11,0,0,11,10,10.0,13,24,20,72.0,36.0,8,7,20,304,1.7602684060111642,72.12081005983055
28,20,0,0,0,10.000000000000002,20,10.0,15.773298298239775,29,6.0344827586206895,28.14911414259263,14,20.0,29.0,20,29.0,0,0.2,45085,5,38,1.0,649.3853353331115,False,0.08373768329315658,25,1.3770000000000002,36596,287,0,0.0,2870.0000000000005,False,-0.09236056418701225,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.6500000000000001,68180,102,16,1.0,2059.262252701939,False,0.020956661498930072,9,2.4320000000000004,69669,220,0,0.0,6192.805111370379,False,-0.07556054837593301,11,1.8580000000000003,76966,0,0,0.0,0.0,False,-0.022194554901985696,0.3333333333333333,364499,0.0,0.0,11,0,0,14,12,12.0,18,32,21,178.0,51.0,13,7,21,580,1.8339193938300014,73.95472945366055
29,21,0,0,0,10.000000000000002,20,10.0,14.333080860080246,20,4.5,28.097183234627828,1,22.0,29.0,20,29.0,0,0.2,45045,7,38,1.0,614.6570726830494,False,0.0823686436204751,10,1.4520000000000002,36296,295,0,0.0,2950.0000000000005,False,-0.09856566669053245,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,0,0.6500000000000001,68112,112,25,1.0,2307.7346371946833,False,0.021786238454577375,10,2.5230000000000006,69538,221,0,0.0,6209.47749485275,False,-0.07711891622188989,10,1.9470000000000005,76851,0,0,0.0,0.0,False,-0.02365555880223089,0.3333333333333333,363845,0.0,0.0,9,0,0,14,11,11.0,16,30,20,175.0,54.0,13,8,20,302,1.9021415943279862,75.85687104798853
