index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1179,b3486ca7-4080-48c5-b0bc-d8c3b73bef20,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,14,5,11,13,-1,13,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (13, 17), unit_price: (1, 22)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
1180,31d40191-c1e0-4fb5-9d1b-7e331c6d3087,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,4,58,13,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1181,a911290c-2e52-42b2-a6af-d4283dff4d8f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,53,3,10,13,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,53,,-1,-1
1182,a6c0fccd-b713-445e-b618-7b451d4106c6,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,17,5,12,14,-1,14,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (14, 18), unit_price: (1, 22)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
1183,0ad5d44a-f2d1-4202-a927-96119cb7cffd,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,3,10,14,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,54,,-1,-1
1184,28db6a72-2cab-4889-8008-d1f567ea029f,02Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,24,15,29,14,-1,14,04Dec@2|02Dec@1,"[quantity: (1, 15), time: (14, 24), unit_price: (1, 29)]",02Dec@1,04Dec@2,p2,04Dec@2,True,2,2,24,,-1,-1
1185,76df08a0-ca29-49d1-b2c1-429524164b51,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,15,4,12,14,-1,14,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (14, 15), unit_price: (1, 22)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
1186,90641856-d117-4e30-91a7-8e4542969c96,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,2,58,14,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
1187,fdc7e32b-273a-4f9a-9196-b82a5e9e503e,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,54,,-1,-1
1188,1fb4706f-51b6-4e83-9925-691b065e76d0,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,54,,-1,-1
1189,df4ca1a4-820d-4755-b01d-64cd1be28ba7,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,3,58,14,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
1190,7cdc5ca5-13bb-4261-a29c-bb94e59d8cdf,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,17,5,12,14,-1,14,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (14, 17), unit_price: (1, 22)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1191,e6b4d87d-2f3c-4824-902a-1aadb4470b16,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,54,1,10,14,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,54,,-1,-1
