index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,19,0,0,0,10.000000000000002,20,10.0,26.26966664539135,38,26.789473684210527,14.123539178354555,31,13.35483870967742,35.00000000000001,20,35.0,0,0.2,38202,7,55,1.0,1514.8316654965242,False,0.0669135675525322,0,0.263,39567,6,15,1.0,454.04499968087026,False,0.08976948460511659,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,31,4.452000000000001,28744.0,336,0,0.0,8826.607992851494,False,-0.3723298376476404,1,0.336,75701,43,10,1.0,957.3121846692459,False,0.046596363306240396,0,0.2,75297,54,25,1.0,1637.6711156311462,False,0.04571956308478836,0.6666666666666666,310545,0.0,0.0,22,0,0,16,4,3.3333333333333335,15,31,18,153.0,39.0,11,8,18,1813,1.7756060910178348,56.17621296906145
21,18,0,0,0,10.000000000000002,20,10.0,26.2556965683481,10,26.0,14.011237316075553,32,13.3125,35.00000000000001,20,35.0,0,0.2,38052,12,65,1.0,1826.6202769426266,False,0.06707498462239335,0,0.263,39777,1,15,1.0,403.8354485252215,False,0.09483288761810194,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,32,4.741000000000001,27524.0,346,0,0.0,9084.471012648442,False,-0.392983843063563,2,0.35500000000000004,75903,44,10,1.0,966.4944419073245,False,0.049434621379261204,0,0.2,75283,65,27,1.0,1855.7304255449112,False,0.04702513069149378,0.6666666666666666,309573,0.0,0.0,20,0,0,12,5,4.25,17,29,21,144.0,42.0,8,10,21,985,1.5850543000269681,57.76126726908842
22,21,0,0,0,10.000000000000002,20,10.0,26.2556965683481,0,,14.01072182477352,10,14.0,35.00000000000001,20,35.0,0,0.2,37982,9,75,1.0,2059.1772426261077,False,0.06834233271204543,0,0.263,39647,4,25,1.0,696.3924142087025,False,0.09527867803440554,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,10,4.809000000000002,27364.0,346,0,0.0,9084.471012648442,False,-0.3960126546336232,0,0.35300000000000004,76043,44,12,1.0,1036.471760290035,False,0.05183870803078828,0,0.2,75703,55,25,1.0,1645.589700362544,False,0.051351800436628,0.6666666666666666,309773,0.0,0.0,21,0,0,15,1,1.0,19,34,18,171.0,42.0,12,9,18,900,1.638492920959834,59.399760190048255
23,18,0,0,0,10.000000000000002,20,10.0,26.561144810163906,48,27.666666666666668,13.807984538604687,22,12.0,35.00000000000001,20,35.0,0,0.2,38416,10,65,1.0,1826.4744126606538,False,0.0770412204603551,3,0.29300000000000004,40275,3,10,1.0,295.61144810163904,False,0.10698887402921516,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,22,5.019000000000001,25486.0,394,0,0.0,10465.091055204579,False,-0.4184957118161078,0,0.35300000000000004,76296,45,11,1.0,1006.3593042372111,False,0.055107705282719736,0,0.2,75886,56,26,1.0,1683.2471341618627,False,0.05412462998132832,0.6666666666666666,309393,0.0,0.0,23,0,0,11,3,2.3,20,31,15,114.0,43.0,8,10,15,1948,1.4611889559892006,60.860949146037456
24,15,0,0,0,10.000000000000002,20,10.0,26.56333300726276,1,27.0,13.816399142208134,9,14.0,35.00000000000001,20,35.0,0,0.2,38366,5,75,1.0,2042.249975544707,False,0.07862649216158268,0,0.29000000000000004,40152,8,19,1.0,584.7033271379925,False,0.10757891509390392,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,9,5.0870000000000015,25315.0,395,0,0.0,10492.51653786879,False,-0.4214731709965851,0,0.35300000000000004,76555,44,10,1.0,957.921562257158,False,0.058333252474701634,0,0.2,76201,46,27,1.0,1580.5543605415744,False,0.057746842615139675,0.6666666666666666,309623,0.0,0.0,21,0,0,7,1,1.0,18,25,15,99.0,51.0,8,7,15,927,1.4657793989754282,62.326728545012884
25,15,0,0,0,10.000000000000002,20,10.0,26.516780488124994,24,26.166666666666668,13.828463711037772,13,14.0,35.00000000000001,15,35.0,0,0.2,38826,1,65,1.0,1733.5907317281246,False,0.08699735364947042,0,0.29000000000000004,40120,12,25,1.0,782.9195122031249,False,0.10941668737270133,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,13,5.208000000000002,24479.0,419,0,0.0,11110.531024524373,False,-0.431449181988752,0,0.35300000000000004,76800,34,13,1.0,925.1677661752844,False,0.06147419743759473,0,0.2,76299,49,29,1.0,1692.594721840851,False,0.059862853230208554,0.6666666666666666,309558,0.0,0.0,25,0,0,4,1,1.0,24,28,16,144.0,35.0,8,7,16,1353,1.3391691960277967,63.66589774104068
26,16,0,0,0,10.000000000000002,20,10.0,26.639484651465768,46,27.130434782608695,13.656282599620496,33,12.727272727272727,35.00000000000001,20,35.0,0,0.2,38746,0,74,0.9,1971.3218642084669,False,0.08806169712192558,21,0.5,40695,14,10,1.0,406.39484651465773,False,0.12000759730686074,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,33,5.525000000000002,22206.0,465,0,0.0,12387.360362931582,False,-0.46239200050229445,0,0.35300000000000004,77018,35,13,1.0,932.9698909867175,False,0.0645227914696565,0,0.2,76361,61,29,1.0,1848.0332385768506,False,0.0617823902193826,0.65,308060,0.0,0.0,20,0,0,8,5,4.8,20,28,16,99.0,54.0,8,8,16,1524,1.5558215909986757,65.22171933203936
27,16,0,0,0,10.000000000000002,20,10.0,26.60170465579514,13,26.0,13.593763866174257,20,13.0,35.00000000000001,20,35.0,0,0.2,38636,1,84,1.0,2244.5431910867915,False,0.08879043694663698,3,0.5090000000000001,40877,13,10,1.0,396.0170465579514,False,0.12484961450539432,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,20,5.692000000000003,21398.0,478,0,0.0,12715.614825470077,False,-0.4745805585746595,0,0.35300000000000004,77228,35,13,1.0,930.7817353160991,False,0.06739285139937966,0,0.2,76591,61,29,1.0,1844.2195958366299,False,0.06491605481560574,0.6666666666666666,307764,0.0,0.0,22,0,0,9,3,2.230769230769231,23,32,18,153.0,30.0,11,5,18,900,1.5118332100100815,66.73355254204944
28,18,0,0,0,10.000000000000002,20,10.0,26.706230304988562,16,28.0,13.614182590111577,10,14.0,35.00000000000001,20,35.0,0,0.2,38994,0,78,1.0,2083.085963789108,False,0.09638358478186428,0,0.506,40767,14,20,1.0,674.1246060997712,False,0.1256452596957466,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,10,5.772000000000002,20790.0,494,0,0.0,13192.87777066435,False,-0.4815727315084963,0,0.35300000000000004,77228,35,19,1.0,1141.4963906539053,False,0.06884030603021048,0,0.2,77151,51,23,1.0,1499.3233120956907,False,0.07024044699741501,0.6666666666666666,307964,0.0,0.0,21,0,0,7,1,1.0,21,28,14,150.0,54.0,10,8,14,1348,1.4621989030274563,68.1957514450769
29,14,0,0,0,10.000000000000002,20,10.0,26.876626748487666,31,27.93548387096774,13.57249333253178,34,13.352941176470589,35.00000000000001,20,35.0,0,0.2,39342,0,70,0.7,1881.3638723941367,False,0.1031515482582175,0,0.506,41085,17,14,1.0,546.2727744788274,False,0.13260314347791144,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,34,6.102000000000002,18874.0,525,0,0.0,14110.229042956025,False,-0.509159987099572,0,0.35300000000000004,77389,36,20,1.0,1188.6097599711443,False,0.07137584327067065,0,0.2,77236,64,22,1.0,1638.639573282034,False,0.07236522210585562,0.6166666666666667,306960,0.0,0.0,24,0,0,9,3,3.0,19,28,17,144.0,47.0,8,6,17,1766,1.3351643839851022,69.530915829062
