index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,17,0,0,0,10.000000000000002,20,10.0,18.7785328073078,5,11.0,27.357215602478654,16,30.5625,34.0,11,34.0,0,1.0370000000000001,28218,8,40,1.0,831.141312292312,False,0.12051227424849947,5,4.210000000000001,13538.0,202,0,0.0,2020.0000000000005,False,-0.4306957814823511,0,0.7310000000000001,33288,115,29,1.0,2952.890525312278,False,-0.03686257756874527,0,0.2,31374,213,122,1.0,7337.407791458958,False,-0.02915351445547918,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,44539,145,11,1.0,4340.796262359405,False,-0.03479019421859146,0.6666666666666666,199350,0.0,0.0,15,0,0,8,1,1.0,12,20,26,96.0,75.0,7,10,26,1063,1.084604861214757,32.36509736068547
21,26,0,0,0,10.000000000000002,20,10.0,18.39696668674718,16,11.875,27.357215602478654,0,,34.0,0,,0,1.0370000000000001,28183,10,44,1.0,909.466534216876,False,0.12067516894061348,10,4.305000000000001,13298.0,210,0,0.0,2100.0000000000005,False,-0.4385223448383815,0,0.7310000000000001,33258,106,39,1.0,3017.0098772918686,False,-0.03680551492877308,0,0.2,31214,218,132,1.0,7621.691197238068,False,-0.029648272652194736,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,44539,135,21,1.0,4407.224106334618,False,-0.03410385689733417,0.6666666666666666,198885,0.0,0.0,9,0,0,13,2,2.0,14,27,19,204.0,84.0,13,13,19,285,1.1629095189273357,33.5280068796128
22,19,0,0,0,10.000000000000002,20,10.0,19.692499274924725,44,27.363636363636363,27.63787010548589,30,29.166666666666668,34.0,0,,0,1.0370000000000001,29317,7,10,1.0,266.9249927492473,False,0.15247955296136123,0,4.295000000000001,13168.0,223,0,0.0,2230.0000000000005,False,-0.44106597792909136,0,0.7310000000000001,32649,135,29,1.0,3459.985635173929,False,-0.047541409680372224,0,0.2,31494,213,132,1.0,7842.701199483105,False,-0.01882946115136311,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,43664,155,31,1.0,5337.869866350313,False,-0.042569484570595784,0.6666666666666666,198685,0.0,0.0,14,0,0,7,0,0.0,16,23,23,125.0,73.0,10,9,23,2279,1.3136433977633715,34.841650277376175
23,23,0,0,0,10.000000000000002,20,10.0,20.204542235278446,13,31.0,27.63787010548589,0,,34.0,0,,3,1.0670000000000002,29508,11,10,1.0,312.04542235278444,False,0.16083676571872868,0,4.295000000000001,13108.0,229,0,0.0,2290.0000000000005,False,-0.4422399624324959,0,0.7310000000000001,32649,125,39,1.0,3603.444713523755,False,-0.04555416659476719,0,0.2,31091,216,142,1.0,8288.75867779914,False,-0.023815505225112367,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,43664,145,41,1.0,5401.491165295454,False,-0.04191214467696312,0.6666666666666666,198413,0.0,0.0,7,0,0,7,1,0.23076923076923078,17,24,21,189.0,124.0,12,11,21,200,1.3002072321251035,36.14185750950128
24,21,0,0,0,10.000000000000002,20,10.0,19.83705447026536,31,16.774193548387096,27.62006005434101,5,27.0,34.0,0,,0,1.0640000000000003,29408,11,20,1.0,506.7410894053072,False,0.16073297897404143,31,4.605000000000001,12549.0,239,0,0.0,2390.0000000000005,False,-0.4621585661735932,0,0.7310000000000001,32734,120,44,1.0,3595.7291788228476,False,-0.0433061479592347,0,0.2,30621,232,152,1.0,8800.445765361397,False,-0.02974863879538172,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,43529,140,51,1.0,5600.808407607741,False,-0.042642444076542725,0.6666666666666666,197234,0.0,0.0,8,0,0,13,3,3.0,13,26,27,204.0,69.0,13,8,27,335,1.276119095273316,37.417976604774594
25,27,0,0,0,10.000000000000002,20,10.0,20.085160419731032,28,22.392857142857142,27.554623865244803,10,26.5,34.0,0,,0,1.0640000000000003,29840,10,12,1.0,341.0219250367724,False,0.17439582697497014,10,4.674,12279.0,250,0,0.0,2500.0000000000005,False,-0.47057212178132585,0,0.7310000000000001,32483,124,49,1.0,3840.7364614436437,False,-0.04686609694634108,0,0.2,30510,236,157,1.0,9066.173805899958,False,-0.029142903367502953,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,43264,140,61,1.0,5931.647341134272,False,-0.044700190718344864,0.6666666666666666,196769,0.0,0.0,11,0,0,14,2,2.0,15,29,23,222.0,69.0,14,13,23,987,1.4907042076811194,38.908680812455714
26,23,0,0,0,10.000000000000002,20,10.0,19.71107015242988,10,10.0,27.490892844065744,20,27.0,34.0,0,,0,1.0640000000000003,29750,9,22,1.0,523.6435433534574,False,0.17444712262959727,10,4.764000000000001,12004.0,261,0,0.0,2610.0000000000005,False,-0.4791813414729592,0,0.7310000000000001,32818,114,44,1.0,3456.661282515899,False,-0.04290537079213332,0,0.2,30615,236,162,1.0,9105.337196712102,False,-0.025691408827924842,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,42724,150,71,1.0,6537.633926609861,False,-0.049597731835080844,0.6666666666666666,196304,0.0,0.0,9,0,0,13,2,2.0,14,27,23,201.0,123.0,12,11,23,740,1.9997206889092922,40.908401501365006
27,23,0,0,0,10.000000000000002,20,10.0,19.210259323046046,50,16.78,26.219570421405237,28,19.107142857142858,34.0,0,,0,1.0640000000000003,30217,10,10,1.0,292.10259323046046,False,0.18819172327679545,28,5.034000000000002,11389.0,270,0,0.0,2700.0000000000005,False,-0.5014870470376458,0,0.7310000000000001,32946,127,31,1.0,3252.50961709041,False,-0.04218715033812973,0,0.2,30183,253,167,1.0,9238.863869105324,False,-0.03581016942643967,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,42189,168,81,1.0,7158.8878307960795,False,-0.054234209174921125,0.6666666666666666,195317,0.0,0.0,13,0,0,15,2,2.0,13,28,27,270.0,22.0,15,8,27,1312,1.0752410627901554,41.98364256415516
28,27,0,0,0,10.000000000000002,20,10.0,19.280105238772034,45,19.68888888888889,25.774617012860755,18,21.666666666666668,34.0,0,,20,1.2640000000000002,30329,7,10,1.0,262.80105238772035,False,0.19200127284158494,15,5.1560000000000015,10984.0,283,0,0.0,2830.0000000000005,False,-0.5147922047428974,0,0.7310000000000001,32605,131,36,1.0,3453.5799987421237,False,-0.048849148098876305,0,0.2,30028,274,164,1.0,9509.786025532701,False,-0.03635148877223028,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,41799,176,91,1.0,7630.332594263493,False,-0.05742222434790674,0.6666666666666666,194138,0.0,0.0,10,0,0,12,5,4.285714285714286,12,24,35,180.0,111.0,10,17,35,590,1.218230183236301,43.20187274739146
29,35,0,0,0,10.000000000000002,20,10.0,19.533071422055635,24,22.458333333333332,25.84433472361744,10,27.0,34.0,0,,4,1.2840000000000003,30547,9,10,1.0,285.33071422055633,False,0.20097305146396963,10,5.241000000000001,10744.0,291,0,0.0,2910.0000000000005,False,-0.5226187680989277,0,0.7310000000000001,32386,140,36,1.0,3665.026049138017,False,-0.05198744910461258,0,0.2,29978,269,174,1.0,9751.310454442399,False,-0.03439104509707164,0,0.2,48393,0,0,0.0,0.0,False,0.0,0,0.7490000000000001,41529,176,101,1.0,7982.602911356669,False,-0.059361861102260015,0.6666666666666666,193577,0.0,0.0,7,0,0,12,3,2.2857142857142856,15,27,30,222.0,123.0,14,21,30,470,1.4295850284397602,44.63145777583122
