index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,11,0,0,0,9.999999999999998,8,10.0,20.367314991233318,27,23.333333333333332,10.092595296681726,76,11.894736842105264,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,6,0.26,54944,6,10,1.0,263.67314991233314,False,0.019960675857553307,13,2.733000000000001,70866.0,1,0,0.0,20.367314991233318,False,-0.15318131286072845,63,3.566000000000001,65456.0,124,0,0.0,2525.5470589129313,False,-0.2028534651247182,0,0.21800000000000003,105674,109,14,1.0,1548.0928873383082,False,0.009081869785469281,11,0.9490000000000003,100625,448,0,0.0,4521.482692913413,False,-0.02468725617161146,0.3333333333333333,451831,0.0,0.0,9,0,0,13,14,13.333333333333332,16,29,12,172.0,0.0,11,0,12,584,2.306389491946902,82.15985994809307
11,12,0,0,0,9.999999999999998,12,10.0,20.223238152213046,4,16.0,9.474121751716378,43,3.813953488372093,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.254,54888,8,16,1.0,403.57181043540874,False,0.02021900635611876,43,3.150000000000001,68531.0,5,0,0.0,101.11619076106523,False,-0.18059717677598322,0,3.5030000000000014,65456.0,124,0,0.0,2507.6815308744176,False,-0.20296019253453274,0,0.21800000000000003,105980,112,13,1.0,1477.1016361922343,False,0.011646135350233375,9,1.0280000000000002,100408,478,0,0.0,4528.630197320429,False,-0.02671044555256221,0.3333333333333333,449529,0.0,0.0,12,0,0,11,10,10.0,18,29,13,168.0,11.0,11,1,13,536,2.4045567180146463,84.56441666610772
12,13,0,0,0,9.999999999999998,10,10.0,21.675808748795102,17,31.0,9.20106896799702,71,7.690140845070423,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,1,0.264,55296,8,10,1.0,296.758087487951,False,0.026785789172635556,42,3.5270000000000006,65785.0,22,0,0.0,476.8677924734923,False,-0.21116128539569223,29,3.7930000000000015,64566.0,124,0,0.0,2687.8002848505926,False,-0.2125177707393898,0,0.21800000000000003,105947,126,18,1.0,1735.3346899676246,False,0.01255727884144291,15,1.1690000000000003,99819,525,0,0.0,4830.561208198435,False,-0.030862824873455166,0.3333333333333333,445679,0.0,0.0,6,0,0,14,18,17.058823529411764,17,31,14,188.0,11.0,12,1,14,260,2.42372034402797,86.98813701013569
13,14,0,0,0,9.999999999999998,11,10.0,21.14101946988675,5,9.0,8.924201281642066,45,6.355555555555555,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.263,55231,9,15,1.0,407.1152920483012,False,0.02660390470062132,29,3.775000000000001,64540.0,22,0,0.0,465.1024283375085,False,-0.22610665598326393,16,3.9240000000000013,64145.0,129,0,0.0,2727.191511615391,False,-0.21731249918386922,0,0.21800000000000003,106249,133,17,1.0,1730.9187704583949,False,0.015399178929085239,9,1.2440000000000002,99481,553,0,0.0,4935.083308748062,False,-0.033571507684386874,0.3333333333333333,443912,0.0,0.0,13,0,0,16,9,9.0,15,31,13,198.0,11.0,13,1,13,507,1.9163503739982843,88.90448738413397
14,13,0,0,0,9.999999999999998,7,10.0,20.285208098823112,8,8.875,8.8865126940557,38,8.473684210526315,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.263,55232,6,17,1.0,404.8485376799929,False,0.0266014346612837,17,3.9160000000000004,63908.0,23,0,0.0,466.5597862729316,False,-0.23364899705919606,21,4.118000000000001,63551.0,136,0,0.0,2758.788301439943,False,-0.22422077074781688,0,0.21800000000000003,106370,141,19,1.0,1860.9982898618537,False,0.017162756137367816,12,1.355,99132,573,0,0.0,5091.971773693916,False,-0.03613626043371922,0.3333333333333333,442459,0.0,0.0,9,0,0,15,10,10.0,16,31,11,193.0,0.0,13,0,11,397,1.8433946819859557,90.74788206611993
15,11,0,0,0,9.999999999999998,9,10.0,20.845801680621555,12,25.666666666666668,8.777532380033929,11,4.7272727272727275,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.263,55450,5,15,1.0,362.68702520932334,False,0.03024822238980445,8,3.9790000000000014,63336.0,35,0,0.0,729.6030588217544,False,-0.23891177067982272,3,4.127000000000001,63497.0,136,0,0.0,2835.0290285645315,False,-0.22441049841353614,0,0.21800000000000003,106620,137,21,1.0,1874.5219360646481,False,0.019596748203927598,12,1.4630000000000003,98917,578,0,0.0,5073.413715659611,False,-0.038262329530478666,0.3333333333333333,442086,0.0,0.0,10,0,0,13,9,9.0,17,30,10,171.0,0.0,11,0,10,654,1.95536036696285,92.70324243308278
16,10,0,0,0,9.999999999999998,9,10.0,20.92094533270599,10,21.7,8.451892478508443,20,2.3,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.263,55577,4,15,1.0,353.8141799905899,False,0.03251800233333259,20,4.171000000000001,62550.0,36,0,0.0,753.1540319774157,False,-0.24816209641936138,0,4.1240000000000006,63290.0,145,0,0.0,3033.5370732423685,False,-0.22569783222073456,0,0.21800000000000003,106972,127,20,1.0,1713.3903447705723,False,0.022169828157979746,9,1.5410000000000001,98764,598,0,0.0,5054.2317021480485,False,-0.0398036226080764,0.3333333333333333,441419,0.0,0.0,12,0,0,13,8,8.0,13,26,14,157.0,0.0,10,0,14,659,2.0903503189911135,94.79359275207389
17,14,0,0,0,10.0,12,10.0,21.275019715598436,21,23.0,8.684414317272962,42,10.666666666666666,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,6,0.32300000000000006,55826,6,10,1.0,272.7501971559843,False,0.036378663998259037,14,4.291000000000001,62091.0,36,0,0.0,765.9007097615437,False,-0.25357001619077424,28,4.404000000000002,61972.0,166,0,0.0,3531.6532727893405,False,-0.23846939990209126,0,0.21800000000000003,106876,150,22,1.0,2006.6621475909442,False,0.022649834807047818,12,1.6520000000000001,98502,607,0,0.0,5271.4394905846875,False,-0.04125775196423981,0.3333333333333333,439533,0.0,0.0,11,0,0,18,13,12.6,15,33,11,214.0,0.0,14,0,11,629,2.0230146910180338,96.81660744309193
18,11,0,0,0,10.0,9,10.0,19.18830241759326,19,7.0,8.345553265907037,55,6.127272727272727,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,9,0.40700000000000003,55698,5,10,1.0,241.8830241759326,False,0.033722388090076744,36,4.637000000000001,60377.0,36,0,0.0,690.7788870333574,False,-0.2744974199371939,19,4.566000000000002,61348.0,185,0,0.0,3549.835947254753,False,-0.24581624223535634,0,0.21800000000000003,106990,161,23,1.0,2079.6340758110327,False,0.024076377267091883,11,1.7500000000000002,98204,641,0,0.0,5349.499643446411,False,-0.04371267587711436,0.3333333333333333,436883,0.0,0.0,8,0,0,10,12,11.473684210526315,18,28,11,172.0,0.0,11,0,11,378,1.8348360389936715,98.6514434820856
19,11,0,0,0,10.0,15,10.0,17.641786942277957,17,7.0,8.125024278730386,67,6.895522388059701,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,7,0.468,55534,10,10,1.0,276.4178694227796,False,0.031005017495303287,41,5.011000000000001,58252.0,36,0,0.0,635.1043299220064,False,-0.3002192173559267,26,4.807000000000001,60432.0,202,0,0.0,3563.6409623401473,False,-0.25667801138427815,0,0.21800000000000003,107349,177,17,1.0,1982.1292973352784,False,0.027017391683265158,4,1.7790000000000004,97865,682,0,0.0,5541.266558094123,False,-0.0460173165319266,0.3333333333333333,433698,0.0,0.0,14,0,0,15,12,11.411764705882353,15,30,9,180.0,0.0,11,0,9,662,1.9558064629673027,100.6072499450529
20,9,0,0,0,10.0,11,10.0,17.421764743318,6,13.0,8.07102681883834,48,7.625,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.461,55502,11,14,1.0,353.904706406452,False,0.03112990024080939,30,5.270000000000001,56858.0,42,0,0.0,731.714119219356,False,-0.3162973934596261,18,4.961000000000002,59987.0,202,0,0.0,3519.196478150236,False,-0.2622603171072426,0,0.21800000000000003,107648,180,13,1.0,1868.784827390901,False,0.029314555063943926,6,1.8350000000000002,97595,717,0,0.0,5786.926229107089,False,-0.047412426632348674,0.3333333333333333,431856,0.0,0.0,13,0,0,13,11,11.0,15,28,13,140.0,0.0,9,0,13,636,2.3977430750383064,103.0049930200912
21,13,0,0,0,10.000000000000002,10,10.0,17.346734030848275,16,16.8125,8.247451118604584,30,10.6,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,2,0.4810000000000001,55633,11,10,1.0,283.46734030848273,False,0.032903694028561144,6,5.300000000000001,56451.0,56,0,0.0,971.4171057275034,False,-0.3197282034856237,24,5.183000000000002,59217.0,204,0,0.0,3538.733742293048,False,-0.2713434547098878,0,0.21800000000000003,107813,185,14,1.0,1973.778456941848,False,0.03137633167571267,11,1.9390000000000003,97254,732,0,0.0,6037.134218818555,False,-0.049459028254722884,0.3333333333333333,430634,0.0,0.0,11,0,0,18,11,10.4,14,32,12,212.0,0.0,13,0,12,517,1.8460956210037693,104.85108864109498
22,12,0,0,0,10.000000000000002,11,10.0,16.18005381964761,19,9.0,8.379391706259904,42,9.595238095238095,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,9,0.5690000000000001,55523,12,10,1.0,281.80053819647617,False,0.03085114761839768,14,5.434000000000001,55973.0,56,0,0.0,906.0830139002662,False,-0.3258295816223983,28,5.439000000000001,58159.0,223,0,0.0,3608.1520017814173,False,-0.28356959029725426,0,0.21800000000000003,107868,194,14,1.0,2073.6019910144214,False,0.032370850274975875,10,2.0280000000000005,96996,755,0,0.0,6326.440738226227,False,-0.05053350678630093,0.3333333333333333,428785,0.0,0.0,10,0,0,17,10,9.473684210526315,15,32,11,178.0,0.0,12,0,11,430,2.220891647040844,107.07198028813582
23,11,0,0,0,10.0,10,10.0,17.292891483736554,20,24.1,8.636465102753547,86,9.790697674418603,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,10,0.6600000000000001,55715,12,10,1.0,292.92891483736554,False,0.034509879206983264,28,5.700000000000001,54794.0,56,0,0.0,968.401923089247,False,-0.3395438192343259,58,5.991000000000001,54679.0,243,0,0.0,4202.172630547982,False,-0.3215995039813376,0,0.21800000000000003,108150,194,13,1.0,2091.474229934188,False,0.03512880002812678,9,2.108,96126,831,0,0.0,7176.902500388198,False,-0.05474972746047866,0.3333333333333333,423730,0.0,0.0,11,0,0,14,16,15.90909090909091,17,31,13,173.0,0.0,11,0,13,659,1.9469020999968052,109.01888238813262
24,13,0,0,0,10.000000000000002,12,10.0,18.15704818311212,21,23.428571428571427,8.830046851164651,78,9.884615384615385,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,11,0.76,55878,14,10,1.0,321.57048183112124,False,0.03779371904358606,27,5.942000000000002,53225.0,71,0,0.0,1289.1504210009605,False,-0.3563738818535852,51,6.443000000000002,52259.0,249,0,0.0,4521.104997594918,False,-0.34860804450819677,0,0.21800000000000003,108314,201,13,1.0,2190.8394170840947,False,0.037154419457219125,10,2.1990000000000003,95391,892,0,0.0,7876.401791238869,False,-0.058401735751071826,0.3333333333333333,419333,0.0,0.0,10,0,0,17,15,14.733333333333334,13,30,10,201.0,0.0,13,0,10,482,2.2448547430103645,111.26373713114299
25,10,0,0,0,10.000000000000004,16,10.0,16.616094169990976,24,8.0,8.984479388495107,58,10.189655172413794,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,14,0.8890000000000002,55644,20,10,1.0,366.1609416999098,False,0.033873115131115156,21,6.125000000000001,52445.0,71,0,0.0,1179.7426860693593,False,-0.36634680642036543,37,6.762000000000002,50664.0,273,0,0.0,4536.193708407536,False,-0.3675747415773114,0,0.21800000000000003,108571,208,11,1.0,2220.771712806982,False,0.03973254200780632,8,2.2690000000000006,94848,933,0,0.0,8382.519269465934,False,-0.06115025467122033,0.3333333333333333,416438,0.0,0.0,13,0,0,13,12,11.583333333333334,15,28,12,134.0,12.0,9,1,12,544,1.8955637870240025,113.15930091816699
26,12,0,0,0,10.000000000000004,12,10.0,17.03505629502264,10,23.0,9.072350737762426,50,9.88,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,0.8750000000000002,55754,22,10,1.0,390.3505629502265,False,0.036134213887090566,16,6.264000000000001,51885.0,71,0,0.0,1209.4889969466074,False,-0.37285990539119324,34,7.065,49270.0,283,0,0.0,4820.920931491407,False,-0.38252911734296685,0,0.21800000000000003,108745,216,11,1.0,2311.627759356684,False,0.0418126256486714,10,2.3610000000000007,94383,965,0,0.0,8754.81846194074,False,-0.06379363701800768,0.3333333333333333,414303,0.0,0.0,11,0,0,11,9,9.0,15,26,13,168.0,9.0,11,1,13,670,1.9823635360226035,115.1416644541896
27,13,0,0,0,10.000000000000002,10,10.0,18.196746885305824,34,22.88235294117647,8.904285922863657,41,7.024390243902439,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,24,1.115,55822,22,10,1.0,401.9674688530583,False,0.03750108771485115,24,6.488000000000002,50812.0,79,0,0.0,1437.5430039391601,False,-0.3843175800569963,17,7.201000000000001,48176.0,309,0,0.0,5622.7947875595,False,-0.39080973757984455,0,0.21800000000000003,108980,221,13,1.0,2383.8471889528682,False,0.04438262958077957,12,2.4710000000000005,93956,991,0,0.0,8824.147349557885,False,-0.06751280998408428,0.3333333333333333,412012,0.0,0.0,9,0,0,16,13,12.375,14,30,11,210.0,0.0,13,0,11,356,2.17485911102267,117.31652356521226
28,11,0,0,0,10.000000000000002,6,10.0,18.88426304252326,25,23.12,8.938860019730859,58,9.206896551724139,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,15,1.2410000000000003,56009,18,10,1.0,368.84263042523264,False,0.04065745611342304,22,6.684000000000001,49925.0,79,0,0.0,1491.8567803593373,False,-0.39459086478392696,36,7.544000000000001,46252.0,334,0,0.0,6307.343856202769,False,-0.4097079712761343,0,0.21800000000000003,109204,211,16,1.0,2398.0994641632115,False,0.046573606333127376,13,2.5890000000000004,93233,1049,0,0.0,9376.86416069767,False,-0.07174678092379527,0.3333333333333333,408889,0.0,0.0,7,0,0,13,17,16.166666666666668,17,30,12,142.0,10.0,10,1,12,284,1.9125895299948752,119.22911309520714
29,12,0,0,0,10.000000000000002,9,10.0,18.88426304252326,0,,9.0280103505697,81,9.530864197530864,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,0,1.2260000000000002,55919,17,20,1.0,547.6852608504652,False,0.040646739331553675,30,6.9620000000000015,48598.0,79,0,0.0,1491.8567803593373,False,-0.4104456743947852,51,8.018000000000002,43816.0,334,0,0.0,6307.343856202769,False,-0.43881295711792073,0,0.21800000000000003,109008,235,19,1.0,2729.582432383879,False,0.04628676856756032,13,2.7060000000000004,92692,1096,0,0.0,9894.699344224391,False,-0.0744208012881582,0.3333333333333333,404299,0.0,0.0,7,0,0,15,17,17.0,13,28,9,172.0,0.0,12,0,9,314,1.857693820958957,121.0868069161661
30,9,0,0,0,10.000000000000004,11,10.0,18.541839869802786,28,16.571428571428573,8.544513034359998,35,1.8571428571428572,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,8,1.306,56109,18,10,1.0,365.4183986980279,False,0.04247766953126074,35,7.282000000000002,46785.0,88,0,0.0,1631.681908542645,False,-0.43127183824663584,0,7.967000000000001,43484.0,353,0,0.0,6545.269474040383,False,-0.4413582955539602,0,0.21800000000000003,109281,240,20,1.0,2690.6831282463995,False,0.048690317225549326,11,2.803000000000001,92494,1116,0,0.0,9535.676546345758,False,-0.0779994475952898,0.3333333333333333,402419,0.0,0.0,12,0,0,12,12,11.666666666666666,15,27,10,141.0,0.0,9,0,10,730,1.797076395014301,122.8838833111804
31,10,0,0,0,10.000000000000004,7,10.0,18.715465211187322,16,20.5625,8.48395057740035,44,7.840909090909091,32.0,20,32.0,0,0.2,54266,0,0,0.0,0.0,False,0.004963146783214193,6,1.3580000000000003,56246,15,10,1.0,337.15465211187325,False,0.04475308948583163,25,7.497000000000002,45689.0,93,0,0.0,1740.538264640421,False,-0.44371639207713287,19,8.157000000000002,42767.0,364,0,0.0,6812.429336872186,False,-0.4483289165867822,0,0.21800000000000003,109427,241,24,1.0,2812.6320891534842,False,0.050652346616520454,14,2.9320000000000004,91976,1149,0,0.0,9748.059213433002,False,-0.08190321730290545,0.3333333333333333,400371,0.0,0.0,7,0,0,11,16,15.09090909090909,17,28,8,158.0,0.0,10,0,8,262,1.8953211330226623,124.77920444420306
