index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,19,0,0,0,10.000000000000002,20,10.0,18.881148799399504,5,1.0,21.115611009576867,18,14.38888888888889,35.99999999999999,11,36.0,0,1.217,32869,0,19,1.0,358.7418271885906,False,0.0971506179401863,5,2.104000000000001,22751,237,0,0.0,2370.0000000000005,False,-0.20536484961157958,13,3.6870000000000007,37510,43,0,0.0,811.8893983741787,False,-0.23565809177948058,0,0.2,47124,255,64,1.0,6166.092048459793,False,0.01211639769846176,0,0.37100000000000005,54835,327,11,1.0,7300.804800131636,False,-0.010616913368196212,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,254170,0.0,0.0,14,0,0,12,3,3.0,14,26,13,101.0,24.0,11,8,13,751,0.8322668909677304,36.16121153399581
21,13,0,0,0,10.000000000000002,20,10.0,18.389239743966534,6,1.8333333333333333,21.45565714810235,10,28.8,35.99999999999999,11,36.0,0,1.217,32769,0,29,1.0,533.2879525750295,False,0.09672810491625776,6,2.1590000000000007,22513,247,0,0.0,2470.0000000000005,False,-0.21160613505079345,5,3.7240000000000006,37369,43,0,0.0,790.737308990561,False,-0.23871369079354757,0,0.2,47348,251,69,1.0,6096.139518954662,False,0.01592689915488711,0,0.37100000000000005,54943,327,10,1.0,7375.999887429469,False,-0.008153875734360726,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,254023,0.0,0.0,13,0,0,5,4,4.0,14,19,22,26.0,30.0,3,10,22,831,0.6704482130007818,36.83165974699659
22,22,0,0,0,10.000000000000002,20,10.0,19.64512757958202,17,33.470588235294116,21.05856651223191,13,14.846153846153847,35.99999999999999,11,36.0,0,1.217,33238,0,22,1.0,432.19280675080444,False,0.11062002534278596,0,2.1530000000000005,22413,257,0,0.0,2570.0000000000005,False,-0.2132660513910099,9,3.8090000000000006,36786,50,0,0.0,982.256378979101,False,-0.2485358990950782,0,0.2,47222,251,75,1.0,6510.31951089248,False,0.017561580362178815,1,0.38100000000000006,55103,330,10,1.0,7309.32694903653,False,-0.006011140112694884,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,253843,0.0,0.0,15,0,0,12,2,2.0,14,26,16,103.0,44.0,10,12,16,1313,0.8475547760026529,37.679214522999246
23,16,0,0,0,10.000000000000002,20,10.0,19.029184582744968,40,16.2,21.658247520248253,14,30.0,35.99999999999999,11,36.0,0,1.2170000000000003,33726,0,8,0.8,152.23347666195974,False,0.12217371815719343,18,2.3330000000000006,21821,269,0,0.0,2690.0000000000005,False,-0.23092756125091296,7,3.870000000000001,36588,53,0,0.0,1008.5467828854833,False,-0.2522623595645135,0,0.2,46933,278,78,1.0,6979.456620582465,False,0.016464304928662528,1,0.39,55036,334,10,1.0,7593.854671762916,False,-0.004737919985765217,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.4666666666666666,253185,0.0,0.0,15,0,0,8,6,5.333333333333333,13,21,12,70.0,39.0,6,10,12,1385,1.7360130450106226,39.41522756800987
24,12,0,0,0,10.000000000000002,20,10.0,18.66050853712568,70,17.6,21.14862318636897,5,2.0,35.99999999999999,11,36.0,26,1.4770000000000003,33912,0,8,0.8,149.28406829700543,False,0.12829964923140916,36,2.6750000000000007,20425,281,0,0.0,2810.0000000000005,False,-0.2752805258614966,5,3.913000000000001,35841,69,0,0.0,1287.5750890616719,False,-0.26450857669372985,0,0.2,46273,322,88,1.0,7869.7625893549375,False,0.012133235791587118,1,0.399,55379,329,10,1.0,7317.89702831539,False,-0.0012696274227717225,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.4666666666666666,250911,0.0,0.0,12,0,0,12,11,10.333333333333334,14,26,12,125.0,6.0,10,2,12,736,0.9726890010060742,40.38791656901594
25,12,0,0,0,10.000000000000002,20,10.0,18.41777806513646,27,16.22222222222222,22.801673582997378,35,31.0,35.99999999999999,12,36.0,1,1.4610000000000005,34108,4,10,1.0,224.1777806513646,False,0.13604969425422234,18,2.8190000000000004,19891,287,0,0.0,2870.0000000000005,False,-0.2920124825708784,0,3.908000000000001,35481,78,0,0.0,1436.586689080644,False,-0.2702638119473385,0,0.2,47280,330,63,1.0,7514.372197223866,False,0.02885106839116106,2,0.41800000000000004,54640,354,10,1.0,8431.792448381071,False,-0.004349360983361711,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,250481,0.0,0.0,15,0,0,13,6,5.111111111111111,12,25,14,113.0,9.0,9,3,14,1645,0.8877952379989438,41.275711807014886
26,14,0,0,0,10.000000000000002,20,10.0,18.386691597482592,61,18.262295081967213,23.594022532706575,24,29.791666666666668,35.99999999999999,6,36.0,29,1.7500000000000002,34222,7,10,1.0,253.86691597482593,False,0.14032711831841885,22,3.0210000000000004,19177,294,0,0.0,2940.0000000000005,False,-0.31455414647101787,1,3.918000000000001,34906,92,0,0.0,1691.5756269683984,False,-0.27928500960601144,0,0.2,47419,367,50,1.0,7927.61694291144,False,0.035818418567425694,0,0.41600000000000004,54141,368,14,1.0,9186.600292036019,False,-0.006406371762251799,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,248946,0.0,0.0,13,0,0,17,8,7.666666666666666,10,27,17,139.0,9.0,11,3,17,1441,1.1667368249618448,42.44244863197673
27,17,0,0,0,10.000000000000002,20,10.0,18.744103437968707,24,22.833333333333332,23.594022532706575,0,,35.99999999999999,9,36.0,7,1.7910000000000006,34495,4,10,1.0,227.44103437968707,False,0.1489516140093568,7,3.0690000000000004,18894,307,0,0.0,3070.0000000000005,False,-0.3217913817143616,0,3.917000000000001,34779,97,0,0.0,1818.1780334829646,False,-0.2805691042063161,0,0.2,46998,376,60,1.0,8463.424244638629,False,0.032732171961442506,0,0.41600000000000004,54465,358,15,1.0,8986.660066708953,False,-0.002616513569697431,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,248712,0.0,0.0,11,0,0,13,4,3.2857142857142856,16,29,23,119.0,15.0,14,3,23,524,1.189819568011444,43.632268199988175
28,23,0,0,0,10.000000000000002,20,10.0,19.497861367928635,27,27.0,25.04533949336416,54,30.166666666666668,35.99999999999999,0,,14,1.9240000000000004,34782,1,10,1.0,204.97861367928635,False,0.158106676410585,3,3.092,18695,320,0,0.0,3200.0000000000005,False,-0.3262399575061417,5,3.967000000000001,34507,100,0,0.0,1949.7861367928635,False,-0.28472577776082675,0,0.2,47985,390,21,1.0,8130.1180628528155,False,0.049269423687183095,0,0.41600000000000004,52836,402,25,1.0,10968.226476332393,False,-0.013413069237457149,0,0.2,59081,0,8,0.0,287.99999999999994,False,0.0018946762979378479,0.5,247886,0.0,0.0,12,0,0,8,4,3.8461538461538463,21,29,26,132.0,63.0,12,11,26,2031,1.2751913439715281,44.9074595439597
29,26,0,0,0,10.000000000000002,20,10.0,19.078744002679784,7,3.142857142857143,23.56958468498683,26,11.076923076923077,35.99999999999999,3,36.0,0,1.9100000000000006,34682,1,20,1.0,391.5748800535957,False,0.15788418564593312,7,3.159,18439,330,0,0.0,3300.0000000000005,False,-0.33307881282783347,26,4.222,33585,100,0,0.0,1907.8744002679784,False,-0.30373468531762315,0,0.2,47963,387,31,1.0,8114.131054271668,False,0.04866478908067237,0,0.41600000000000004,52548,418,35,1.0,11112.086398324494,False,-0.017068272644557944,0,0.2,59189,0,5,0.0,179.99999999999997,False,0.002808180941586453,0.5,246406,0.0,0.0,10,0,0,14,5,5.0,19,33,24,200.0,78.0,19,7,24,308,1.2672814649995416,46.174741008959245
