index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,11,0,0,0,9.999999999999996,14,10.0,7.940029632236741,1,2.0,16.893017427142617,14,15.214285714285714,35.99999999999999,11,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,0.8220000000000001,10267,217,0,0.0,2169.999999999999,False,-0.15510568621613577,1,0.6780000000000002,25544,0,1,0.1,16.893017427142617,False,0.06105998292141734,9,3.773000000000001,10131,31,0,0.0,246.140918599339,False,-0.5742018744581152,0,0.29900000000000004,32618,97,90,1.0,4878.622690432833,False,0.054989808763659886,11,1.7230000000000003,27116,210,0,0.0,3547.5336596999496,False,-0.13061189196960657,0.18333333333333335,119226,0.0,0.0,6,0,0,11,10,9.2,17,28,11,131.0,3.0,10,1,11,140,0.6088887918740511,15.810595747083426
21,11,0,0,0,9.999999999999998,14,10.0,6.569624688661648,13,2.6153846153846154,17.386771835223758,35,19.82857142857143,35.999999999999986,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,13,0.9510000000000003,9884,231,0,0.0,2309.9999999999995,False,-0.1784013099136648,21,0.887,25416,3,10,1.0,193.5765924182225,False,0.05941318396350427,13,3.8940000000000006,9681,31,0,0.0,203.6583653485111,False,-0.5937700696505999,0,0.29900000000000004,32344,116,89,1.0,5220.865532885955,False,0.05189385394050497,9,1.802,26974,216,0,0.0,3755.5427164083317,False,-0.13175530068600166,0.3333333333333333,117849,0.0,0.0,11,0,0,7,14,13.75,18,25,12,87.0,40.0,7,4,12,536,1.1556934537366033,16.96628920082003
22,12,0,0,0,9.999999999999998,12,10.0,6.569624688661648,0,,15.79534265293422,34,7.029411764705882,35.999999999999986,9,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,0.9380000000000002,9764,243,0,0.0,2429.9999999999995,False,-0.18286692467996427,0,0.8660000000000001,25416,0,13,0.3,205.33945448814487,False,0.05965740915389388,34,4.221000000000001,8193,31,0,0.0,203.6583653485111,False,-0.6555589576167156,0,0.29900000000000004,32224,129,99,1.0,5601.599202228514,False,0.05401142344611054,9,1.8830000000000005,26746,227,0,0.0,3585.542782216068,False,-0.14117449921432335,0.21666666666666667,115893,0.0,0.0,6,0,0,10,11,11.0,17,27,11,139.0,13.0,11,1,11,120,0.5980915753170848,17.564380776137114
23,11,0,0,0,9.999999999999998,9,10.0,6.3836779800097725,9,5.444444444444445,15.753858738469523,3,13.0,35.999999999999986,11,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,9,1.0280000000000002,9546,252,0,0.0,2519.9999999999995,False,-0.19574278058946115,0,0.8660000000000001,25411,0,18,0.5,283.56945729245143,False,0.06107402743319606,3,4.217000000000001,8092,35,0,0.0,223.42872930034204,False,-0.6593424813283709,0,0.29900000000000004,32224,119,109,1.0,5798.709189877872,False,0.056977267377036935,11,1.9840000000000004,26549,230,0,0.0,3623.3875098479903,False,-0.1465334410194404,0.25,115372,0.0,0.0,3,0,0,13,9,9.0,16,29,9,130.0,19.0,9,2,9,90,0.595722240395844,18.160103016532958
24,9,0,0,0,10.0,10,10.0,6.3836779800097725,0,,15.402031223272934,5,2.6,35.99999999999999,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.0190000000000001,9446,262,0,0.0,2620.0,False,-0.19946412622804405,0,0.8660000000000001,25411,0,18,0.0,277.2365620189128,False,0.06094254135908388,5,4.264000000000001,7933,35,0,0.0,223.42872930034204,False,-0.6659449229860406,0,0.29900000000000004,32571,114,109,1.0,5679.831559453113,False,0.06563092927254162,10,2.0730000000000004,26412,230,0,0.0,3542.467181352775,False,-0.1518738010630037,0.16666666666666666,115323,0.0,0.0,10,0,0,7,8,8.0,18,25,14,67.0,36.0,5,4,14,460,0.4620189554989338,18.62212197203189
25,14,0,0,0,10.0,11,10.0,6.3836779800097725,0,,14.894085710237007,24,11.333333333333334,35.99999999999999,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,0,1.0190000000000001,9336,273,0,0.0,2730.0,False,-0.20355760643048526,0,0.8660000000000003,25411,0,18,0.0,268.0935427842661,False,0.06075271038087084,24,4.499000000000001,7152,35,0,0.0,223.42872930034204,False,-0.6983757842101913,0,0.29900000000000004,32841,121,109,1.0,5726.184370938677,False,0.07445357163615218,10,2.1630000000000007,26094,237,0,0.0,3529.898313326171,False,-0.16163258631769226,0.16666666666666666,114384,0.0,0.0,8,0,0,9,9,9.0,20,29,7,141.0,32.0,10,4,7,470,0.5333746038377285,19.15549657586962
26,7,0,0,0,10.000000000000002,9,10.0,5.628257314191425,8,1.0,14.73030838501815,21,13.380952380952381,36.0,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,8,1.0990000000000002,9100,282,0,0.0,2820.0000000000005,False,-0.21777314676987197,0,0.8660000000000001,25586,0,16,0.8,235.6849341602904,False,0.06734666834482796,11,4.585000000000001,6837,35,0,0.0,196.9890059966999,False,-0.7120050451375156,0,0.29900000000000004,33142,126,107,1.0,5708.018856512287,False,0.08323832164478304,8,2.2330000000000005,25847,243,0,0.0,3579.4649375594104,False,-0.1683198173704573,0.3,114062,0.0,0.0,11,0,0,13,11,11.0,11,24,10,75.0,3.0,6,1,10,705,0.4567005056887865,19.612197081558406
27,10,0,0,0,10.000000000000002,13,10.0,5.578015783552867,1,3.0,15.27185467474417,20,20.0,36.0,20,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,1,1.1010000000000002,8955,295,0,0.0,2950.0000000000005,False,-0.22372729979160463,0,0.8660000000000001,25942,0,9,0.1,137.44669207269752,False,0.08008983249050534,12,4.694000000000001,6434,35,0,0.0,195.23055242435035,False,-0.7287760453362605,0,0.29900000000000004,33246,126,108,1.0,5812.253689017765,False,0.0879364082006885,11,2.3350000000000004,25503,253,0,0.0,3863.7792327102748,False,-0.17439393270071815,0.18333333333333335,113630,0.0,0.0,13,0,0,13,11,11.0,15,28,11,106.0,13.0,8,2,11,813,0.5678484486415982,20.180045530200005
28,11,0,0,0,10.0,11,10.0,7.108345816924749,18,11.11111111111111,15.69294096803009,22,19.045454545454547,36.00000000000001,9,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,18,1.2800000000000002,8671,306,0,0.0,3060.0,False,-0.24077106281631439,0,0.8660000000000001,26192,0,8,0.5,125.54352774424072,False,0.09022389186413582,16,4.8420000000000005,5776,48,0,0.0,341.20059921238794,False,-0.7530686695620715,0,0.29900000000000004,33021,131,118,1.0,6303.775266811943,False,0.08856116862491649,9,2.4140000000000006,25190,260,0,0.0,4080.1646516878236,False,-0.18055725772362588,0.25,112400,0.0,0.0,7,0,0,10,10,10.0,17,27,13,115.0,16.0,9,2,13,365,0.6898683561012149,20.86991388630122
29,13,0,0,0,10.0,8,10.0,6.540770682027505,6,1.0,15.687005912742421,19,15.631578947368421,36.0,13,36.0,0,0.2,13550,0,0,0.0,0.0,False,0.00848466805596904,6,1.3220000000000003,8489,314,0,0.0,3140.0,False,-0.25133968442988985,2,0.8860000000000001,26392,0,6,0.6,94.12203547645453,False,0.09787646448543418,9,4.916000000000001,5515,48,0,0.0,313.9569927373202,False,-0.7644722823532655,0,0.29900000000000004,32796,140,126,1.0,6732.180827783939,False,0.08823624477556341,11,2.5150000000000006,25037,260,0,0.0,4078.6215373130294,False,-0.18518474966426374,0.26666666666666666,111779,0.0,0.0,6,0,0,7,8,7.4,23,30,17,131.0,33.0,10,3,17,357,0.7297528265044093,21.59966671280563
