index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,10,0,0,0,10.000000000000002,20,10.0,31.4322041587366,16,30.5,6.514368796473826,12,4.0,47.0,20,47.0,7,1.197,41870,211,0,0.0,2110.0000000000005,False,-0.051171529619805485,0,0.2,48774,7,70,1.0,2270.254291111562,False,0.1032079386727626,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,12,2.7770000000000006,50704.0,241,0,0.0,7575.16120225552,False,-0.2593736921355384,0,0.7580000000000002,100302,0,6,0.0,282.0,False,0.039018940530252094,6,0.47600000000000003,102845,2,10,1.0,483.02873759294766,False,0.06636441506549506,0.3333333333333333,418112,0.0,0.0,10,0,0,10,7,6.333333333333334,12,22,11,115.0,14.0,9,1,11,1133,1.0745235560461879,33.85378696769476
21,11,0,0,0,10.000000000000002,20,10.0,32.481283592894165,17,39.529411764705884,6.24034583671224,18,4.388888888888889,47.0,20,47.0,2,1.21,41770,219,0,0.0,2190.0000000000005,False,-0.05249778956675508,0,0.2,49290,9,65,1.0,2201.283433538121,False,0.11385149683397568,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,18,2.9450000000000007,49095.0,258,0,0.0,8380.171166966695,False,-0.2757718575129684,5,0.8080000000000003,100519,0,4,0.4,188.0,False,0.040777482388720504,0,0.4700000000000001,103209,6,11,1.0,554.4420750202735,False,0.07049912628927127,0.39999999999999997,417500,0.0,0.0,13,0,0,12,6,6.0,10,22,9,114.0,6.0,9,2,9,1541,1.1737609514966607,35.02754791919142
22,9,0,0,0,10.000000000000002,20,10.0,34.04462113529403,31,40.0,6.1739121680585125,2,2.0,46.99999999999999,20,47.0,5,1.2580000000000002,41630,227,0,0.0,2270.0000000000005,False,-0.054708222811671085,0,0.2,50330,11,49,1.0,1778.1864356294075,False,0.13216386423109427,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,2,2.947000000000001,47771.0,289,0,0.0,9838.895508099975,False,-0.2838539211138296,8,0.883,100605,0,0,0.0,0.0,False,0.040694727477733755,0,0.4700000000000001,103581,0,11,0.8,516.9999999999999,False,0.07415357242606366,0.3,417534,0.0,0.0,17,0,0,10,4,3.6666666666666665,9,19,6,62.0,6.0,7,2,6,1877,1.172765888273716,36.200313807465136
23,6,0,0,0,10.000000000000002,20,10.0,33.4648921580512,6,20.5,6.10477705766391,9,5.222222222222222,46.99999999999999,20,47.0,3,1.2830000000000001,41513,236,0,0.0,2360.0000000000005,False,-0.05629973474801061,0,0.2,50286,12,56,1.0,1994.033960850867,False,0.133576856331243,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,9,3.0350000000000006,47249.0,295,0,0.0,9872.143186625104,False,-0.29072277820846004,7,0.9450000000000001,100488,0,3,0.3,140.99999999999997,False,0.04021371455762328,2,0.49000000000000005,104060,0,6,0.6,281.99999999999994,False,0.07789305996627738,0.31666666666666665,417213,0.0,0.0,10,0,0,7,7,6.4,8,15,9,26.0,9.0,3,3,9,642,0.9791328264400363,37.17944663390517
24,9,0,0,0,10.000000000000002,20,10.0,34.38125732867299,22,39.63636363636363,5.821326814614688,19,4.157894736842105,46.99999999999999,20,47.0,5,1.33,41368,247,0,0.0,2470.0000000000005,False,-0.05828912466843501,0,0.2,50959,11,49,1.0,1794.6816091049764,False,0.1462497967407711,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,19,3.216000000000001,45389.0,317,0,0.0,10898.858573189336,False,-0.3090257657275614,10,1.0380000000000003,100413,3,10,1.0,487.463980443844,False,0.04122986200848152,1,0.49800000000000005,104303,0,6,0.6,281.99999999999994,False,0.08040674038749987,0.43333333333333335,416049,0.0,0.0,10,0,0,7,11,9.5,10,17,13,64.0,22.0,5,4,13,1104,0.9167402843013406,38.09618691820651
25,13,0,0,0,10.000000000000002,20,10.0,34.38125732867299,0,,5.432851362304442,13,1.9230769230769231,46.99999999999999,20,47.0,0,1.3250000000000002,41268,257,0,0.0,2570.0000000000005,False,-0.059394341290893014,0,0.2,50859,11,59,1.0,2138.4941823917065,False,0.14783923720592068,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,13,3.327000000000001,44740.0,317,0,0.0,10898.858573189336,False,-0.3178466967503273,0,1.0280000000000002,100724,0,12,0.9,563.9999999999999,False,0.04484281739094454,7,0.5670000000000002,104480,0,7,0.7,328.99999999999994,False,0.08248078534410526,0.4333333333333333,415688,0.0,0.0,9,0,0,13,6,5.6,10,23,12,108.0,22.0,10,3,12,717,1.0083770137280226,39.104563931934536
26,12,0,0,0,10.000000000000002,20,10.0,33.69297666931356,17,28.294117647058822,5.439678969747728,5,5.6,46.99999999999999,20,47.0,11,1.4350000000000003,41050,267,0,0.0,2670.0000000000005,False,-0.0631078691423519,0,0.2,51011,11,63,1.0,2232.6575301667544,False,0.1522398047100659,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,5,3.364000000000001,44055.0,334,0,0.0,11253.454207550729,False,-0.32474716814440546,0,1.0280000000000002,101053,0,5,0.0,234.99999999999997,False,0.04654446524810957,6,0.6200000000000001,104717,0,5,0.5,234.99999999999997,False,0.08444621448004055,0.25,415503,0.0,0.0,11,0,0,14,7,6.333333333333333,9,23,7,118.0,3.0,11,1,7,1016,1.0924301380291581,40.196994069963694
27,7,0,0,0,10.000000000000002,20,10.0,34.65939248171242,14,44.0,5.179262919465645,15,3.2666666666666666,47.0,20,47.0,0,1.4240000000000002,40960,276,0,0.0,2760.0000000000005,False,-0.0641025641025641,0,0.2,51517,12,59,1.0,2164.904156421033,False,0.162675775380427,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,15,3.5090000000000012,42708.0,348,0,0.0,12061.468583635924,False,-0.3375639239983967,9,1.118,101162,0,0,0.0,0.0,False,0.04645653815518615,1,0.6240000000000001,104894,5,10,1.0,495.8963145973282,False,0.08762657009132697,0.3333333333333333,414858,0.0,0.0,9,0,0,9,6,5.071428571428571,9,18,9,32.0,9.0,4,3,9,1098,0.9145777728408575,41.11157184280455
28,9,0,0,0,10.000000000000002,20,10.0,37.265736463810015,48,44.5625,5.202117814709463,12,5.416666666666667,46.99999999999999,20,47.0,1,1.4340000000000002,40874,284,0,0.0,2840.0000000000005,False,-0.06511936339522546,0,0.2,53514,14,22,1.0,959.8462022038203,False,0.19349962646113852,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,12,3.614000000000001,40026.0,396,0,0.0,14757.231639668766,False,-0.355696692900654,11,1.219,100921,0,7,0.7,328.99999999999994,False,0.04566519431887536,0,0.623,105301,0,11,1.0,516.9999999999999,False,0.09194587828821467,0.45,414253,0.0,0.0,13,0,0,13,7,7.0,8,21,9,97.0,3.0,8,1,9,2740,0.9409412406384945,42.052513083443046
29,9,0,0,0,10.000000000000002,20,10.0,37.265736463810015,0,,5.143479694058891,11,4.545454545454546,46.999999999999986,20,47.0,0,1.4330000000000003,40784,293,0,0.0,2930.0000000000005,False,-0.06611405835543767,0,0.2,53404,15,32,1.0,1342.5035668419205,False,0.19529734269277094,0,0.2,73617,0,0,0.0,0.0,False,0.0005708460754332313,11,3.7120000000000015,39537.0,396,0,0.0,14757.231639668766,False,-0.36234297220748374,5,1.2580000000000002,101161,0,6,0.6,281.9999999999999,False,0.04790474909745425,0,0.623,105657,0,8,0.5,375.9999999999999,False,0.09489919417405426,0.35000000000000003,414160,0.0,0.0,11,0,0,13,4,4.0,8,21,8,68.0,0.0,9,0,8,905,1.0848041009157896,43.137317184358835
