index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
2352,9123a5b0-1480-49bd-aecc-43e6ce79d777,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,122,1,10,74,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,122,,-1,-1
2353,4ec89d46-cc74-4816-a958-f38e7137894a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,122,2,10,74,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,122,,-1,-1
2354,4c9ea900-6e61-4452-b482-1d2a82dfbb59,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,122,4,51,74,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2355,58d5de78-124a-42b4-8b3d-3b132e9748b7,03Ran@1,05Ind@2,RandomAgent,IndDecentralizingAgent,78,1,5,74,-1,74,05Ind@2|03Ran@1,"[quantity: (1, 5), time: (74, 78), unit_price: (1, 28)]",03Ran@1,05Ind@2,p2,05Ind@2,True,2,14,-1,03Ran@1:product(1.0),-1,-1
2356,348de828-a5c2-4ee4-a72c-5dadbe6eae83,05Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,79,1,55,74,-1,74,05Ind@2|07Buy@3,"[quantity: (1, 2), time: (79, 84), unit_price: (37, 74)]",05Ind@2,07Buy@3,p3,05Ind@2,False,3,17,-1,05Ind@2:product(1.0),-1,-1
2357,8ce85ce7-9e40-4362-81bc-bbbc8ef08dfc,05Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,79,2,64,74,-1,74,05Ind@2|06Ran@3,"[quantity: (1, 2), time: (79, 84), unit_price: (37, 74)]",05Ind@2,06Ran@3,p3,05Ind@2,False,3,17,-1,05Ind@2:product(1.0),-1,-1
2358,8d5e26d0-52b1-4d04-a133-6c1537f0461f,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,122,3,10,74,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,122,,-1,-1
2359,5047b9df-3835-409e-83ff-5a8f4f3d9f8f,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,122,1,10,74,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,122,,-1,-1
2360,51f9b230-2646-45db-8613-e31ec00e90e8,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,122,1,10,74,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,122,,-1,-1
2361,89ea97c7-b2bc-4b28-a5e8-5c6134f1b77e,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,122,1,10,74,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,122,,-1,-1
