index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,15,0,0,0,10.000000000000002,20,10.0,21.026961564848662,13,10.307692307692308,15.957752692965121,21,14.238095238095237,38.00000000000001,20,38.0,0,0.4970000000000001,40430,3,40,1.0,871.0784625939465,False,0.0878620852202042,13,1.6350000000000002,32314,207,0,0.0,2070.0000000000005,False,-0.11223213097298017,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,21,3.3890000000000007,39982.0,347,0,0.0,7296.355663002486,False,-0.2625677709540904,7,0.47700000000000004,77706,3,10,1.0,427.87325807889545,False,0.04200292366893718,0,0.20900000000000002,78268,12,12,1.0,647.4930323155816,False,0.050986861500659085,0.5,328341,0.0,0.0,10,0,0,6,7,7.0,12,18,13,111.0,53.0,7,8,13,694,1.3644349519745447,35.08528160606511
21,13,0,0,0,10.000000000000002,20,10.0,21.40910709255858,21,24.333333333333332,15.802230767758715,36,15.166666666666666,38.000000000000014,20,38.0,0,0.4970000000000001,40734,6,36,1.0,830.7278553321088,False,0.09541764748212576,7,1.6920000000000004,32153,214,0,0.0,2140.0000000000005,False,-0.11558631705044589,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,36,3.728000000000001,38021.0,368,0,0.0,7878.551410061556,False,-0.2907922639224072,1,0.48000000000000004,77801,11,10,1.0,553.824538445346,False,0.044115490568510767,0,0.20900000000000002,78342,20,13,1.0,810.0446153551745,False,0.05306332403051107,0.5,326692,0.0,0.0,12,0,0,4,8,7.166666666666667,15,19,16,111.0,47.0,7,6,16,1166,1.4144091280177236,36.49969073408283
22,16,0,0,0,10.000000000000002,20,10.0,22.752520454378406,27,30.88888888888889,15.797392442999865,1,15.0,38.00000000000001,20,38.0,0,0.4970000000000001,41468,6,19,1.0,492.2978886331897,False,0.11045252081236769,0,1.6850000000000003,32053,224,0,0.0,2240.0000000000005,False,-0.11691734327166245,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,1,3.702000000000001,37167.0,395,0,0.0,8987.24557947947,False,-0.2958569629047624,4,0.5190000000000001,78132,2,10,1.0,411.5947848859998,False,0.04759086631865894,0,0.20900000000000002,78570,10,17,1.0,803.9739244299988,False,0.05607171749040506,0.5,327031,0.0,0.0,15,0,0,5,3,2.333333333333333,16,21,17,117.0,36.0,9,7,17,1566,1.5074577960185707,38.007148530101404
23,17,0,0,0,10.000000000000002,20,10.0,23.262200395457217,29,26.275862068965516,15.677234052766345,25,14.96,38.00000000000001,20,38.0,6,0.5570000000000002,41970,4,10,1.0,272.62200395457216,False,0.12089208044662017,4,1.7250000000000003,31873,236,0,0.0,2360.0000000000005,False,-0.12011180620258219,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,25,3.951000000000001,35587.0,424,0,0.0,9863.17296767386,False,-0.3151595287106071,2,0.5350000000000001,78378,0,10,1.0,380.00000000000006,False,0.05066930555369823,0,0.20900000000000002,78620,17,19,1.0,988.512978897028,False,0.05797425065123245,0.5,326069,0.0,0.0,11,0,0,5,8,7.166666666666667,15,20,16,162.0,69.0,9,8,16,1224,1.4587072500144131,39.46585578011582
24,16,0,0,0,10.000000000000002,20,10.0,23.262200395457217,0,,15.567605888488186,25,14.88,38.00000000000001,20,38.0,0,0.5510000000000002,41840,7,20,1.0,535.2440079091443,False,0.12092698000677687,0,1.721,31803,243,0,0.0,2430.0000000000005,False,-0.12104352455743378,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,25,4.176000000000001,34802.0,424,0,0.0,9863.17296767386,False,-0.32842750809030796,0,0.533,78516,3,11,1.0,464.70281766546464,False,0.053081097752480454,0,0.20900000000000002,78870,19,18,1.0,979.7845118812756,False,0.061259073482403274,0.5,325472,0.0,0.0,12,0,0,4,3,3.0,15,19,13,114.0,39.0,8,8,13,960,1.4931292799883522,40.95898506010417
25,13,0,0,0,10.000000000000002,20,10.0,23.262200395457217,0,,15.57539098935642,3,16.0,38.0,20,38.0,0,0.5510000000000002,41780,3,30,1.0,727.8660118637165,False,0.12189359792178517,0,1.7210000000000005,31663,257,0,0.0,2570.0000000000005,False,-0.12290696126713696,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,3,4.181000000000001,34745.0,424,0,0.0,9863.17296767386,False,-0.32939091551023525,0,0.533,78772,0,9,0.6,342.0,False,0.0556840824295591,0,0.20900000000000002,79326,9,16,1.0,748.1785189042077,False,0.06580843899292715,0.43333333333333335,325927,0.0,0.0,10,0,0,2,1,1.0,17,19,12,96.0,16.0,7,6,12,960,1.415459292999003,42.37444435310317
26,12,0,0,0,10.000000000000002,20,10.0,23.647834278729228,13,29.0,15.470024074447329,40,15.075,37.99999999999999,20,38.0,0,0.5510000000000002,42057,3,27,1.0,668.4915255256891,False,0.12847719320545312,0,1.7210000000000005,31563,267,0,0.0,2670.0000000000005,False,-0.12423798748835352,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,40,4.578,32629.0,437,0,0.0,10334.103579804672,False,-0.3611754958184342,0,0.533,78783,13,10,1.0,581.1103129678152,False,0.05742996237558554,0,0.20900000000000002,79472,16,15,1.0,817.5203851911572,False,0.06822450410670887,0.5,324145,0.0,0.0,13,0,0,6,6,6.0,14,20,12,102.0,39.0,9,3,12,1337,1.3688151449896395,43.74325949809281
27,12,0,0,0,10.000000000000002,20,10.0,23.619825685510488,24,23.416666666666668,15.388791656314993,10,14.0,37.99999999999999,20,38.0,0,0.5510000000000002,42440,1,22,1.0,529.6361650812307,False,0.1368246528028914,9,1.8110000000000004,31326,279,0,0.0,2790.0000000000005,False,-0.12894982031146013,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,10,4.638000000000001,31857.0,461,0,0.0,10888.739641020335,False,-0.3695365533590777,0,0.5330000000000001,79023,13,10,1.0,580.0542915320948,False,0.06063235862696802,0,0.20900000000000002,79852,6,15,1.0,662.3327499378898,False,0.07226850285466437,0.5,324139,0.0,0.0,14,0,0,7,2,2.0,14,21,9,117.0,40.0,9,3,9,1423,1.4231692330213264,45.16642873111414
28,9,0,0,0,10.000000000000002,20,10.0,24.325675769783043,22,30.045454545454547,15.461527522665216,22,16.0,37.99999999999999,20,38.0,0,0.5510000000000002,42991,2,10,1.0,263.25675769783044,False,0.14794698200050357,0,1.8020000000000005,31236,288,0,0.0,2880.0000000000005,False,-0.13014774391055503,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,22,4.848000000000001,30554.0,483,0,0.0,11749.30139680521,False,-0.38428715121435636,1,0.5430000000000001,79172,17,10,1.0,642.8459678853086,False,0.06304474496774035,0,0.20900000000000002,80066,4,16,1.0,669.8461100906608,False,0.0751805059581612,0.5,323660,0.0,0.0,14,0,0,3,4,4.0,14,17,13,93.0,39.0,6,3,13,1583,1.2843531609978527,46.45078189211199
29,13,0,0,0,10.000000000000002,20,10.0,24.325675769783043,0,,15.326381089717746,26,14.461538461538462,37.99999999999999,20,38.0,0,0.5510000000000002,42881,3,20,1.0,516.5135153956609,False,0.14838963816578818,0,1.8020000000000005,31146,297,0,0.0,2970.0000000000005,False,-0.13134566750964993,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,26,5.086000000000001,29664.0,483,0,0.0,11749.30139680521,False,-0.3993298284728707,0,0.542,79212,25,12,1.0,839.1595272429436,False,0.06489227943167829,0,0.20900000000000002,80410,2,14,1.0,562.6527621794354,False,0.07906399364914908,0.5,322954,0.0,0.0,11,0,0,4,4,4.0,17,21,13,147.0,42.0,9,4,13,960,1.3659265880123712,47.81670848012436
