index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,11,0,0,0,10.000000000000002,20,10.0,21.156363872264652,26,19.0,32.46771403793762,0,,33.99999999999999,20,34.0,0,0.9380000000000002,48659,19,20,1.0,613.1272774452931,False,0.04660817866244839,26,0.9820000000000002,44437,195,0,0.0,1950.0000000000005,False,-0.029347012931495137,0,0.2,66171,0,5,0.0,162.33857018968808,False,0.0025447806593857166,0,0.32600000000000007,63413,174,25,1.0,4492.9001647224895,False,-0.006424398003128638,0,1.1900000000000002,86293,31,15,1.0,1516.499135176066,False,-0.017469163674668626,11,1.957,83487,60,0,0.0,1948.062842276257,False,-0.0467044614370576,0.5,392460,0.0,0.0,10,0,0,7,5,5.0,10,17,14,88.0,30.0,6,5,14,506,1.700036228634417,110.08773889299482
21,14,0,0,0,10.000000000000002,20,10.0,21.2082014102876,32,21.53125,32.46771403793762,0,,33.99999999999999,20,34.0,0,0.9380000000000002,48801,20,21,1.0,645.3722296160396,False,0.04998794730806927,23,1.1860000000000004,44255,204,0,0.0,2040.0000000000005,False,-0.03227530191300631,0,0.2,66171,0,5,0.0,162.33857018968808,False,0.0025447806593857166,0,0.32600000000000007,62724,196,35,1.0,5293.177467744186,False,-0.010795521852913064,0,1.1900000000000002,86531,21,18,1.0,1293.82199479669,False,-0.016039560295281627,13,2.0760000000000005,83303,60,0,0.0,1948.062842276257,False,-0.048781234312597954,0.5,391785,0.0,0.0,10,0,0,9,5,5.0,13,22,19,126.0,43.0,9,5,19,690,1.815438337624073,111.9031772306189
22,19,0,0,0,10.000000000000002,20,10.0,21.22346345900225,35,21.314285714285713,32.46771403793762,0,,33.99999999999999,20,34.0,0,0.9380000000000002,48943,21,22,1.0,676.9161960980496,False,0.05336022438920655,26,1.4230000000000003,44061,213,0,0.0,2130.0000000000005,False,-0.0354600833600513,0,0.2,66171,0,5,0.0,162.33857018968808,False,0.0025447806593857166,0,0.32600000000000007,61978,221,45,1.0,6151.43255614669,False,-0.015590516947016695,0,1.1900000000000002,86769,11,21,1.0,1071.1448544173136,False,-0.01460995691589463,13,2.1930000000000005,83108,60,0,0.0,1948.062842276257,False,-0.050982162088306485,0.5,391030,0.0,0.0,10,0,0,12,5,5.0,14,26,12,169.0,34.0,13,6,12,690,2.260229113511741,114.16340634413064
23,12,0,0,0,10.000000000000002,20,10.0,20.99560472387252,25,19.0,32.46771403793762,0,,33.99999999999999,20,34.0,0,0.9380000000000002,48813,24,32,1.0,911.8593511639208,False,0.0530924372252209,25,1.6470000000000005,43891,220,0,0.0,2200.0000000000005,False,-0.03834562359730683,0,0.2,66171,0,5,0.0,162.33857018968808,False,0.0025447806593857166,0,0.32600000000000007,61503,236,55,1.0,6740.686986920484,False,-0.018319964084192224,0,1.1900000000000002,87109,1,21,1.0,746.4677140379375,False,-0.01260472627209139,10,2.2800000000000007,82996,60,0,0.0,1948.062842276257,False,-0.05224628470820061,0.5,390483,0.0,0.0,8,0,0,6,4,4.0,15,21,14,110.0,27.0,8,4,14,540,1.7436872273683548,115.90709357149899
24,14,0,0,0,10.000000000000002,20,10.0,20.79160252772435,25,19.0,33.54305459692039,8,49.0,33.99999999999999,20,34.0,0,0.9380000000000002,49188,24,17,1.0,593.457242971314,False,0.05770500419975756,0,1.622,43791,230,0,0.0,2300.0000000000005,False,-0.039414342203697765,0,0.2,66171,0,5,0.0,167.71527298460197,False,0.0025854614807261436,0,0.32600000000000007,61420,251,57,1.0,7130.646346483274,False,-0.016625458912268645,0,1.1900000000000002,87381,0,14,0.1,475.9999999999999,False,-0.011061072924073635,12,2.3900000000000006,82440,68,0,0.0,2280.9277125905865,False,-0.05664325944654805,0.35000000000000003,390391,0.0,0.0,12,0,0,6,4,4.0,15,21,11,93.0,33.0,8,6,11,1339,2.0362611804157495,117.94335475191474
25,11,0,0,0,10.000000000000002,20,10.0,20.84247989236667,33,21.181818181818183,34.313617270133996,15,40.0,33.99999999999999,20,34.0,0,0.9380000000000002,49332,22,19,1.0,616.0071179549667,False,0.06102390849583168,25,1.8720000000000006,43571,242,0,0.0,2420.0000000000005,False,-0.042834241744148766,0,0.2,66171,0,5,0.0,171.56808635066997,False,0.002614612359653296,0,0.32600000000000007,61321,274,52,1.0,7495.147588555435,False,-0.01536568920952546,0,1.1900000000000002,87053,5,16,1.0,715.5680863506699,False,-0.013411166681617981,12,2.4980000000000007,82267,68,0,0.0,2333.325974369112,False,-0.058300172832824855,0.5,389715,0.0,0.0,12,0,0,4,5,5.0,16,20,12,84.0,40.0,6,5,12,1296,1.559463002718985,119.50281775463372
26,12,0,0,0,10.000000000000002,20,10.0,20.84247989236667,0,,35.20102490333816,13,42.92307692307692,33.99999999999999,20,34.0,0,0.9380000000000002,49222,23,29,1.0,834.4319168786334,False,0.06100707402884078,0,1.8470000000000002,43481,251,0,0.0,2510.0000000000005,False,-0.04379608848990061,0,0.2,66171,0,5,0.0,176.00512451669078,False,0.0026481835581736715,0,0.32600000000000007,61879,264,49,1.0,7227.2649118483705,False,-0.008948725017792751,0,1.1900000000000002,87271,0,14,1.0,475.9999999999999,False,-0.01230262192575537,8,2.5660000000000007,81815,76,0,0.0,2675.2778926537,False,-0.061472037536237915,0.5,389839,0.0,0.0,13,0,0,7,3,3.0,13,20,15,48.0,51.0,6,6,15,1166,1.7694463627412915,121.27226411737502
27,15,0,0,0,10.000000000000002,20,10.0,20.84247989236667,0,,35.51697775811141,8,40.0,33.99999999999999,20,34.0,0,0.9380000000000002,49092,26,39,1.0,1072.8567158023002,False,0.06077649584057184,0,1.8470000000000004,43411,258,0,0.0,2580.0000000000005,False,-0.04454419151437426,0,0.2,66171,0,5,0.0,177.58488879055705,False,0.0026601362568137482,0,0.32600000000000007,62199,254,51,1.0,7105.355758324816,False,-0.0050287833792989345,0,1.1900000000000002,87291,0,12,0.8,407.9999999999999,False,-0.012460637253242136,10,2.6580000000000004,81722,76,0,0.0,2699.2903096164673,False,-0.062386198999895705,0.4666666666666666,389886,0.0,0.0,10,0,0,10,3,3.0,14,24,13,165.0,30.0,10,5,13,860,1.5321789318695664,122.80444304924458
28,13,0,0,0,10.000000000000002,20,10.0,20.84247989236667,0,,33.468260581257,30,26.0,33.99999999999999,20,34.0,0,0.9380000000000002,48972,28,49,1.0,1301.2815147259669,False,0.06065278951294184,0,1.8470000000000004,43331,266,0,0.0,2660.0000000000005,False,-0.04539916639948702,0,0.2,66171,0,5,0.0,167.341302906285,False,0.002582631975260876,0,0.32600000000000007,62979,244,31,1.0,6123.081171756434,False,-0.0006576389764811781,2,1.2100000000000002,86905,20,10,1.0,1009.3652116251399,False,-0.013423598394873832,6,2.7080000000000006,81672,76,0,0.0,2543.587804175532,False,-0.06382923168333991,0.5,390030,0.0,0.0,9,0,0,9,3,2.2857142857142856,11,20,13,62.0,33.0,7,6,13,1218,1.6427363902330399,124.44717943947762
29,13,0,0,0,10.000000000000002,20,10.0,21.1434803762438,10,28.0,33.468260581257,0,,33.99999999999999,20,34.0,0,0.9380000000000002,49132,30,49,1.0,1336.0305384359463,False,0.06444405833532064,0,1.8470000000000004,43251,274,0,0.0,2740.0000000000005,False,-0.046254141284599766,0,0.2,66171,0,5,0.0,167.341302906285,False,0.002582631975260876,0,0.32600000000000007,62699,244,41,1.0,6531.207895635024,False,-0.0018067316170705767,2,1.2280000000000002,87231,10,10,1.0,674.6826058125699,False,-0.011632847967739146,8,2.782000000000001,81583,76,0,0.0,2543.587804175532,False,-0.06483375769379149,0.5,390067,0.0,0.0,10,0,0,6,4,3.6666666666666665,16,22,10,129.0,27.0,9,4,10,786,1.4772489676252007,125.92442840710282
