index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,17,0,0,0,10.000000000000002,20,10.0,27.51394257248861,11,28.545454545454547,28.015798943195314,17,45.0,38.00000000000001,20,38.0,0,0.281,37288,214,0,0.0,2140.0000000000005,False,-0.03006549169342807,0,0.2,42349,2,34,1.0,955.4740474646127,False,0.08293263771543492,0,0.2,61688,0,3,0.0,84.04739682958595,False,0.0013467597517282642,0,1.838,58828,8,13,1.0,584.316926841448,False,-0.04098888083084781,5,0.7270000000000001,77954,27,10,1.0,1136.4265714662736,False,0.004595694711476412,0,0.74,77110,37,21,1.0,1834.5845608982268,False,-0.0017362143156082806,0.6666666666666666,355217,0.0,0.0,20,0,0,19,4,3.5,13,32,17,189.0,42.0,13,4,17,1773,1.7017711909720674,43.334593634994235
21,17,0,0,0,10.000000000000002,20,10.0,27.629469880354346,15,28.333333333333332,29.196412508022156,16,42.0,38.000000000000014,20,38.0,0,0.281,37178,225,0,0.0,2250.0000000000005,False,-0.03145624193997016,0,0.2,42684,1,29,1.0,811.254626530276,False,0.08958017835145878,0,0.2,61688,0,3,0.0,87.58923752406648,False,0.0013754865404972305,3,1.868,58970,13,10,1.0,651.147233524828,False,-0.038143403300040346,0,0.7220000000000002,77510,33,14,1.0,1495.4816127647314,False,0.001212092759775952,0,0.7400000000000002,77642,27,17,1.0,1434.3031377165985,False,0.002509519451125241,0.6666666666666666,355672,0.0,0.0,23,0,0,15,1,0.1875,17,32,19,138.0,47.0,11,6,19,1385,1.8390292240073904,45.173622859001625
22,19,0,0,0,10.000000000000002,20,10.0,27.447253716845015,1,10.0,29.156866236047666,43,29.0,38.00000000000001,20,38.0,1,0.29100000000000004,37045,237,0,0.0,2370.0000000000005,False,-0.0333021468126533,0,0.2,42604,0,38,0.9,1042.9956412401107,False,0.09048721320504853,0,0.2,61688,0,3,0.0,87.470598708143,False,0.0013745242972743178,33,2.1950000000000003,59052,4,10,1.0,401.3576772278567,False,-0.03883921620494216,0,0.7220000000000002,77852,23,15,1.0,1240.6079234290964,False,0.003957165944430933,0,0.7400000000000002,76813,60,16,1.0,2357.41197416286,False,-0.0021914974210121615,0.65,355054,0.0,0.0,21,0,0,21,2,1.7674418604651163,17,38,15,217.0,9.0,16,3,15,960,2.034461869043298,47.20808472804492
23,15,0,0,0,10.000000000000002,20,10.0,27.577907769832514,8,29.0,29.156866236047666,0,,38.00000000000001,20,38.0,0,0.29000000000000004,36975,244,0,0.0,2440.0000000000005,False,-0.03418716969681645,0,0.2,42706,3,40,1.0,1133.1163107933005,False,0.09420583496590507,0,0.2,61688,0,3,0.0,87.470598708143,False,0.0013745242972743178,0,2.1620000000000004,58820,2,20,1.0,638.2931402606183,False,-0.04068086735558406,0,0.7220000000000002,78270,13,14,1.0,911.0392610686198,False,0.007196750771264057,0,0.7400000000000002,77155,50,17,1.0,2103.8433118023836,False,0.0005619238757621687,0.6666666666666666,355614,0.0,0.0,20,0,0,16,0,0.0,17,33,12,156.0,24.0,12,3,12,1192,1.867899605014827,49.07598433305975
24,12,0,0,0,10.000000000000002,20,10.0,27.572705246573577,13,27.53846153846154,29.156866236047666,0,,38.00000000000001,20,38.0,0,0.29000000000000004,36885,253,0,0.0,2530.0000000000005,False,-0.035325056262169065,0,0.2,42954,4,37,1.0,1060.1900941232225,False,0.09955483467928308,0,0.2,61688,0,3,0.0,87.470598708143,False,0.0013745242972743178,0,2.1620000000000004,58462,5,30,1.0,1012.5695133142979,False,-0.04345248338674792,0,0.7220000000000002,78650,3,14,1.0,619.4705987081431,False,0.01019325383306769,0,0.7400000000000002,77535,40,17,1.0,1812.2746494419066,False,0.0035584269375658023,0.6666666666666666,356174,0.0,0.0,22,0,0,12,0,0.0,17,29,15,129.0,27.0,8,4,15,1318,1.5127840880304575,50.58876842109021
25,15,0,0,0,10.000000000000002,20,10.0,27.599774638900225,6,28.0,28.407303237889945,10,14.0,38.0,20,38.0,0,0.29000000000000004,36845,257,0,0.0,2570.0000000000005,False,-0.03583078362454801,0,0.2,42962,10,41,1.0,1231.5907601949093,False,0.1019241757932955,0,0.2,61688,0,3,0.0,85.22190971366983,False,0.0013562858672252457,0,2.1620000000000004,58434,1,30,1.0,879.8188717755986,False,-0.04498338222642141,0,0.7220000000000002,79106,0,5,0.3,190.0,False,0.013279940636874224,0,0.7400000000000002,77699,40,19,1.0,1858.2921295155977,False,0.0059509750746236205,0.5499999999999999,356734,0.0,0.0,18,0,0,7,0,0.0,19,26,14,96.0,37.0,7,8,14,1268,1.7564382489654236,52.34520667005563
26,14,0,0,0,10.000000000000002,20,10.0,27.23986064504303,7,22.857142857142858,27.65295459240139,28,22.75,37.99999999999999,20,38.0,1,0.30000000000000004,36732,267,0,0.0,2670.0000000000005,False,-0.03742382481604167,0,0.2,43012,10,45,1.0,1325.7937290269365,False,0.10437951967313491,0,0.2,61688,0,3,0.0,82.95886377720417,False,0.0013379309924019852,0,2.1620000000000004,58911,0,10,0.8,276.5295459240139,False,-0.042138874998588614,9,0.812,78997,1,10,1.0,407.65295459240133,False,0.013277720626078826,0,0.7400000000000002,77466,47,23,1.0,2173.688865842865,False,0.004987582781129689,0.6333333333333333,356806,0.0,0.0,19,0,0,5,6,6.0,24,29,14,144.0,48.0,8,6,14,1405,1.3348498769919388,53.68005654704757
27,14,0,0,0,10.000000000000002,20,10.0,27.884054848025198,30,29.666666666666668,27.12324698972399,9,16.0,37.99999999999999,20,38.0,0,0.29900000000000004,36612,279,0,0.0,2790.0000000000005,False,-0.0389410069031785,0,0.2,43822,8,25,1.0,777.10137120063,False,0.11792425937745751,0,0.2,61688,0,3,0.0,81.36974096917197,False,0.0013250421023664309,0,2.1620000000000004,58165,20,11,1.0,856.0368138474679,False,-0.0495398250211083,5,0.8530000000000002,79190,0,10,1.0,379.99999999999994,False,0.015570026738994153,0,0.7400000000000002,77656,37,28,1.0,2067.5601386197877,False,0.00673950679106352,0.6666666666666666,357133,0.0,0.0,22,0,0,4,2,2.0,25,29,18,111.0,50.0,7,7,18,1804,1.4437419709865935,55.123798518034164
28,18,0,0,0,10.000000000000002,20,10.0,28.035736694607227,16,29.0,25.84011341592383,21,14.952380952380953,37.99999999999999,20,38.0,0,0.29900000000000004,36522,288,0,0.0,2880.0000000000005,False,-0.040078893468531114,0,0.2,44176,9,19,1.0,622.6789971975373,False,0.12492324319414289,0,0.2,61688,0,3,0.0,77.52034024777149,False,0.0012938207880981898,10,2.262,57665,26,10,1.0,987.3302882190262,False,-0.05658563848833655,0,0.8480000000000001,79378,1,11,1.0,443.8401134159238,False,0.01838363492583406,0,0.74,77914,37,27,1.0,1982.0841963891817,False,0.009493521208175142,0.6666666666666666,357343,0.0,0.0,27,0,0,14,1,0.9090909090909091,14,28,15,151.0,67.0,11,7,15,1584,1.9134368489612825,57.037235366995446
29,15,0,0,0,10.000000000000002,20,10.0,27.74169791391872,42,27.0,26.979428793283027,12,44.0,37.99999999999999,20,38.0,0,0.29900000000000004,36452,295,0,0.0,2950.0000000000005,False,-0.040963916352694266,23,0.43000000000000005,44609,12,10,1.0,397.4169791391872,False,0.13302421143372684,0,0.2,61688,0,3,0.0,80.93828637984907,False,0.0013215427058887927,2,2.2720000000000007,56989,58,10,1.0,1878.812766940116,False,-0.06032075553603489,1,0.8580000000000001,79525,0,7,0.7,265.99999999999994,False,0.01912669677468879,0,0.7400000000000002,77954,33,29,1.0,1992.3211501783396,False,0.01007075694496342,0.6166666666666667,357217,0.0,0.0,20,0,0,8,4,1.9285714285714286,22,30,14,150.0,45.0,10,5,14,1148,1.503085411968641,58.54032077896409
