index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,12,0,0,0,10.0,10,10.0,4.54150963620711,0,,21.190577586511008,102,25.53921568627451,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,0,2.9540000000000006,25822,221,0,0.0,2210.0,False,-0.27434176839949337,0,0.254,54640,0,17,0.7,360.2398189706871,False,0.02869377398595154,102,9.176000000000004,5001.0,195,0,0.0,885.5943790603864,False,-0.8978477193235219,0,0.40700000000000003,64341,386,17,1.0,8910.56294839325,False,-0.04650901604672596,5,1.8610000000000002,60012,548,0,0.0,11612.436517408032,False,-0.08778386934937334,0.2833333333333333,247291,0.0,0.0,12,0,0,9,7,7.0,20,29,14,154.0,54.0,9,3,14,745,0.8170055610244162,36.69929281709483
21,14,0,0,0,10.0,13,10.0,4.644955493155795,6,7.0,20.64937907315971,80,17.4125,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,6,3.0140000000000007,25584,234,0,0.0,2340.0,False,-0.279003961516695,0,0.254,54828,0,13,0.0,268.44192795107625,False,0.03136028530099901,76,9.834000000000003,-534.0,201,0,0.0,933.6360541243148,False,-1.0012606626435578,0,0.40700000000000003,64188,414,16,1.0,9236.84293628812,False,-0.04636847948575141,9,1.9460000000000002,59109,590,0,0.0,12183.13365316423,False,-0.0963442894641574,0.16666666666666666,240650,0.0,0.0,12,0,0,15,13,13.0,13,28,12,175.0,72.0,10,4,12,791,0.8163962360122241,37.51568905310705
22,12,0,0,0,10.0,8,10.0,4.604368832861612,2,2.0,20.122217192655896,57,15.473684210526315,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,2,3.028000000000001,25458,242,0,0.0,2420.0,False,-0.2813215835287143,2,0.274,54960,0,2,0.2,40.24443438531179,False,0.031696200431454775,42,10.178000000000003,-2540.0,201,0,0.0,925.4781354051839,False,-1.038979582524205,0,0.40700000000000003,64532,404,18,1.0,8903.375745832982,False,-0.04391163276255004,12,2.057,58004,647,0,0.0,13019.074523648365,False,-0.10586626480452127,0.19999999999999998,237889,0.0,0.0,8,0,0,9,12,11.25,17,26,15,153.0,54.0,9,3,15,522,0.7477877929923125,38.263476846099366
23,15,0,0,0,10.0,8,10.0,4.604368832861612,0,,19.69256928628884,54,15.685185185185185,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,0,3.026000000000001,25378,250,0,0.0,2500.0,False,-0.28239954725523486,7,0.3420000000000001,54845,0,0,0.0,0.0,False,0.029160646262971233,45,10.586,-4952.0,201,0,0.0,925.4781354051839,False,-1.0842405083841062,0,0.40700000000000003,64962,394,18,1.0,8532.872298797804,False,-0.04051951228796294,10,2.1450000000000005,56991,701,0,0.0,13804.491069688476,False,-0.11446327842825926,0.16666666666666666,234699,0.0,0.0,7,0,0,9,11,10.777777777777779,20,29,11,210.0,54.0,12,3,11,510,1.7265580680104904,39.990034914109856
24,11,0,0,0,10.0,10,10.0,4.485513359539714,4,1.0,19.69256928628884,0,,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,4,3.0660000000000003,25182,260,0,0.0,2600.0,False,-0.2863341148570351,0,0.3350000000000001,54841,0,4,0.4,78.77027714515536,False,0.029824644659934684,0,10.541,-5348.0,201,0,0.0,901.5881852674825,False,-1.0918955528581986,0,0.4070000000000001,65306,384,20,1.0,8421.946605934914,False,-0.03652049419326625,12,2.255000000000001,56785,701,0,0.0,13804.491069688476,False,-0.11731836214042246,0.2333333333333333,234241,0.0,0.0,6,0,0,8,5,5.0,18,26,15,125.0,39.0,8,3,15,444,0.7843727440340444,40.7744076581439
25,15,0,0,0,10.0,10,10.0,4.39229481815388,3,1.0,19.549527609169015,16,15.0625,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,3,3.0920000000000014,25010,270,0,0.0,2700.0,False,-0.2896219042229229,0,0.3350000000000001,54838,0,7,0.3,136.8466932641831,False,0.03031324889065874,16,10.701,-6269.0,201,0,0.0,882.8512584489299,False,-1.109353819045909,0,0.40700000000000003,65581,390,18,1.0,8398.315767575916,False,-0.03287285336805682,8,2.323000000000001,56670,701,0,0.0,13704.21885402748,False,-0.11960708744021316,0.21666666666666667,233305,0.0,0.0,9,0,0,10,9,9.0,19,29,16,164.0,75.0,10,5,16,616,0.9699256080202758,41.744333266164176
26,16,0,0,0,10.0,11,10.0,4.39229481815388,0,,19.344471710961574,22,15.0,43.000000000000014,20,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,0,3.0890000000000004,24900,281,0,0.0,2810.0,False,-0.2911041043468887,0,0.3350000000000001,54943,0,0,0.0,0.0,False,0.03099960593721266,15,10.835,-7188.0,201,0,0.0,882.8512584489299,False,-1.1265987572155811,0,0.4070000000000001,65968,380,19,1.0,8167.899250165398,False,-0.029105920486158492,11,2.4250000000000007,56144,723,0,0.0,13986.053047025218,False,-0.12494419387525493,0.16666666666666666,232242,0.0,0.0,10,0,0,16,8,8.0,16,32,18,192.0,72.0,12,4,18,602,1.093024711997714,42.83735797816189
27,18,0,0,0,10.0,11,10.0,4.143216422781794,8,1.0,20.518342981445922,72,27.680555555555557,43.000000000000014,9,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,8,3.169000000000001,24582,292,0,0.0,2920.0,False,-0.2981917158487617,5,0.385,54825,0,8,0.8,164.14674385156738,False,0.03032544654680498,67,11.489999999999998,-9218.0,201,0,0.0,832.7865009791407,False,-1.1651612232742945,0,0.40700000000000003,64110,433,29,1.0,10131.442510966084,False,-0.04125012119576661,9,2.5040000000000004,55873,732,0,0.0,15019.427062418416,False,-0.1215390629336788,0.3,227647,0.0,0.0,5,0,0,12,10,10.0,18,30,18,194.0,93.0,12,6,18,110,1.2000347879948094,44.0373927661567
28,18,0,0,0,10.0,7,10.0,4.143216422781794,0,,20.59255268576636,20,22.3,43.000000000000014,12,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,0,3.161000000000001,24512,299,0,0.0,2990.0,False,-0.29913493410946723,1,0.39,55047,0,0,0.0,0.0,False,0.03295115497926479,11,11.533000000000001,-10223.0,201,0,0.0,832.7865009791407,False,-1.1840199423825868,0,0.40700000000000003,63766,437,39,1.0,10675.9455236799,False,-0.04224452874709019,12,2.6150000000000007,55552,738,0,0.0,15197.303882095573,False,-0.12475535063410875,0.16666666666666666,226129,0.0,0.0,5,0,0,8,8,7.2,21,29,15,187.0,96.0,11,7,15,254,1.0945548379677348,45.131947604124434
29,15,0,0,0,10.0,13,10.0,3.9907213106958137,5,1.0,20.791275911534857,9,30.333333333333332,43.00000000000001,9,43.0,0,0.2,37475,0,0,0.0,0.0,False,0.009917266283989543,5,3.211000000000001,24262,312,0,0.0,3120.0,False,-0.304120516344625,4,0.42900000000000005,55082,0,5,0.5,103.95637955767428,False,0.034583291546017796,5,11.572000000000003,-11140.0,201,0,0.0,802.1349834498585,False,-1.2015149370114104,0,0.40700000000000003,63681,432,49,1.0,11088.831193783059,False,-0.04056137602711596,9,2.6930000000000005,55224,742,0,0.0,15427.126726358863,False,-0.12770867941041922,0.25,224584,0.0,0.0,6,0,0,6,8,8.0,20,26,14,175.0,60.0,10,5,14,130,0.9417348449933343,46.07368244911777
