index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,13,0,0,0,10.000000000000002,20,10.0,22.798124791704264,28,28.0,20.437276355144856,1,35.0,35.00000000000001,20,35.0,0,0.9740000000000002,40941,221,0,0.0,2210.0000000000005,False,-0.05370003601008282,8,0.28,47606,0,7,0.7,159.58687354192986,False,0.07323085696729761,0,0.9470000000000001,55312,64,45,1.0,2378.7574226505913,False,-0.047660019361099995,0,0.2,58501,3,37,1.0,824.5735995154724,False,-0.007006913992183686,0,0.8210000000000002,76943,0,11,0.9,385.00000000000006,False,0.008993041021347844,2,0.9490000000000001,77063,0,1,0.1,35.00000000000001,False,0.008273597739640016,0.6166666666666667,356366,0.0,0.0,12,0,0,10,2,1.0153846153846153,6,16,18,48.0,21.0,6,7,18,1180,1.090472411015071,36.365136241947766
21,18,0,0,0,10.000000000000002,20,10.0,23.00687161112276,10,26.0,20.437276355144856,0,,35.00000000000001,20,35.0,0,0.9740000000000002,40871,228,0,0.0,2280.0000000000005,False,-0.054487756571840115,3,0.30200000000000005,47670,3,10,1.0,260.0687161112276,False,0.07580199761558369,0,0.9470000000000003,55052,64,55,1.0,2596.4899826448236,False,-0.05020740293410622,0,0.2,58501,0,40,0.3,817.4910542057943,False,-0.0070666027220601104,1,0.8310000000000002,77321,0,0,0.0,0.0,False,0.011419526998744245,7,1.0170000000000001,77029,0,0,0.0,0.0,False,0.0075999372122226875,0.3833333333333333,356444,0.0,0.0,8,0,0,14,4,2.3833333333333333,10,24,22,174.0,15.0,13,5,22,515,1.4020526749663986,37.767188916914165
22,22,0,0,0,10.000000000000002,20,10.0,19.860091302110877,40,9.0,19.618189508791996,15,13.0,35.00000000000001,20,35.0,40,1.3740000000000003,40261,237,0,0.0,2370.0000000000005,False,-0.06720381706877926,0,0.29900000000000004,47560,4,20,1.0,437.20182604221753,False,0.07531961003378443,0,0.9470000000000001,54887,94,50,1.0,2847.758057838022,False,-0.05087092266987464,0,0.2,58501,0,40,0.0,784.7275803516799,False,-0.007342719577679699,7,0.9000000000000001,77056,5,10,1.0,448.09094754396006,False,0.010883809566921105,13,1.1400000000000001,76831,0,0,0.0,0.0,False,0.005009941398074508,0.5,355096,0.0,0.0,8,0,0,10,7,7.0,10,20,28,147.0,39.0,9,13,28,395,1.1212564809829928,38.88844539789716
23,28,0,0,0,10.000000000000002,20,10.0,19.82013494761742,20,19.5,20.5529798752288,55,22.636363636363637,35.00000000000001,20,35.0,4,1.3740000000000003,40143,244,0,0.0,2440.0000000000005,False,-0.06907184011523226,0,0.29900000000000004,47780,7,14,1.0,347.48188926664386,False,0.07926136443629182,5,0.9970000000000001,55597,104,10,1.0,2266.8238333044997,False,-0.04379962722020849,0,0.2,58501,0,40,0.0,822.119195009152,False,-0.0070275986869056855,0,0.893,76314,40,10,1.0,1172.119195009152,False,0.005913295279203807,10,1.227,76556,0,10,1.0,350.00000000000006,False,0.0037018627040602764,0.6666666666666666,354891,0.0,0.0,15,0,0,12,5,4.555555555555555,11,23,32,183.0,58.0,11,17,32,2028,1.4054952790029347,40.29394067690009
24,32,0,0,0,10.000000000000002,20,10.0,20.15561458032181,23,22.52173913043478,21.514781409601667,53,24.41509433962264,35.00000000000001,20,35.0,5,1.4200000000000002,39973,255,0,0.0,2550.0000000000005,False,-0.07166006481814909,4,0.3390000000000001,48070,6,10,1.0,261.5561458032181,False,0.084821256592132,41,1.4020000000000001,55114,117,10,1.0,2573.3547199936684,False,-0.04935735711040408,0,0.2,58571,0,38,0.0,817.5616935648634,False,-0.005886145952528631,1,0.903,76657,30,10,1.0,995.4434422880502,False,0.00924447626025572,0,1.217,75577,43,11,1.0,1310.1356006128717,False,-0.0028245630977077416,0.6666666666666666,353962,0.0,0.0,11,0,0,14,4,3.026143790849673,13,27,17,180.0,45.0,15,17,17,935,1.6568669530097395,41.95080762990983
25,17,0,0,0,10.000000000000002,20,10.0,20.63227582503051,23,24.08695652173913,21.722737546052386,3,35.0,35.00000000000001,20,35.0,5,1.4650000000000003,39833,263,0,0.0,2630.0000000000005,False,-0.07391069499459849,8,0.41500000000000004,48278,8,10,1.0,286.3227582503051,False,0.08978126978585595,0,1.3610000000000002,54560,130,20,1.0,3116.6506081750144,False,-0.05411644719972516,0,0.2,58676,0,35,0.0,760.2958141118335,False,-0.0045989666595439935,0,0.9020000000000001,76867,23,11,1.0,884.6229635592049,False,0.011266631982257238,0,1.217,75962,33,10,1.0,1066.8503390197288,False,0.0006203585379586732,0.6666666666666666,354176,0.0,0.0,12,0,0,6,2,1.4444444444444444,12,18,18,111.0,45.0,7,10,18,1005,1.2599272129591554,43.21073484286899
26,18,0,0,0,10.000000000000002,20,10.0,20.339203701930483,6,12.0,21.722737546052386,0,,35.00000000000001,20,35.0,5,1.5100000000000002,39668,273,0,0.0,2730.0000000000005,False,-0.07649891969751531,0,0.4070000000000001,48205,8,19,1.0,466.4448703366792,False,0.09016525106158489,0,1.3610000000000002,54488,126,30,1.0,3214.4217928248127,False,-0.054506044322129056,0,0.2,58676,0,35,0.0,760.2958141118335,False,-0.0045989666595439935,0,0.9020000000000001,77042,13,16,1.0,842.3955880986812,False,0.013279586046061873,5,1.2670000000000001,76268,23,10,1.0,849.6229635592049,False,0.003202326833659498,0.6666666666666666,354347,0.0,0.0,11,0,0,12,3,2.4,11,23,8,153.0,51.0,11,7,8,647,1.2939987950376235,44.50473363790661
27,8,0,0,0,10.000000000000002,20,10.0,20.463683250914496,22,21.363636363636363,21.722737546052386,0,,35.00000000000001,20,35.0,6,1.5650000000000002,39470,285,0,0.0,2850.0000000000005,False,-0.07960478934101549,0,0.4070000000000001,48541,6,13,1.0,326.02788226188846,False,0.09614723490121856,0,1.3610000000000002,54434,122,40,1.0,3365.4788584536636,False,-0.05414317737991827,0,0.2,58260,6,45,1.0,1100.3052890778445,False,-0.008745257049016087,0,0.9020000000000001,77322,3,18,1.0,695.1682126381572,False,0.015979281424223977,2,1.2820000000000003,76604,13,10,1.0,632.3955880986811,False,0.006176718737564592,0.8333333333333334,354631,0.0,0.0,10,0,0,0,2,1.5,14,14,12,36.0,48.0,2,6,12,1176,0.8571366739924997,45.36187031189911
28,12,0,0,0,10.000000000000002,20,10.0,20.463683250914496,0,,21.387405049549855,7,13.0,35.00000000000001,20,35.0,0,1.5590000000000004,39390,293,0,0.0,2930.0000000000005,False,-0.08050504141159524,0,0.4070000000000001,48421,8,23,1.0,550.6647147710335,False,0.09597435085941475,0,1.3610000000000002,54525,112,43,1.0,3211.5909412330675,False,-0.05390626050301652,0,0.2,58260,0,51,0.6,1090.7576575270425,False,-0.008825720494808308,0,0.9020000000000001,77546,0,19,1.0,665.0000000000001,False,0.018712065717873587,1,1.2900000000000003,76947,3,10,1.0,414.16221514864964,False,0.009236096530639466,0.7666666666666666,355089,0.0,0.0,11,0,0,3,1,0.2,15,18,11,111.0,30.0,7,5,11,816,1.0791067240061238,46.440977035905235
29,11,0,0,0,10.000000000000002,20,10.0,20.092078490151213,6,10.0,21.146435150542274,17,18.823529411764707,35.00000000000001,20,35.0,0,1.559,39360,296,0,0.0,2960.0000000000005,False,-0.08084263593806265,0,0.4070000000000001,48311,15,27,1.0,692.4861192340827,False,0.09509459532807521,0,1.3610000000000002,54785,108,36,1.0,2931.2161423558528,False,-0.05188679952168537,0,0.2,58260,0,51,0.0,1078.468192677656,False,-0.008929290964977887,0,0.9020000000000001,77715,0,17,0.9,595.0000000000001,False,0.020464891167852658,0,1.2890000000000001,77158,1,11,1.0,406.14643515054235,False,0.011943716219852426,0.65,355589,0.0,0.0,14,0,0,6,0,0.0,13,19,22,84.0,8.0,8,3,22,1280,1.253971855971031,47.694948891876265
