index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3155,7ed0b013-51a5-4c92-ad3a-7ee89f396b2d,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,142,1,49,73,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,142,,-1,-1
3156,8bd29099-3813-4593-94d7-3480e82803f8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,142,1,49,73,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3157,c7946993-f1fe-4e75-a9b5-8e699d0a47b5,SELLER,00Ran@0,_SystemAgent,RandomAgent,142,2,10,73,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,142,,-1,-1
3158,7c47dbdb-1f37-4ffc-9544-cfea06366194,SELLER,00Ran@0,_SystemAgent,RandomAgent,142,3,10,73,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,142,,-1,-1
3159,01e6c4f1-aaea-466f-bc02-a12d9db3f0eb,00Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,75,3,2,73,-1,73,03Dec@1|00Ran@0,"[quantity: (1, 5), time: (73, 75), unit_price: (1, 24)]",00Ran@0,03Dec@1,p1,03Dec@1,True,1,10,-1,00Ran@0:product(1.0),-1,-1
3160,f0b6ee01-3832-4d3c-aea1-2c29c7e716f7,SELLER,00Ran@0,_SystemAgent,RandomAgent,142,1,10,73,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,142,,-1,-1
3161,3a92bfed-9437-4f52-b9cc-dce789cd9747,SELLER,01Ran@0,_SystemAgent,RandomAgent,142,1,10,73,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,142,,-1,-1
3162,5fa48e7a-94d6-44f9-80e6-79b9a7fb9d00,SELLER,00Ran@0,_SystemAgent,RandomAgent,142,1,10,73,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,142,,-1,-1
3163,962d111e-35cc-44bf-92ed-b09a4ebd9c07,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,142,2,49,73,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3164,5e591c98-0fdc-450f-b60c-6e8d689054f2,SELLER,01Ran@0,_SystemAgent,RandomAgent,142,6,10,73,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,142,,-1,-1
3165,7a6a52b1-8f09-44f5-8a62-67cc3f0f523e,SELLER,01Ran@0,_SystemAgent,RandomAgent,142,3,10,73,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,142,,-1,-1
3166,097e5b8b-b897-4aab-bb43-c71f4e69bcc2,SELLER,00Ran@0,_SystemAgent,RandomAgent,142,1,10,73,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,142,,-1,-1
3167,80580ac8-019f-4542-ab82-e001900aebe8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,142,1,49,73,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
