index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,5,0,0,0,10.000000000000002,20,10.0,8.631228217259265,2,8.0,13.086581973519742,15,9.0,30.000000000000007,20,30.0,2,0.6160000000000001,26540,215,0,0.0,2150.0000000000005,False,-0.05379475758094912,0,0.6500000000000001,26587,205,0,0.0,2050.0000000000005,False,-0.05389755011135858,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.31700000000000006,37528,0,3,0.3,39.259745920559226,False,0.003410739523257044,11,1.6960000000000002,53330,0,0,0.0,0.0,False,-0.0254376667519462,9,1.721,51839,79,0,0.0,1033.8399759080596,False,-0.043238185958955594,0.049999999999999996,233508,0.0,0.0,11,0,0,8,10,10.0,13,21,8,90.0,0.0,5,0,8,335,0.9037107870099135,39.73360606684582
21,8,0,0,0,10.000000000000002,20,10.0,8.497638393193599,6,7.5,13.086581973519742,0,,30.00000000000001,20,30.0,3,0.6440000000000001,26390,227,0,0.0,2270.0000000000005,False,-0.056878533493232825,3,0.68,26474,213,0,0.0,2130.0000000000005,False,-0.056398835017988695,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.31700000000000006,37483,0,9,0.6,117.77923776167768,False,0.003257338826318433,11,1.7950000000000004,53200,0,0,0.0,0.0,False,-0.027813310916998648,9,1.802,51753,79,0,0.0,1033.8399759080596,False,-0.04480976594506721,0.09999999999999999,232984,0.0,0.0,10,0,0,10,9,9.0,15,25,8,111.0,3.0,7,1,8,200,1.1708256459678523,40.904431712813675
22,8,0,0,0,10.000000000000002,20,10.0,8.486988431802578,1,8.0,12.413073943736238,14,9.0,30.00000000000001,20,30.0,1,0.651,26260,239,0,0.0,2390.0000000000005,False,-0.059277025869453485,0,0.677,26394,221,0,0.0,2210.0000000000005,False,-0.05776940209011479,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,5,0.36700000000000005,37481,0,1,0.1,12.413073943736238,False,0.0017960057982861933,9,1.874,53109,0,0,0.0,0.0,False,-0.02947626183253536,11,1.9030000000000007,51495,93,0,0.0,1154.41587676747,False,-0.048422792690622905,0.016666666666666666,232423,0.0,0.0,9,0,0,10,10,9.833333333333334,16,26,4,144.0,0.0,8,0,4,272,1.7857996399980038,42.69023135281168
23,4,0,0,0,10.000000000000002,20,10.0,8.329240969183605,8,7.5,12.126782885401449,7,9.0,30.00000000000001,20,30.0,5,0.7000000000000002,26063,253,0,0.0,2530.0000000000005,False,-0.06362857632345383,3,0.7070000000000001,26301,227,0,0.0,2270.0000000000005,False,-0.05992804522871338,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,6,0.42200000000000004,37340,0,8,0.8,97.01426308321159,False,-0.0008416052500906945,11,1.9750000000000003,52976,0,0,0.0,0.0,False,-0.03190672855524286,9,1.9820000000000002,51336,100,0,0.0,1212.6782885401449,False,-0.05079603917491916,0.13333333333333333,231700,0.0,0.0,8,0,0,5,14,13.857142857142858,15,20,8,39.0,3.0,3,1,8,200,1.0386213560122997,43.72885270882398
24,8,0,0,0,10.000000000000002,20,10.0,8.329240969183605,0,,11.8954739303268,6,9.0,30.000000000000007,20,30.0,0,0.6950000000000001,25973,262,0,0.0,2620.0000000000005,False,-0.06517046427959568,0,0.7040000000000002,26191,238,0,0.0,2380.0000000000005,False,-0.06181257495288676,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.41600000000000004,37394,0,2,0.0,23.7909478606536,False,-0.00037692480143426243,12,2.0840000000000005,52820,0,0,0.0,0.0,False,-0.0347575015533058,8,2.0530000000000004,51201,106,0,0.0,1260.9202366146408,False,-0.0528222631061124,0.0,231263,0.0,0.0,9,0,0,9,10,10.0,17,26,5,144.0,0.0,8,0,5,254,1.0370601640315726,44.76591287285555
25,5,0,0,0,10.000000000000002,20,10.0,8.259986240340368,12,8.0,11.8954739303268,0,,30.000000000000004,20,30.0,12,0.8150000000000002,25743,273,0,0.0,2730.0000000000005,False,-0.07116669522014733,0,0.7040000000000002,26101,247,0,0.0,2470.0000000000005,False,-0.06335446290902862,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.41600000000000004,37298,2,12,1.0,159.26565964460232,False,-0.001132206578773341,13,2.2020000000000004,52643,0,0,0.0,0.0,False,-0.03799203245495413,7,2.1150000000000007,51141,106,0,0.0,1260.9202366146408,False,-0.053918714259213525,0.16666666666666666,230610,0.0,0.0,7,0,0,9,10,10.0,14,23,6,75.0,0.0,5,0,6,200,0.950510686961934,45.716423559817486
26,6,0,0,0,10.000000000000002,20,10.0,8.259986240340368,0,,12.140142926290325,1,30.0,30.000000000000004,18,30.0,0,0.8030000000000002,25653,282,0,0.0,2820.0000000000005,False,-0.07270858317628918,0,0.7040000000000002,25991,258,0,0.0,2580.0000000000005,False,-0.06523899263320199,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.41600000000000004,37328,0,13,0.2,157.82185804177422,False,-0.00034978810740547505,9,2.279000000000001,52549,0,0,0.0,0.0,False,-0.0397098059281459,9,2.1980000000000004,51026,107,0,0.0,1298.995293113065,False,-0.05567235030597321,0.03333333333333333,230231,0.0,0.0,10,0,0,9,8,8.0,14,23,5,108.0,0.0,6,0,5,230,0.9069782189908437,46.62340177880833
27,5,0,0,0,10.000000000000002,20,10.0,8.259986240340368,0,,12.017869682003107,8,11.0,30.000000000000004,15,30.0,0,0.8030000000000002,25563,291,0,0.0,2910.0000000000005,False,-0.07425047113243104,0,0.7040000000000002,25881,269,0,0.0,2690.0000000000005,False,-0.06712352235737537,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.41600000000000004,37416,0,5,0.0,60.08934841001554,False,0.0006960094656601927,6,2.330000000000001,52494,0,0,0.0,0.0,False,-0.040714886151821936,9,2.2790000000000004,50845,115,0,0.0,1382.0550134303573,False,-0.05822105356684366,0.0,229883,0.0,0.0,9,0,0,6,8,8.0,15,21,5,72.0,3.0,4,1,5,288,0.8317410760209896,47.45514285482932
28,5,0,0,0,10.000000000000002,20,10.0,7.850704483249565,20,6.8,11.8273422246823,7,10.0,30.000000000000004,20,30.0,4,0.8430000000000002,25433,300,0,0.0,3000.0000000000005,False,-0.07716292616069899,16,0.8640000000000001,25551,280,0,0.0,2800.0000000000005,False,-0.07654617097824225,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,2,0.43600000000000005,37302,10,10,1.0,196.78046707931864,False,-0.0005240450684218055,9,2.414000000000001,52403,0,0,0.0,0.0,False,-0.04237783706735865,11,2.380000000000001,50646,122,0,0.0,1442.9357514112405,False,-0.061301343596622614,0.16666666666666666,229019,0.0,0.0,9,0,0,9,13,12.285714285714285,13,22,5,72.0,3.0,4,1,5,200,0.8433166299946606,48.29845948482398
29,5,0,0,0,10.000000000000002,20,10.0,7.798001735814736,8,7.375,12.095679953356555,1,30.0,30.000000000000004,20,30.0,3,0.8690000000000002,25288,311,0,0.0,3110.0000000000005,False,-0.08024670207298269,5,0.8980000000000004,25403,289,0,0.0,2890.0000000000005,False,-0.08007538118896694,0,0.2,37684,0,0,0.0,0.0,False,0.0070550507749866384,0,0.43400000000000005,37273,8,19,1.0,292.20193300029246,False,-2.4025481022248032e-05,9,2.4950000000000006,52283,0,1,0.1,30.000000000000004,False,-0.044296626585285624,11,2.4790000000000005,50514,122,0,0.0,1475.6729543094998,False,-0.06341441326788587,0.18333333333333335,228445,0.0,0.0,9,0,0,7,13,13.0,14,21,5,72.0,3.0,4,1,5,230,0.7973981180111878,49.09585760283517
