index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,23,0,0,0,9.999999999999996,9,10.0,6.882526876661226,5,2.0,29.8457440438647,0,,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,5,1.5460000000000005,47870.0,199,0,0.0,1989.9999999999993,False,-0.08277803847958705,0,0.272,83594,0,10,0.5,298.457440438647,False,0.027373009130181147,0,0.41600000000000004,82594,0,13,0.3,387.99467257024105,False,0.0156541041354048,8,1.0000000000000002,110508,0,0,0.0,0.0,False,-0.0011479188321959597,7,1.8090000000000004,104862,93,0,0.0,2775.654196079417,False,-0.03963639808343014,0.13333333333333333,483238,0.0,0.0,7,0,0,16,10,9.666666666666668,24,40,26,174.0,26.0,15,8,26,234,2.0600658897310495,56.67508420906961
21,26,0,0,0,9.999999999999996,16,10.0,6.261790576141491,14,2.5714285714285716,30.21820273944407,5,38.0,36.00000000000001,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,14,1.6810000000000005,47353.0,215,0,0.0,2149.999999999999,False,-0.09098076020647583,0,0.272,83781,0,8,0.3,241.74562191555256,False,0.029319275823900513,0,0.41600000000000004,82561,1,23,1.0,701.2804535833551,False,0.017170971474036595,9,1.0820000000000003,110200,0,5,0.5,180.00000000000003,False,-0.003118362181949654,11,1.9120000000000001,104695,93,0,0.0,2810.2928547682986,False,-0.040989321395723276,0.3,482400,0.0,0.0,11,0,0,22,17,17.0,13,35,26,201.0,72.0,15,11,26,350,1.9413350243121386,58.61641923338175
22,26,0,0,0,9.999999999999996,9,10.0,5.7858966989501885,11,2.0,29.66385824664661,19,26.789473684210527,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,11,1.7770000000000004,46990.0,224,0,0.0,2239.999999999999,False,-0.09694978883153449,0,0.272,83854,0,14,0.8,415.2940154530525,False,0.03127940680791203,0,0.41600000000000004,82975,0,10,0.4,296.63858246646606,False,0.019767878241648232,3,1.1030000000000002,110316,0,1,0.1,36.0,False,-0.002720658019614046,12,2.021000000000001,104031,111,0,0.0,3292.6882653777734,False,-0.04481091758766316,0.2166666666666667,481976,0.0,0.0,11,0,0,18,15,14.666666666666666,18,36,25,177.0,36.0,14,12,25,743,1.9333537127822638,60.54977294616401
23,25,0,0,0,9.999999999999996,7,10.0,5.583783538796158,5,2.0,30.563772934275224,5,49.6,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,5,1.8160000000000005,46815.0,231,0,0.0,2309.999999999999,False,-0.09957766306898169,0,0.272,84092,0,14,0.5,427.89282107985315,False,0.0342765042023251,0,0.41600000000000004,82975,0,10,0.0,305.63772934275227,False,0.019823079603878968,8,1.1800000000000002,110265,0,0,0.0,0.0,False,-0.003344330456003977,11,2.1190000000000007,103613,116,0,0.0,3545.397660375926,False,-0.047447021013350556,0.08333333333333333,481570,0.0,0.0,6,0,0,20,12,11.833333333333334,12,32,20,162.0,39.0,12,13,20,318,1.8464244836941361,62.39619742985815
24,20,0,0,0,9.999999999999998,15,10.0,5.150684142434327,10,1.5,31.73339330472127,6,51.166666666666664,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,10,1.9110000000000005,46425.0,246,0,0.0,2459.9999999999995,False,-0.10549038010323791,0,0.272,84389,0,13,0.5,412.53411296137654,False,0.037825928163714426,0,0.41600000000000004,82970,0,15,0.5,476.00089957081906,False,0.02080675789804458,10,1.2720000000000002,110124,0,0,0.0,0.0,False,-0.004618791521670358,10,2.2080000000000006,103161,122,0,0.0,3871.4739831759953,False,-0.05005886933079046,0.16666666666666666,480879,0.0,0.0,9,0,0,16,15,15.0,14,30,20,129.0,33.0,9,11,20,457,1.8523283917456865,64.24852582160383
25,20,0,0,0,9.999999999999998,12,10.0,4.9365181693769316,13,3.5384615384615383,32.51978189253833,10,40.0,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,13,2.0310000000000006,46010.0,258,0,0.0,2579.9999999999995,False,-0.11215391834819334,0,0.272,84589,0,8,0.0,260.15825514030666,False,0.03934487103211979,0,0.41600000000000004,83124,3,20,1.0,665.2051923588974,False,0.023856641919955974,9,1.3520000000000003,109610,0,10,1.0,360.0,False,-0.00763772766303611,11,2.3080000000000007,102995,122,0,0.0,3967.4133908896765,False,-0.05112571342301407,0.3333333333333333,480138,0.0,0.0,8,0,0,17,12,12.0,15,32,22,122.0,48.0,9,11,22,520,1.648756716400385,65.89728253800422
26,22,0,0,0,9.999999999999998,13,10.0,4.9365181693769316,0,,31.243926043330408,7,14.0,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,0,2.0180000000000007,45880.0,271,0,0.0,2709.9999999999995,False,-0.11337400281557954,0,0.272,84589,0,8,0.0,249.95140834664326,False,0.039282261558706996,0,0.41600000000000004,83222,0,16,0.3,499.9028166932865,False,0.024044943178263927,1,1.3530000000000002,109865,0,7,0.7,252.0,False,-0.005820942739639355,9,2.3870000000000005,102879,122,0,0.0,3811.75897728631,False,-0.05287766539844392,0.16666666666666666,480245,0.0,0.0,12,0,0,19,5,4.5,12,31,24,144.0,60.0,12,10,24,552,2.0231432653963566,67.92042580340058
27,24,0,0,0,10.0,13,10.0,4.723643914344427,19,3.736842105263158,32.20560708974625,10,41.0,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,19,2.208000000000001,45271.0,284,0,0.0,2840.0,False,-0.12358517128108869,0,0.272,84872,0,5,0.3,161.02803544873126,False,0.04220868114785994,0,0.41600000000000004,83278,6,22,1.0,736.8652194604841,False,0.02618550164062028,5,1.4020000000000001,110072,0,0,0.0,0.0,False,-0.005088805531703349,8,2.4580000000000006,102367,132,0,0.0,4251.1401358465055,False,-0.055519771610039736,0.21666666666666667,479670,0.0,0.0,13,0,0,21,11,11.0,14,35,24,158.0,104.0,13,11,24,792,1.7626306023448706,69.68305640574545
28,24,0,0,0,9.999999999999998,10,10.0,4.589300760367089,5,2.0,33.41832464281877,15,40.8,36.0,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,5,2.2390000000000008,45058.0,294,0,0.0,2939.9999999999995,False,-0.12664476771468794,2,0.29200000000000004,85154,0,3,0.3,100.25497392845631,False,0.04529550847684049,0,0.41600000000000004,83535,0,22,0.8,735.2031421420129,False,0.029328216349384206,8,1.4770000000000003,109940,0,1,0.1,36.0,False,-0.006119220861391061,12,2.5700000000000007,101611,146,0,0.0,4879.07539785154,False,-0.05951518326997999,0.20000000000000004,479108,0.0,0.0,8,0,0,26,14,13.2,10,36,22,189.0,43.0,13,11,22,413,1.6542182229459286,71.33727462869138
29,22,0,0,0,9.999999999999998,10,10.0,4.496254871395028,3,1.6666666666666667,31.648525295432126,19,22.736842105263158,35.99999999999999,20,36.0,0,0.2,53810,0,0,0.0,0.0,False,0.01004223369310183,3,2.2640000000000007,44892.0,304,0,0.0,3039.9999999999995,False,-0.12882214922571564,0,0.29000000000000004,85150,0,5,0.2,158.24262647716063,False,0.045602136044245935,0,0.41600000000000004,83966,0,4,0.1,126.5941011817285,False,0.030882533253887276,12,1.589,109812,0,0,0.0,0.0,False,-0.0074388755818683054,7,2.6280000000000006,101098,165,0,0.0,5222.006673746301,False,-0.06260222048291089,0.05000000000000001,478728,0.0,0.0,10,0,0,20,11,11.0,18,38,16,166.0,53.0,14,8,16,568,1.591637591831386,72.92891222052276
