index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,4.3704691793066255,25,2.08,31.553311558821,10,45.0,41.00000000000001,8,41.0,6,0.9530000000000003,43872,119,0,0.0,1190.0000000000002,False,-0.05594242282705618,19,1.2630000000000001,42974,101,0,0.0,1010.0000000000002,False,-0.07691817757207763,0,0.2,70158,26,52,1.0,1754.4043997206643,False,0.02962998361902756,0,0.2,69308,7,54,1.0,1734.4721084314804,False,0.01716508028896146,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,0.9010000000000002,92362,60,0,0.0,1893.19869352926,False,-0.022455272317346592,0.3333333333333333,414126,0.0,0.0,10,0,0,11,10,10.0,17,28,22,207.0,72.0,13,9,22,650,1.5497066769748926,20.857002614066005
11,22,0,0,0,10.000000000000002,20,10.0,4.288732355879307,22,3.772727272727273,27.560449231689617,20,14.0,41.00000000000001,10,41.0,3,0.9770000000000003,43662,134,0,0.0,1340.0000000000002,False,-0.058808543161649185,19,1.4340000000000002,42483,106,0,0.0,1060.0000000000002,False,-0.08681160035667275,0,0.2,70289,19,52,1.0,1514.629274809567,False,0.029791054447750855,0,0.2,69374,16,54,1.0,1556.8839762053083,False,0.01683468841012096,0,0.2,95452,0,0,0.0,0.0,False,0.0,10,0.9930000000000003,91944,80,0,0.0,2204.8359385351696,False,-0.02520200761359026,0.3333333333333333,413204,0.0,0.0,10,0,0,9,7,7.0,16,25,29,153.0,85.0,11,11,29,480,1.5806705495342612,22.437673163600266
12,29,0,0,0,10.000000000000002,20,10.0,4.176954351987168,18,3.2777777777777777,26.175648223178413,9,14.0,41.0,8,41.0,15,1.1240000000000003,43187,145,0,0.0,1450.0000000000002,False,-0.067725361980383,3,1.4450000000000003,42329,115,0,0.0,1150.0000000000002,False,-0.08912572714534414,0,0.2,70263,18,62,1.0,1698.0753681728306,False,0.030743686627044384,0,0.2,69467,15,55,1.0,1502.3149675546201,False,0.01778721114025464,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,1.0630000000000002,91712,89,0,0.0,2329.632691862879,False,-0.026978833906765302,0.3333333333333333,412410,0.0,0.0,9,0,0,15,9,9.0,14,29,20,184.0,103.0,15,14,20,326,1.591302877292037,24.028976040892303
13,20,0,0,0,10.000000000000002,20,10.0,3.8604605073097997,26,2.076923076923077,22.577761360904486,37,14.864864864864865,40.99999999999999,15,41.0,11,1.2190000000000003,42791,158,0,0.0,1580.0000000000002,False,-0.07475266443038513,15,1.5920000000000003,41880,122,0,0.0,1220.0000000000002,False,-0.09791516283809605,0,0.2,70235,21,72,1.0,1706.6684886386288,False,0.030400113700617626,0,0.2,69991,18,28,1.0,701.665607236902,False,0.01957984090125457,0,0.2,95452,0,0,0.0,0.0,False,0.0,15,1.205,90888,126,0,0.0,2844.797931473965,False,-0.03291288851216337,0.3333333333333333,411237,0.0,0.0,12,0,0,8,9,9.0,20,28,18,194.0,65.0,13,7,18,750,1.1260384488850832,25.155014489777386
14,18,0,0,0,10.000000000000002,20,10.0,3.7712194771116683,5,1.0,22.577761360904486,0,,41.0,6,41.0,0,1.2080000000000002,42691,168,0,0.0,1680.0000000000002,False,-0.07581419048023438,5,1.6270000000000002,41666,132,0,0.0,1320.0000000000002,False,-0.10139696828160163,0,0.2,70231,15,82,1.0,1907.9447237508427,False,0.03180084883354962,0,0.2,69990,9,38,1.0,891.8959070083755,False,0.020944006515403315,0,0.2,95452,0,0,0.0,0.0,False,0.0,6,1.2500000000000002,90830,126,0,0.0,2844.797931473965,False,-0.03352052376338912,0.3333333333333333,410860,0.0,0.0,8,0,0,11,4,4.0,17,28,13,197.0,27.0,14,4,13,200,1.2708841990679502,26.425898688845336
15,13,0,0,0,10.000000000000002,20,10.0,3.629493919608145,15,2.2666666666666666,21.56100606932092,40,18.9,41.0,12,41.0,11,1.3180000000000003,42329,178,0,0.0,1780.0000000000002,False,-0.0824381130312938,4,1.6620000000000004,41474,142,0,0.0,1420.0000000000002,False,-0.10441170226317353,0,0.2,70442,15,87,1.0,1930.2499368250424,False,0.035020871829840435,0,0.2,70501,4,13,1.0,294.81105457960456,False,0.02402350346117315,0,0.2,95452,0,0,0.0,0.0,False,0.0,12,1.3640000000000003,89874,166,0,0.0,3579.127007507273,False,-0.03968944072671456,0.3333333333333333,410072,0.0,0.0,13,0,0,9,10,10.0,15,24,12,160.0,24.0,10,3,12,956,0.9743658378720284,27.400264526717365
16,12,0,0,0,10.000000000000002,20,10.0,3.583539276826294,13,3.076923076923077,22.774775017373937,18,31.555555555555557,40.99999999999999,9,41.0,4,1.3470000000000002,42129,190,0,0.0,1900.0000000000002,False,-0.08541038597087172,9,1.7480000000000004,41191,150,0,0.0,1500.0000000000002,False,-0.10957071886544095,0,0.2,70846,17,87,1.0,2042.3255942175797,False,0.04168895648865486,0,0.2,70625,0,10,0.5,227.74775017373938,False,0.02533480997647324,0,0.2,95452,0,0,0.0,0.0,False,0.0,9,1.4420000000000002,89186,184,0,0.0,4190.558603196804,False,-0.04369442964423578,0.25,409429,0.0,0.0,11,0,0,9,7,7.0,14,23,17,145.0,34.0,9,3,17,768,4.783922770060599,32.184187296777964
17,17,0,0,0,10.000000000000002,20,10.0,3.3023503446252156,25,1.72,23.020191350075947,13,25.53846153846154,40.99999999999999,11,41.0,19,1.5330000000000004,41545,196,0,0.0,1960.0000000000005,False,-0.09717209460320156,6,1.7990000000000004,40937,164,0,0.0,1640.0000000000002,False,-0.11347713472888625,0,0.2,71052,21,92,1.0,2187.2069614441166,False,0.045724855136496885,0,0.2,70708,1,12,1.0,279.5446465455366,False,0.026913254240013524,0,0.2,95452,0,0,0.0,0.0,False,0.0,11,1.5430000000000004,88682,197,0,0.0,4534.977695964962,False,-0.04717042232763601,0.3333333333333333,408376,0.0,0.0,9,0,0,12,8,8.0,15,27,19,186.0,42.0,13,4,19,532,1.1336219180375338,33.3178092148155
18,19,0,0,0,10.000000000000002,20,10.0,3.3377881724110097,11,3.8181818181818183,22.92527711549156,20,22.3,41.0,8,41.0,10,1.614,41248,204,0,0.0,2040.0000000000005,False,-0.10262833849942678,1,1.8030000000000004,40795,176,0,0.0,1760.0000000000002,False,-0.11521803745063904,0,0.2,71250,17,97,1.0,2280.494279133669,False,0.04927087793432244,3,0.23,70806,0,6,0.6,137.55166269294938,False,0.027304660482475582,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,1.612,88130,217,0,0.0,4974.785134061669,False,-0.05064961900189794,0.26666666666666666,407681,0.0,0.0,10,0,0,13,8,7.375,16,29,21,192.0,49.0,14,5,21,518,1.2357130786404014,34.5535222934559
19,21,0,0,0,10.000000000000002,20,10.0,3.1194462272965064,29,2.0344827586206895,22.260026805446223,11,14.0,41.00000000000001,7,41.0,3,1.6340000000000003,41092,213,0,0.0,2130.0000000000005,False,-0.10498492633009214,26,2.0620000000000007,40119,187,0,0.0,1870.0000000000002,False,-0.12840219098976688,0,0.2,71351,35,96,1.0,2246.1431912782155,False,0.050485883602775825,0,0.227,70800,0,7,0.1,155.82018763812357,False,0.027350090501936018,0,0.2,95452,0,0,0.0,0.0,False,0.0,7,1.6740000000000004,87892,228,0,0.0,5075.286111641739,False,-0.05261657109520108,0.18333333333333335,406706,0.0,0.0,8,0,0,14,6,6.0,14,28,25,201.0,73.0,14,7,25,354,1.171429148875177,35.724951442331076
20,25,0,0,0,10.000000000000002,20,10.0,3.102655217930786,6,2.6666666666666665,21.781240313131434,11,16.0,41.00000000000001,7,41.0,1,1.6410000000000005,40940,226,0,0.0,2260.0000000000005,False,-0.10683198165682986,5,2.0860000000000007,39949,194,0,0.0,1940.0000000000005,False,-0.1312683113243599,0,0.2,71335,31,106,1.0,2404.9937849477865,False,0.05140521071551207,4,0.267,70832,0,0,0.0,0.0,False,0.026684640025510575,0,0.2,95452,0,0,0.0,0.0,False,0.0,7,1.7370000000000003,87632,239,0,0.0,5205.716434838413,False,-0.054657228581703764,0.16666666666666666,406140,0.0,0.0,8,0,0,15,6,5.363636363636363,16,31,24,262.0,99.0,17,8,24,200,1.2372975228354335,36.96224896516651
21,24,0,0,0,10.000000000000002,20,10.0,3.0873860699440367,14,2.9285714285714284,20.638745455538206,28,15.357142857142858,41.0,10,41.0,9,1.7300000000000002,40604,240,0,0.0,2400.0000000000005,False,-0.11247930024202794,5,2.1310000000000007,39778,200,0,0.0,2000.0000000000005,False,-0.13426181478493482,0,0.2,71759,24,88,1.0,1890.306865766019,False,0.053820837977171174,0,0.263,70797,1,10,1.0,209.47484062532612,False,0.027695459122387956,0,0.2,95452,0,0,0.0,0.0,False,0.0,10,1.8300000000000005,87052,267,0,0.0,5510.545036628701,False,-0.059136817266119635,0.3333333333333333,405442,0.0,0.0,10,0,0,15,8,8.0,17,32,31,239.0,99.0,16,8,31,630,1.2751585952937603,38.23740756046027
22,31,0,0,0,10.000000000000002,20,10.0,3.0304254460711015,6,1.6666666666666667,20.638745455538206,0,,41.00000000000001,9,41.0,2,1.7410000000000005,40490,247,0,0.0,2470.0000000000005,False,-0.11415651140078978,4,2.166000000000001,39560,213,0,0.0,2130.0000000000005,False,-0.13751008449747357,0,0.2,71755,16,98,1.0,2071.0838617798818,False,0.05507300852125558,0,0.263,70791,0,15,0.5,309.5811818330731,False,0.02833399415744868,0,0.2,95452,0,0,0.0,0.0,False,0.0,9,1.9100000000000008,86920,267,0,0.0,5510.545036628701,False,-0.06051971128615065,0.25,404968,0.0,0.0,8,0,0,15,7,7.0,18,33,26,260.0,103.0,19,12,26,200,1.5055323215201497,39.74293988198042
23,26,0,0,0,10.000000000000002,20,10.0,2.911275174064034,22,2.1818181818181817,20.420372668252877,7,16.0,41.00000000000001,14,41.0,8,1.8190000000000004,40231,256,0,0.0,2560.0000000000005,False,-0.11869984289414462,14,2.3020000000000005,39073,224,0,0.0,2240.0000000000005,False,-0.1466816695681712,0,0.2,71729,21,108,1.0,2266.5370268266556,False,0.056112659816690884,0,0.263,70881,0,15,0.7,306.3055900237932,False,0.029614772869097285,0,0.2,95452,0,0,0.0,0.0,False,0.0,14,2.0410000000000004,86546,274,0,0.0,5595.182111101289,False,-0.06399456213017389,0.2833333333333333,403912,0.0,0.0,9,0,0,13,13,13.0,18,31,23,232.0,77.0,16,10,23,312,1.6161014148965478,41.35904129687697
24,23,0,0,0,10.000000000000002,20,10.0,2.9502284719719354,30,3.1333333333333333,20.420372668252877,0,,41.00000000000001,8,41.0,13,1.9410000000000005,39798,268,0,0.0,2680.0000000000005,False,-0.12661882722602014,17,2.4580000000000006,38610,232,0,0.0,2320.0000000000005,False,-0.15566217994989598,0,0.2,71707,23,118,1.0,2477.459229709194,False,0.057322398789039164,0,0.263,70809,8,25,1.0,534.1111444820974,False,0.030222138717239205,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,2.107,86442,274,0,0.0,5595.182111101289,False,-0.06508411499444075,0.3333333333333333,402818,0.0,0.0,7,0,0,8,8,8.0,17,25,19,161.0,94.0,11,12,19,200,1.1945780152454972,42.553619312122464
25,19,0,0,0,10.000000000000002,20,10.0,2.89646407510221,7,1.7142857142857142,21.341652162900722,5,46.0,41.0,11,41.0,3,1.9580000000000004,39655,276,0,0.0,2760.0000000000005,False,-0.12880557088870961,4,2.4810000000000008,38400,244,0,0.0,2440.0000000000005,False,-0.15884675809944376,0,0.2,71927,18,123,1.0,2677.1595693886284,False,0.06195851320743745,0,0.263,70807,0,35,1.0,746.9578257015253,False,0.03173571788857632,0,0.2,95452,0,0,0.0,0.0,False,0.0,11,2.2090000000000005,86036,279,0,0.0,5954.320953449302,False,-0.06745630812633946,0.3333333333333333,402277,0.0,0.0,8,0,0,11,7,7.0,17,28,13,182.0,56.0,13,6,13,430,1.2340495437383652,43.78766885586083
26,13,0,0,0,10.000000000000002,20,10.0,2.7588146347467317,21,1.8095238095238095,21.639470381758333,20,23.5,41.0,9,41.0,19,2.1450000000000005,39024,286,0,0.0,2860.0000000000005,False,-0.14114050358795804,2,2.4970000000000003,38258,254,0,0.0,2540.0000000000005,False,-0.1607999660311664,0,0.2,72133,22,128,1.0,2830.546130829495,False,0.06605605173739684,0,0.263,71033,0,27,0.7,584.265700307475,False,0.03383242524610073,0,0.2,95452,0,0,0.0,0.0,False,0.0,9,2.2880000000000003,85436,299,0,0.0,6470.201644145742,False,-0.0710398857847623,0.2833333333333333,401336,0.0,0.0,11,0,0,10,10,10.0,15,25,10,144.0,21.0,10,3,10,670,1.0913529368117452,44.879021792672575
27,10,0,0,0,10.000000000000002,20,10.0,2.7990494577633713,5,4.0,21.352264752224368,7,16.0,41.00000000000001,8,41.0,0,2.1260000000000003,38904,298,0,0.0,2980.0000000000005,False,-0.14241433484777716,5,2.545000000000001,38083,262,0,0.0,2620.0000000000005,False,-0.1636660863657594,0,0.2,72245,12,131,1.0,2830.7352760345525,False,0.06768082268726745,0,0.263,71013,0,32,0.5,683.2724720711798,False,0.034260066328007786,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,2.359000000000001,85218,306,0,0.0,6533.793014180656,False,-0.07299064967637849,0.25,400915,0.0,0.0,9,0,0,8,4,4.0,16,24,14,115.0,18.0,9,1,14,312,0.9514391757547855,45.83046096842736
28,14,0,0,0,10.000000000000002,20,10.0,2.8051418991579045,30,2.8333333333333335,23.801469598523738,15,44.0,41.00000000000001,8,41.0,16,2.2860000000000005,38398,308,0,0.0,3080.0000000000005,False,-0.15209545242240244,14,2.680000000000001,37629,272,0,0.0,2720.0000000000005,False,-0.17224321684854146,0,0.2,72618,21,131,1.0,3176.9004972889256,False,0.07559609584792899,0,0.263,71215,1,37,1.0,883.4595170445361,False,0.03863880446032482,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,2.4310000000000005,84456,321,0,0.0,7640.27174112612,False,-0.07517772419055593,0.3333333333333333,399768,0.0,0.0,10,0,0,9,11,11.0,17,26,16,179.0,22.0,12,2,16,860,1.0268872203305364,46.857348188757896
29,16,0,0,0,10.000000000000002,20,10.0,2.8649084984130724,8,4.0,25.96816448476129,15,44.0,41.00000000000001,12,41.0,0,2.2700000000000005,38298,318,0,0.0,3180.0000000000005,False,-0.1531569784722517,8,2.746000000000001,37362,282,0,0.0,2820.0000000000005,False,-0.17685023990488727,0,0.2,73026,19,131,1.0,3456.262808973577,False,0.08353453935276761,0,0.263,71435,0,33,0.1,856.9494279971225,False,0.041635499036085225,0,0.2,95452,0,0,0.0,0.0,False,0.0,12,2.543000000000001,83590,336,0,0.0,8725.303266879793,False,-0.07856669704731288,0.18333333333333335,399163,0.0,0.0,11,0,0,10,7,7.0,17,27,22,176.0,57.0,12,4,22,860,0.9458319637924433,47.80318015255034
30,22,0,0,0,10.000000000000002,20,10.0,2.8587828557840385,15,2.8,26.65718753335049,5,44.0,41.00000000000001,13,41.0,6,2.330000000000001,38048,330,0,0.0,3300.0000000000005,False,-0.15719077746167892,9,2.8280000000000007,37072,290,0,0.0,2900.0000000000005,False,-0.1821578701541336,0,0.2,73214,19,136,1.0,3679.694378795564,False,0.08787881302485519,0,0.263,71425,0,38,0.5,1012.9731262673187,False,0.04262130659265206,0,0.2,95452,0,0,0.0,0.0,False,0.0,13,2.661000000000001,83136,341,0,0.0,9090.100948872518,False,-0.08141211840049181,0.25,398347,0.0,0.0,9,0,0,13,11,11.0,16,29,20,204.0,52.0,15,7,20,420,1.2748566688969731,49.07803682144731
31,20,0,0,0,10.000000000000002,20,10.0,2.8089137534459545,15,2.3333333333333335,26.75053849246613,12,27.666666666666668,41.000000000000014,9,41.0,5,2.3740000000000006,37857,339,0,0.0,3390.0000000000005,False,-0.16029043352723876,10,2.919000000000001,36716,301,0,0.0,3010.0000000000005,False,-0.18854825697422614,0,0.2,73416,15,141,1.0,3813.9596337394137,False,0.09177979471046516,0,0.263,71520,0,40,0.9,1070.0215396986453,False,0.044411746022659813,0,0.2,95452,0,0,0.0,0.0,False,0.0,9,2.7380000000000004,82678,353,0,0.0,9442.940087840545,False,-0.08436208729078205,0.31666666666666665,397639,0.0,0.0,10,0,0,12,10,10.0,16,28,19,196.0,81.0,13,7,19,532,1.0603485247120261,50.13838534615934
32,19,0,0,0,10.000000000000002,20,10.0,2.7769512687509192,11,2.3636363636363638,27.540816984939706,5,46.0,41.000000000000014,8,41.0,6,2.4290000000000007,37610,351,0,0.0,3510.0000000000005,False,-0.164260540953675,5,2.9590000000000005,36531,309,0,0.0,3090.0000000000005,False,-0.191626682518789,0,0.2,73400,11,151,1.0,4189.209828682156,False,0.0942674394390729,0,0.263,71740,0,40,0.5,1101.6326793975882,False,0.04782966386483447,0,0.2,95452,0,0,0.0,0.0,False,0.0,8,2.8090000000000006,82344,358,0,0.0,9859.612480608415,False,-0.08567860034044113,0.25,397077,0.0,0.0,9,0,0,13,6,6.0,13,26,21,137.0,69.0,11,8,21,430,1.215805203653872,51.35419054981321
