index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,27,0,0,0,10.000000000000002,20,10.0,18.711799681486735,45,20.488888888888887,25.239229358013358,0,,37.0,12,37.0,0,0.8030000000000002,22131,3,17,1.0,348.1005945852745,False,0.1733324722405385,32,3.364000000000001,10637,215,0,0.0,2150.0000000000005,False,-0.383903208837454,0,1.73,23040,186,0,0.0,3480.3947407565324,False,-0.20545731145381982,0,0.263,28928,229,55,1.0,5673.159741751197,False,0.018487234541349155,0,0.29000000000000004,38342,102,13,1.0,3055.4013945173624,False,0.01690261170858985,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,161950,0.0,0.0,12,0,0,13,3,3.0,14,27,26,189.0,100.0,13,14,26,1021,1.3854802325367928,29.870423909276724
21,26,0,0,0,10.000000000000002,20,10.0,18.75696242091951,35,19.085714285714285,25.239229358013358,0,,37.0,12,37.0,0,0.8030000000000002,22514,1,12,1.0,235.08354905103414,False,0.19050719487246282,20,3.5320000000000014,10092,227,0,0.0,2270.0000000000005,False,-0.40941609679116253,0,1.73,22577,201,0,0.0,3770.1494466048216,False,-0.21565747328131293,0,0.263,28723,239,65,1.0,6123.463926870631,False,0.019133383462720126,0,0.29000000000000004,38786,92,11,1.0,2729.009100937229,False,0.02406469636719497,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,161564,0.0,0.0,13,0,0,12,4,4.0,13,25,22,186.0,86.0,12,14,22,1107,1.3057052744552493,31.176129183731973
22,22,0,0,0,10.000000000000002,20,10.0,19.219678869383927,47,21.78723404255319,25.681242021303596,5,40.0,37.0,0,,2,0.8230000000000002,22754,3,10,1.0,222.19678869383927,False,0.20279318223813353,33,3.8420000000000014,9695,235,0,0.0,2350.0000000000005,False,-0.4281956864807996,0,1.73,22228,213,0,0.0,4093.7915991787763,False,-0.22165910607960154,0,0.263,28248,264,70,1.0,6871.682163008608,False,0.015898457147117562,0,0.29000000000000004,38586,87,21,1.0,3011.268055853413,False,0.022563165453278997,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.5,160383,0.0,0.0,10,0,0,9,4,4.0,15,24,21,162.0,90.0,12,10,21,749,1.2459577312693,32.42208691500127
23,21,0,0,0,10.000000000000002,20,10.0,19.056219449260286,5,10.0,25.498403575375328,15,23.666666666666668,37.0,2,37.0,0,0.8210000000000002,22684,0,20,1.0,381.1243889852057,False,0.20329101496541832,5,3.8590000000000013,9495,248,0,0.0,2480.0000000000005,False,-0.43529721199368754,10,1.8300000000000003,22058,213,0,0.0,4058.974742692441,False,-0.22766809762260415,0,0.263,28403,259,75,1.0,6847.941105511564,False,0.02048770529549127,0,0.29000000000000004,38231,92,31,1.0,3492.85312893453,False,0.019650229919842457,0,0.2,38946,0,13,0.0,481.0,False,-0.0005228658147779734,0.5,159817,0.0,0.0,8,0,0,13,2,2.0,11,24,21,168.0,120.0,11,10,21,479,1.1211222987622023,33.543209213763475
24,21,0,0,0,10.000000000000002,20,10.0,19.056219449260286,0,,25.676373163597095,20,27.0,37.0,2,37.0,0,0.8210000000000002,22624,0,26,0.6,495.46170568076747,False,0.20314207537298185,0,3.8540000000000005,9355,262,0,0.0,2620.0000000000005,False,-0.43897948448185165,10,1.9200000000000004,21868,213,0,0.0,4058.974742692441,False,-0.23376018432261697,0,0.263,28813,249,75,1.0,6670.726630135593,False,0.030792718836340775,0,0.29000000000000004,37691,102,41,1.0,4135.990062686904,False,0.014078991795940849,0,0.2,39020,0,11,0.0,407.0,False,0.0004208432167725151,0.43333333333333335,159371,0.0,0.0,10,0,0,9,1,1.0,13,22,24,150.0,109.0,10,11,24,684,1.2705650543794036,34.81377426814288
25,24,0,0,0,10.000000000000002,20,10.0,18.441456606921793,25,12.2,25.462985554315676,16,23.4375,37.0,0,,0,0.8210000000000002,22544,3,31,1.0,601.6851548145756,False,0.20172764741753232,20,4.054000000000001,8910,269,0,0.0,2690.0000000000005,False,-0.4605470804839558,10,2.0100000000000002,21678,213,0,0.0,3928.030257274342,False,-0.24195154775435523,0,0.263,28753,264,79,1.0,6880.120403018292,False,0.03222586255961095,0,0.29000000000000004,37316,108,51,1.0,4637.0024398660935,False,0.010903696277018005,0,0.2,39020,0,11,0.0,407.0,False,0.0004208432167725151,0.5,158221,0.0,0.0,9,0,0,10,5,5.0,15,25,20,153.0,130.0,11,13,20,495,1.3208341021090746,36.134608370251954
26,20,0,0,0,10.000000000000002,20,10.0,19.266864797185406,52,23.25,24.936828961494253,8,15.0,37.0,0,,0,0.8210000000000002,23208,6,12,1.0,291.20237756622487,False,0.22849033081447195,23,4.264000000000001,8613,276,0,0.0,2760.0000000000005,False,-0.47432930036822724,8,2.08,21170,225,0,0.0,4335.044579366716,False,-0.25171468867245866,0,0.263,27916,294,89,1.0,7883.836027945498,False,0.02147999275274947,0,0.29000000000000004,37196,106,61,1.0,4900.303869918391,False,0.01120085533091535,0,0.2,39020,0,11,0.0,407.0,False,0.0004208432167725151,0.5,157123,0.0,0.0,9,0,0,9,3,3.0,12,21,20,132.0,123.0,9,11,20,994,1.2501352382823825,37.384743608534336
27,20,0,0,0,10.000000000000002,20,10.0,20.4766628570061,36,29.63888888888889,25.15811989065035,2,41.0,37.0,11,37.0,24,1.0610000000000002,23455,6,10,1.0,264.766628570061,False,0.24078818065676122,0,4.241000000000001,8513,286,0,0.0,2860.0000000000005,False,-0.4769594950026302,0,2.0720000000000005,20444,250,0,0.0,5119.165714251525,False,-0.26242199380769005,0,0.263,27657,295,97,1.0,8480.953172209884,False,0.022748383548318003,0,0.29000000000000004,37521,98,60,1.0,4685.495749283735,False,0.016750781101381482,0,0.2,39020,0,11,0.0,407.0,False,0.0004208432167725151,0.5,156610,0.0,0.0,12,0,0,12,2,2.0,6,18,21,201.0,114.0,12,8,21,1060,1.1346989320591092,38.519442540593445
28,21,0,0,0,10.000000000000002,20,10.0,21.456565279173926,39,28.435897435897434,24.572043185441093,8,15.0,37.0,13,37.0,24,1.2770000000000001,23744,3,10,1.0,244.56565279173927,False,0.2554593806625917,5,4.291000000000001,8318,299,0,0.0,2990.0000000000005,False,-0.4837980010520779,8,2.152,19781,267,0,0.0,5728.902929539438,False,-0.27390498060889706,0,0.263,27075,307,107,1.0,9216.374161548592,False,0.01587748752001719,0,0.29000000000000004,37882,96,57,1.0,4467.9161458023445,False,0.023183566018853068,0,0.2,39020,0,11,0.0,407.0,False,0.0004208432167725151,0.5,155820,0.0,0.0,10,0,0,9,4,3.411764705882353,8,17,26,183.0,120.0,11,10,26,681,1.2211378132924438,39.74058035388589
29,26,0,0,0,10.000000000000002,20,10.0,21.456565279173926,0,,27.509320506465883,48,35.14583333333333,37.0,11,37.0,0,1.2530000000000003,23654,2,20,1.0,449.13130558347854,False,0.2561055051442261,0,4.286000000000001,8208,310,0,0.0,3100.0000000000005,False,-0.4866912151499211,11,2.2540000000000004,19572,267,0,0.0,5728.902929539438,False,-0.2806062759789112,0,0.263,28619,297,80,1.0,8573.345528431928,False,0.05507479685186507,0,0.29000000000000004,36602,134,56,1.0,5758.248947866428,False,0.006991722751886597,0,0.2,39020,0,11,0.0,407.0,False,0.0004208432167725151,0.5,155675,0.0,0.0,14,0,0,8,1,1.0,10,18,25,161.0,88.0,12,14,25,2151,1.4851734638214111,41.2257538177073
