index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.0,9,10.0,31.932318950267984,41,36.78048780487805,27.88058323704454,36,40.333333333333336,38.0,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,12,0.5270000000000001,73758,3,10,1.0,349.32318950267984,False,0.03052090928385117,0,0.4790000000000001,98615,15,13,1.0,841.4323663355988,False,-0.015754999620677643,19,0.48000000000000004,99693,6,10,1.0,470.3997460720533,False,-0.006885243904989803,11,0.9760000000000002,118260,48,0,0.0,1338.267995378138,False,-0.017666650166112647,0,0.4970000000000001,119533,52,17,1.0,2095.790328326316,False,-0.0040233987167281405,0.6666666666666666,581937,0.0,0.0,12,0,0,22,8,7.5,9,31,23,201.0,92.0,12,11,23,2116,2.2828223751857877,45.466475513763726
11,23,0,0,0,10.0,9,10.0,32.52610410915837,16,37.0,26.593982482749013,15,15.0,37.99999999999999,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,6,0.5750000000000001,74086,2,10,1.0,345.2610410915837,False,0.03506447347540234,2,0.49900000000000005,98174,21,10,1.0,948.9880111198158,False,-0.019603323306666455,0,0.4610000000000001,99693,0,16,0.6,425.5037197239842,False,-0.007108338618558814,9,1.0550000000000002,117914,63,0,0.0,1675.4208964131878,False,-0.01913213691308528,0,0.4970000000000001,119951,42,16,1.0,1724.9472642754586,False,-0.0021023422197630447,0.6,581896,0.0,0.0,10,0,0,19,7,5.625,15,34,28,219.0,120.0,13,10,28,613,2.5205628080293536,47.98703832179308
12,28,0,0,0,10.000000000000002,9,10.0,33.04146561607607,16,37.0,32.638082063977876,124,39.225806451612904,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,6,0.6290000000000002,74414,1,10,1.0,340.41465616076067,False,0.03960257207086927,54,1.0370000000000001,98160,11,10,1.0,689.8369424166156,False,-0.02103021763639491,44,0.901,99693,6,10,1.0,524.6296143362351,False,-0.006615768008983008,6,1.1060000000000003,116414,93,0,0.0,3035.3416319499424,False,-0.02590551742842891,0,0.4970000000000001,117059,126,12,1.0,4568.398340061212,False,-0.01424654599043009,0.6666666666666666,577818,0.0,0.0,11,0,0,18,7,5.685416666666667,17,35,32,237.0,132.0,14,14,32,622,2.7477201437577605,50.73475846555084
13,32,0,0,0,10.000000000000002,6,10.0,33.110802153345304,3,36.0,34.12950449516102,32,45.0,38.0,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.6230000000000001,74462,0,14,0.7,463.55123014683426,False,0.04112980520850007,22,1.203,98606,2,10,1.0,407.51664925830084,False,-0.018000632823872282,0,0.8570000000000002,99621,0,18,0.8,614.3310809128984,False,-0.006885585111890642,10,1.2000000000000002,115549,109,0,0.0,3720.1159899725512,False,-0.030222205743992855,0,0.4970000000000001,116719,132,12,1.0,4961.094593361255,False,-0.01543308474014086,0.5833333333333334,577035,0.0,0.0,11,0,0,23,8,7.375,17,40,26,330.0,96.0,20,12,26,548,2.7712571201846004,53.50601558573544
14,26,0,0,0,10.000000000000002,10,10.0,33.110802153345304,0,,34.12950449516102,0,,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.6230000000000001,74362,0,24,1.0,794.6592516802873,False,0.04204353910263216,0,1.1810000000000005,98606,0,12,0.2,409.55405394193224,False,-0.017990508671440628,0,0.8570000000000002,99621,0,18,0.0,614.3310809128984,False,-0.006885585111890642,11,1.3000000000000003,115380,109,0,0.0,3720.1159899725512,False,-0.03161811548066976,0,0.4970000000000001,117061,122,13,1.0,4657.799548409645,False,-0.013860807362764536,0.3666666666666667,577108,0.0,0.0,8,0,0,18,6,6.0,17,35,29,189.0,71.0,13,13,29,442,2.436733259819448,55.94274884555489
15,29,0,0,0,10.000000000000002,7,10.0,33.54890906528463,21,35.95238095238095,33.286841889792306,11,15.0,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.6230000000000001,75047,0,10,0.7,335.48909065284636,False,0.04839140467120726,0,1.181,98401,0,11,1.0,366.15526078771535,False,-0.02024351148971028,0,0.8570000000000002,99236,1,28,1.0,965.5804819794693,False,-0.008966416145836991,10,1.3890000000000002,115069,120,0,0.0,3994.421026775077,False,-0.03305406454729949,0,0.4970000000000001,117441,112,13,1.0,4222.126291656738,False,-0.012521366952222097,0.6166666666666667,577272,0.0,0.0,12,0,0,20,5,5.0,14,34,22,270.0,102.0,15,14,22,1370,2.134498817846179,58.07724766340107
16,22,0,0,0,10.000000000000002,12,10.0,34.1394886334446,33,36.333333333333336,33.286841889792306,0,,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,23,0.8530000000000002,75294,2,10,1.0,361.394886334446,False,0.052014795076414815,0,1.181,97587,12,21,1.0,1108.6975432869735,False,-0.024643476295768376,0,0.8570000000000002,98851,2,38,1.0,1333.1789690789967,False,-0.010966006255756808,13,1.5090000000000003,114851,120,0,0.0,3994.421026775077,False,-0.034854705509403436,0,0.4970000000000001,117707,102,16,1.0,4003.257872758815,False,-0.01122816155896351,0.6666666666666666,576368,0.0,0.0,9,0,0,18,9,8.09090909090909,13,31,23,216.0,104.0,12,10,23,386,1.9789620470255613,60.05620971042663
17,23,0,0,0,10.000000000000002,13,10.0,34.34783226541614,11,37.0,32.73066217095385,26,27.923076923076923,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,1,0.8400000000000001,75542,5,10,1.0,393.4783226541614,False,0.0556951780846504,0,1.181,97757,2,21,1.0,756.039570120863,False,-0.024706375557185568,0,0.8570000000000002,99000,3,32,1.0,1150.4246862667715,False,-0.01039333396474504,8,1.576,114569,124,0,0.0,4058.6021091982775,False,-0.036918912886979696,0,0.4970000000000001,117621,114,14,1.0,4263.295487488739,False,-0.010864574092705189,0.6666666666666666,576567,0.0,0.0,14,0,0,18,5,4.090909090909091,14,32,28,219.0,74.0,13,10,28,1312,2.1771785086020827,62.23338821902871
18,28,0,0,0,10.000000000000004,10,10.0,34.34783226541614,0,,30.85905538692235,40,20.3,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.8390000000000002,75442,5,20,1.0,736.9566453083228,False,0.05669512457876256,13,1.3110000000000002,97752,0,2,0.2,61.7181107738447,False,-0.028206248642063496,0,0.8570000000000002,99282,0,29,0.3,894.9126062207481,False,-0.008860413799203196,10,1.6680000000000004,113901,146,0,0.0,4505.422086490663,False,-0.04059114676673164,0,0.4970000000000001,117711,122,14,1.0,4296.804757204527,False,-0.009982799925642953,0.4166666666666667,576166,0.0,0.0,12,0,0,21,7,6.571428571428571,15,36,26,264.0,71.0,18,10,26,1052,2.379202464595437,64.61259068362415
19,26,0,0,0,10.000000000000004,12,10.0,34.34783226541614,0,,32.18686134810891,67,36.92537313432836,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.8390000000000002,75322,7,30,1.0,1100.434967962484,False,0.05755568465189964,17,1.4680000000000002,97279,0,0,0.0,0.0,False,-0.033213742658093244,19,1.0470000000000002,100707,0,0,0.0,0.0,False,0.0008546923604416573,13,1.7880000000000005,111922,197,0,0.0,6340.811685577456,False,-0.049357337671484446,0,0.4970000000000001,117257,128,17,1.0,4765.918252557941,False,-0.011795361893489805,0.3333333333333333,574565,0.0,0.0,12,0,0,25,10,8.965277777777779,10,35,27,255.0,93.0,15,11,27,1154,2.4329186221584678,67.04550930578262
20,27,0,0,0,10.000000000000004,5,10.0,34.62958419098796,17,36.88235294117647,32.39886279299686,4,47.0,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.8390000000000002,75899,2,23,1.0,816.4804363927232,False,0.06361931084839434,0,1.4510000000000003,97207,0,2,0.2,64.79772558599372,False,-0.03360730997711219,4,1.0680000000000003,100192,5,10,1.0,497.1365488849084,False,-0.0017931815978527769,13,1.9050000000000002,111692,197,0,0.0,6382.575970220381,False,-0.051084613728564196,0,0.4970000000000001,117335,122,20,1.0,4712.661260745617,False,-0.011371042468919927,0.5333333333333333,574403,0.0,0.0,9,0,0,18,8,8.0,15,33,38,222.0,82.0,14,13,38,943,2.649136650376022,69.69464595615864
21,38,0,0,0,10.000000000000002,15,10.0,34.62958419098796,0,,32.09991743506075,32,29.75,38.000000000000014,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.8390000000000002,75749,7,33,1.0,1212.7762783026028,False,0.06429042748632338,14,1.5910000000000004,96885,0,0,0.0,0.0,False,-0.03712942626290735,6,1.1240000000000003,100690,0,5,0.5,160.49958717530376,False,0.0014832867253122648,10,1.9920000000000004,110590,229,0,0.0,7350.8810926289125,False,-0.056187922933273446,0,0.4970000000000001,117715,112,20,1.0,4355.190752726805,False,-0.009708631708102863,0.4166666666666667,573707,0.0,0.0,13,0,0,24,9,7.875,14,38,26,360.0,95.0,20,18,26,530,5.03556895442307,74.73021491058171
22,26,0,0,0,10.000000000000002,10,10.0,34.69753209187542,21,35.142857142857146,31.616678485650002,7,14.0,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,0.8390000000000002,76387,7,22,1.0,833.3457060212593,False,0.07053890767058296,7,1.6470000000000005,96196,5,10,1.0,489.6544453158772,False,-0.04154374114093536,0,1.1180000000000003,100480,0,11,0.6,347.78346334215,False,0.0003268873462902594,10,2.0820000000000007,110356,236,0,0.0,7461.536122613401,False,-0.057663725664034216,0,0.4970000000000001,118095,102,20,1.0,3984.9012055363,False,-0.008099162431293577,0.6,573592,0.0,0.0,16,0,0,20,5,5.0,11,31,31,201.0,85.0,12,14,31,1218,2.1441734256222844,76.87438833620399
23,31,0,0,0,10.000000000000002,14,10.0,35.14039185096154,34,37.0,31.42212047507264,14,28.142857142857142,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,12,0.9590000000000003,77157,11,10,1.0,461.40391850961544,False,0.07867948035703556,0,1.6400000000000003,95679,12,12,1.0,798.7501479124102,False,-0.04514589326327298,0,1.1180000000000003,100133,7,15,1.0,717.3145500828203,False,-0.001285444638381598,13,2.2020000000000004,109737,250,0,0.0,7855.53011876816,False,-0.061149394890606265,0,0.4970000000000001,118361,92,23,1.0,3764.835083706683,False,-0.006810903443904736,0.6666666666666666,573145,0.0,0.0,13,0,0,22,8,7.705882352941177,14,36,26,258.0,151.0,16,15,26,1429,2.2666028309613466,79.14099116716534
24,26,0,0,0,10.000000000000002,10,10.0,35.26964119588018,35,35.857142857142854,29.16697518908247,38,15.81578947368421,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,25,1.1970000000000003,77347,11,10,1.0,462.69641195880183,False,0.08133683015735896,16,1.8000000000000003,94513,27,10,1.0,1243.9500641795896,False,-0.054521670107732956,0,1.1180000000000003,99965,7,15,1.0,684.3921162073984,False,-0.003118672462967986,8,2.2690000000000006,109336,268,0,0.0,7816.749350674102,False,-0.06462174418230208,0,0.4970000000000001,118517,102,21,1.0,3773.031469286412,False,-0.005488521040710925,0.6666666666666666,571756,0.0,0.0,14,0,0,19,9,7.958333333333333,17,36,21,258.0,104.0,16,10,21,864,2.063095544464886,81.20408671163023
25,21,0,0,0,10.000000000000002,15,10.0,35.28197257842275,3,36.0,28.71624272748593,54,26.74074074074074,38.0,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,1.1720000000000002,77305,16,17,1.0,759.7935338331868,False,0.08282197241426462,23,2.0140000000000007,93801,20,10,1.0,992.8018788433144,False,-0.06284571869270177,6,1.1780000000000004,100688,0,7,0.7,201.0136990924015,False,0.0016647305189394237,13,2.3910000000000005,107854,311,0,0.0,8930.751488248125,False,-0.07226206971186391,0,0.4970000000000001,118596,103,24,1.0,3869.773000931051,False,-0.004436461323673278,0.6166666666666667,570322,0.0,0.0,14,0,0,25,11,10.285714285714285,9,34,22,192.0,51.0,14,7,22,664,1.7690971540287137,82.97318386565894
26,22,0,0,0,10.000000000000002,8,10.0,35.28197257842275,0,,28.682508654809507,10,27.8,37.99999999999999,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,1.1720000000000002,77225,14,27,1.0,1092.6132596174143,False,0.08402640856681079,0,1.9910000000000003,93891,10,14,1.0,754.3748469515606,False,-0.06313605088922009,0,1.1720000000000002,100876,0,3,0.0,86.04752596442852,False,0.0029618445750112573,8,2.4580000000000006,107752,311,0,0.0,8920.260191645757,False,-0.07314789956204049,0,0.4970000000000001,118774,103,22,1.0,3790.2983914453794,False,-0.0032944362199533927,0.5,570596,0.0,0.0,13,0,0,9,4,4.0,24,33,19,168.0,62.0,11,11,19,814,1.7235489748418331,84.69673284050077
27,19,0,0,0,10.000000000000002,7,10.0,34.5725726474799,13,25.846153846153847,27.836780090726307,20,17.5,37.99999999999999,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,1.1720000000000002,77491,11,24,1.0,939.7417435395176,False,0.0866686766899873,0,1.9910000000000005,94035,0,15,1.0,417.55170136089464,False,-0.06337866001450539,8,1.2520000000000002,100439,3,10,1.0,382.0855188497028,False,8.986950462474767e-05,5,2.500000000000001,107405,330,0,0.0,9186.137429939681,False,-0.07491600823529063,0,0.4970000000000001,119298,94,17,1.0,3262.657328528273,False,-0.001145400400897575,0.6666666666666666,570746,0.0,0.0,16,0,0,9,4,3.7,17,26,17,147.0,75.0,9,10,17,1120,1.6754471808671951,86.37218002136797
28,17,0,0,0,10.0,12,10.0,33.843293792674416,16,26.75,26.600568111284836,37,18.64864864864865,37.99999999999999,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,0,1.1720000000000002,77799,13,18,1.0,739.1792882681395,False,0.08956399431490283,18,2.1710000000000003,93339,6,10,1.0,469.0654438688949,False,-0.07003972608168825,0,1.2440000000000002,100627,0,9,0.3,239.40511300156354,False,0.00124926761313025,14,2.635000000000001,106647,363,0,0.0,9656.006224396395,False,-0.07923643644730066,0,0.4970000000000001,119338,88,21,1.0,3138.8499937930656,False,-0.0013263207710003428,0.5499999999999999,569828,0.0,0.0,15,0,0,15,9,8.714285714285715,17,32,10,198.0,78.0,11,6,10,1160,1.7677540183067322,88.1399340396747
29,10,0,0,0,10.000000000000002,14,10.0,34.07167702694156,38,35.0,27.2243649205308,25,33.4,37.99999999999999,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,20,1.3720000000000003,78288,17,10,1.0,510.71677026941563,False,0.0947877616650364,0,2.1530000000000005,93499,0,6,0.6,163.3461895231848,False,-0.06996876303394334,6,1.3040000000000003,99750,28,10,1.0,1226.2506059596717,False,-0.0025628317848178906,10,2.721000000000001,105667,388,0,0.0,10563.053589165951,False,-0.0835850365531522,0,0.4970000000000001,119718,78,21,1.0,2921.5004638014025,False,0.0009147770831326486,0.6,569000,0.0,0.0,14,0,0,11,8,7.218181818181819,17,28,16,111.0,54.0,7,3,16,1240,1.4987194305285811,89.63865347020328
30,16,0,0,0,10.000000000000002,9,10.0,34.43633721241665,34,36.294117647058826,27.433163325806373,48,28.5,38.0,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,24,1.5920000000000003,78557,16,10,1.0,504.3633721241665,False,0.09849297751783574,2,2.1730000000000005,92726,13,10,1.0,722.0040170194802,False,-0.07487500612685488,30,1.5980000000000003,99473,29,10,1.0,1272.9854124181468,False,-0.0050835043757359605,10,2.811000000000001,105396,396,0,0.0,10863.532677019324,False,-0.08458249629539046,0,0.4970000000000001,118858,108,21,1.0,3760.7816391870883,False,-0.002722512806079633,0.6666666666666666,567088,0.0,0.0,11,0,0,10,10,8.09090909090909,21,31,14,183.0,45.0,11,5,14,470,1.7016605185344815,91.34031398873776
31,14,0,0,0,10.000000000000002,9,10.0,34.791590155862245,30,37.0,26.53785728565083,21,15.285714285714286,38.00000000000001,20,38.0,0,0.2,72078,0,0,0.0,0.0,False,0.004669445102658099,20,1.7680000000000005,78889,15,10,1.0,497.9159015586225,False,0.10307567220187767,11,2.2810000000000006,91947,21,10,1.0,996.0019661296154,False,-0.08125539417154665,0,1.5680000000000003,99029,31,20,1.0,1609.2964405447462,False,-0.007824925012945896,9,2.891000000000001,104952,417,0,0.0,11066.286488116397,False,-0.0874125017010424,0,0.4970000000000001,119276,98,20,1.0,3360.710013993781,False,-0.0009221676496110329,0.6666666666666666,566171,0.0,0.0,12,0,0,12,8,7.111111111111111,16,28,21,132.0,60.0,9,5,21,652,1.728344070725143,93.0686580594629
