index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
702,17857848-98e7-4285-b027-3f900b5794ab,01Buy@0,02Ind@1,BuyCheapSellExpensiveAgent,IndDecentralizingAgent,21,5,10,20,-1,20,02Ind@1|01Buy@0,"[quantity: (1, 5), time: (20, 24), unit_price: (1, 20)]",01Buy@0,02Ind@1,p1,02Ind@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
703,ccad7247-82ed-469f-9f80-428fa817d506,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,42,1,53,20,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,42,,-1,-1
704,09ab4e0e-bb6f-4a0a-abba-41ffd3e3feed,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,42,2,10,20,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,42,,-1,-1
705,5d76e1da-43f8-4077-a591-62132507f715,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,42,6,53,20,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
706,abf20312-3667-4936-ab45-3bb91d62e59e,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,1,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,42,,-1,-1
707,9e583741-013a-4620-8bf4-77a96abcf73f,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,5,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
708,50d8c397-d3f9-4511-a156-b958d8622edb,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,42,3,53,20,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,42,,-1,-1
709,d30f3ce7-ebf9-4a71-a4a2-dfe9998b8c79,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,42,4,10,20,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,42,,-1,-1
710,de5bbd19-6bc8-40d4-a6bd-b9e872dc8281,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,21,4,1,20,-1,20,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (20, 30), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,9,-1,03Ran@1:product(1.0),-1,-1
711,9800e698-ff04-4c24-ad71-8045fb4565a8,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,2,10,20,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
