index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,21,0,0,0,10.000000000000002,20,10.0,18.759166018905415,10,15.0,8.20181613189577,14,7.928571428571429,35.0,9,35.0,10,2.901000000000001,20804,215,0,0.0,2150.0000000000005,False,-0.13852029767295349,0,0.623,27766,7,24,1.0,520.2199844537299,False,0.10352049424053494,0,0.2,36375,82,108,1.0,2424.047755794987,False,-0.030762664314143984,13,2.625000000000001,24558,277,0,0.0,5196.2889872368,False,-0.2997384091382569,0,0.37100000000000005,61850,125,11,1.0,1410.2270164869713,False,0.07812749488544836,0,0.2,58016,0,6,0.0,210.0,False,0.0017062493536934267,0.5,229369,0.0,0.0,17,0,0,14,3,3.0,16,30,26,85.0,74.0,8,13,26,548,1.3397949617356062,38.97558824066073
21,26,0,0,0,10.000000000000002,20,10.0,19.037875501706022,19,21.894736842105264,9.890520287053056,30,16.833333333333332,35.00000000000001,9,35.0,4,2.931000000000001,20648,229,0,0.0,2290.0000000000005,False,-0.1419065243926448,0,0.623,28066,3,19,1.0,391.71963453241443,False,0.11280307978368334,0,0.2,36548,84,104,1.0,2627.795651996824,False,-0.02367463058281552,16,2.772000000000001,23965,284,0,0.0,5406.75664248451,False,-0.3123161856306793,0,0.37100000000000005,61660,145,12,1.0,1854.125441622693,False,0.07867813451469001,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.5,228903,0.0,0.0,22,0,0,22,4,4.0,18,40,24,183.0,56.0,16,10,24,1324,1.4363837987184525,40.41197203937918
22,24,0,0,0,10.000000000000002,20,10.0,19.45336799162635,20,23.45,13.35321192747402,40,25.3,35.00000000000001,12,35.0,3,2.957000000000001,20526,240,0,0.0,2400.0000000000005,False,-0.1445446312556601,0,0.623,28403,2,12,1.0,253.4404158995162,False,0.12335001015670191,0,0.2,37281,85,84,1.0,2775.2060811960573,False,-0.0028725363435268877,10,2.8560000000000008,23485,293,0,0.0,5699.836821546521,False,-0.3209149455705709,0,0.37100000000000005,61068,175,10,1.0,2686.8120873079533,False,0.07565071944527892,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.5,228779,0.0,0.0,24,0,0,13,3,3.0,23,36,31,165.0,63.0,13,11,31,2033,1.4499634858220816,41.86193552520126
23,31,0,0,0,10.000000000000002,20,10.0,19.45336799162635,0,,13.099197824563134,7,7.285714285714286,35.00000000000001,8,35.0,0,2.9540000000000006,20376,255,0,0.0,2550.0000000000005,False,-0.1474977359530653,0,0.623,28353,0,19,0.7,369.61399184090067,False,0.12366842524394422,0,0.2,37314,75,93,1.0,2677.2279970563477,False,-0.003284837583079499,6,2.9060000000000006,23337,293,0,0.0,5699.836821546521,False,-0.32473134577686275,0,0.37100000000000005,61297,172,12,1.0,2673.062025824859,False,0.07947900818504061,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.45,228693,0.0,0.0,19,0,0,15,2,2.0,24,39,26,195.0,43.0,17,14,26,513,1.3718911465257406,43.233826671727
24,26,0,0,0,10.000000000000002,20,10.0,20.01107425812114,36,22.97222222222222,12.635285450737129,6,1.0,35.00000000000001,11,35.0,7,3.0240000000000005,20216,265,0,0.0,2650.0000000000005,False,-0.1518289561759263,10,0.7230000000000001,28806,0,10,1.0,200.1107425812114,False,0.13816810533884333,0,0.2,36907,84,103,1.0,2982.3646391081,False,-0.009845736989323126,6,2.960000000000001,22767,310,0,0.0,6203.433020017554,False,-0.3329366552344307,0,0.37100000000000005,61676,168,11,1.0,2507.7279557238376,False,0.08458626000244594,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.5,228388,0.0,0.0,19,0,0,21,5,4.333333333333333,18,39,26,183.0,52.0,13,13,26,838,1.302042504772544,44.535869176499546
25,26,0,0,0,10.000000000000002,20,10.0,20.255154635288147,20,22.75,12.199350365065552,7,3.4285714285714284,35.00000000000001,11,35.0,8,3.0970000000000004,20069,275,0,0.0,2750.0000000000005,False,-0.15564830491790368,2,0.7330000000000001,29018,0,10,1.0,202.55154635288147,False,0.1465636009440658,0,0.2,36907,74,113,1.0,2877.40803426373,False,-0.011198968098714136,7,3.0240000000000005,22139,330,0,0.0,6684.201029645088,False,-0.34293191039653054,0,0.37100000000000005,62037,165,10,1.0,2362.8928102358163,False,0.08955993252762588,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.5,228186,0.0,0.0,18,0,0,8,6,5.166666666666666,22,30,22,122.0,69.0,8,18,22,585,1.1546697691082954,45.69053894560784
26,22,0,0,0,10.000000000000002,20,10.0,19.587979595765805,20,12.85,12.354518179852736,1,33.0,35.00000000000001,10,35.0,6,3.149000000000001,19891,289,0,0.0,2890.0000000000005,False,-0.15990077568216718,4,0.7710000000000001,29068,0,6,0.6,117.52787757459484,False,0.1468584454379375,0,0.2,36940,64,122,1.0,2760.881912071045,False,-0.011850413717495623,0,3.017000000000001,21882,350,0,0.0,6855.792858518032,False,-0.347346662473981,0,0.37100000000000005,62354,156,10,1.0,2277.304836057027,False,0.09428582982366193,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.43333333333333335,228151,0.0,0.0,22,0,0,14,3,2.571428571428571,20,34,17,113.0,36.0,10,12,17,688,1.2341369297355413,46.92467587534338
27,17,0,0,0,10.000000000000002,20,10.0,19.473125917417644,2,8.0,16.892136730943584,32,34.0,35.00000000000001,6,35.0,2,3.1630000000000007,19751,301,0,0.0,3010.0000000000005,False,-0.16305075402606606,0,0.7670000000000001,28988,0,14,0.8,272.62376284384703,False,0.14676189634295086,0,0.2,38012,56,100,1.0,2779.708724469747,False,0.016035439975112774,0,3.017000000000001,21882,350,0,0.0,6815.594071096175,False,-0.3478649552463103,0,0.37100000000000005,61476,178,14,1.0,3496.800338107958,False,0.08966254470811039,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.4666666666666666,228125,0.0,0.0,16,0,0,8,1,1.0,18,26,24,39.0,54.0,4,13,24,1498,1.1078033605590463,48.03247923590243
28,24,0,0,0,10.000000000000002,20,10.0,19.521277244286445,12,20.25,16.552519092827332,3,1.0,35.00000000000001,9,35.0,3,3.191000000000001,19612,314,0,0.0,3140.0000000000005,False,-0.16596448399417255,0,0.7670000000000001,29116,0,12,0.7,234.25532693143734,False,0.15104648830435558,0,0.2,38012,46,110,1.0,2718.7558534481827,False,0.015249559740177663,3,3.0470000000000006,21564,362,0,0.0,7066.7023624316935,False,-0.35282745793667236,0,0.37100000000000005,61788,171,15,1.0,3355.4807648734736,False,0.09382200514350997,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.45,228108,0.0,0.0,18,0,0,17,2,2.0,15,32,26,107.0,72.0,10,14,26,713,1.3410199042409658,49.373499140143394
29,26,0,0,0,10.000000000000002,20,10.0,19.419816487008806,4,15.0,16.0360545069215,7,6.714285714285714,35.00000000000001,14,35.0,4,3.228000000000001,19480,326,0,0.0,3260.0000000000005,False,-0.16879946450368152,0,0.7670000000000001,29036,0,20,0.8,388.3963297401761,False,0.15093114009017164,0,0.2,38045,36,119,1.0,2607.4038798559754,False,0.014664825681485014,6,3.104000000000001,21347,366,0,0.0,7107.652834245223,False,-0.35789514138415135,0,0.37100000000000005,62231,168,11,1.0,3079.0571571628116,False,0.09907498153426984,0,0.2,58016,0,6,0.0,210.00000000000006,False,0.0017062493536934267,0.4666666666666666,228155,0.0,0.0,20,0,0,18,4,4.0,15,33,25,94.0,84.0,8,18,25,723,1.2215054901316762,50.59500463027507
