index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
655,aa07e82c-2e96-4ee8-9713-1b78c4435d6c,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,30,3,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
656,c58ac30b-e4f2-49bf-af4e-ac8c8d01f8ba,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,28,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,28,,-1,-1
657,8b426e39-3d15-4cc5-a860-546de08f7585,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,32,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,32,,-1,-1
658,229dd8c9-4d7b-4757-9d09-d62cadea144a,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,48,3,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
659,e648a878-97b9-4673-aa96-61caae53eadc,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,3,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
660,26227c8e-d71b-4a82-b32a-143197344719,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,55,1,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
661,2a0e3e2a-5b23-4d87-b13c-aac6248264cc,SELLER,01Ran@0,_SystemAgent,RandomAgent,33,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,33,,-1,-1
662,9f3c2ca7-7ae5-4b6d-a634-bbc92b2d6a57,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,7,6,45,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
663,2fe3396f-30f1-4284-98c5-53861557f6e4,SELLER,01Ran@0,_SystemAgent,RandomAgent,38,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,38,,-1,-1
664,ff194021-1468-4bcb-97a5-fb5b378f09ed,SELLER,01Ran@0,_SystemAgent,RandomAgent,17,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,17,,-1,-1
